kind,study,workload,seed,left,right,review_ticks,risk,agents,loss_difference,incorrect_difference,loss_per_job_difference,lower_bound,upper_bound,paired_jobs,primary_action_differences,secondary_action_differences,different_observations,identical_request_primary_differences
duration,core,competition,400,competition|a3|s2|pooled|greedy|lambda0,competition|a3|s1|pooled|greedy|lambda0,2,pooled,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,competition,401,competition|a3|s2|pooled|greedy|lambda0,competition|a3|s1|pooled|greedy|lambda0,2,pooled,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,competition,402,competition|a3|s2|pooled|greedy|lambda0,competition|a3|s1|pooled|greedy|lambda0,2,pooled,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,competition,403,competition|a3|s2|pooled|greedy|lambda0,competition|a3|s1|pooled|greedy|lambda0,2,pooled,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,competition,404,competition|a3|s2|pooled|greedy|lambda0,competition|a3|s1|pooled|greedy|lambda0,2,pooled,3,4.0,1,0.6666666666666666,4.0,4.0,6,0,0,3,0
duration,core,competition,405,competition|a3|s2|pooled|greedy|lambda0,competition|a3|s1|pooled|greedy|lambda0,2,pooled,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,competition,406,competition|a3|s2|pooled|greedy|lambda0,competition|a3|s1|pooled|greedy|lambda0,2,pooled,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,competition,407,competition|a3|s2|pooled|greedy|lambda0,competition|a3|s1|pooled|greedy|lambda0,2,pooled,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,larger,408,larger|a3|s2|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,2,frozen,3,13.0,2,1.4444444444444446,13.0,13.0,9,0,0,6,0
duration,core,larger,409,larger|a3|s2|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,2,frozen,3,1.0,0,0.1111111111111111,1.0,1.0,9,0,0,6,0
duration,core,larger,410,larger|a3|s2|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,2,frozen,3,9.0,1,0.9999999999999999,9.0,9.0,9,1,0,6,0
duration,core,larger,411,larger|a3|s2|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,2,frozen,3,10.0,1,1.1111111111111112,10.0,10.0,9,0,0,5,0
duration,core,larger,408,larger|a3|s2|frozen|edf|lambda0,larger|a3|s1|frozen|edf|lambda0,2,frozen,3,13.0,2,1.4444444444444446,13.0,13.0,9,0,0,6,0
duration,core,larger,409,larger|a3|s2|frozen|edf|lambda0,larger|a3|s1|frozen|edf|lambda0,2,frozen,3,1.0,0,0.1111111111111111,1.0,1.0,9,0,0,6,0
duration,core,larger,410,larger|a3|s2|frozen|edf|lambda0,larger|a3|s1|frozen|edf|lambda0,2,frozen,3,21.0,2,2.3333333333333335,21.0,21.0,9,0,0,6,0
duration,core,larger,411,larger|a3|s2|frozen|edf|lambda0,larger|a3|s1|frozen|edf|lambda0,2,frozen,3,7.0,1,0.7777777777777777,7.0,7.0,9,0,0,6,0
duration,core,larger,408,larger|a3|s2|frozen|fcfs|lambda0,larger|a3|s1|frozen|fcfs|lambda0,2,frozen,3,8.0,2,0.8888888888888888,8.0,8.0,9,0,0,6,0
