policy,pending_count,eligible_count,decisions,mean_seconds,p50_seconds,p95_seconds,max_seconds,mean_orders,max_orders
edf,2,0,1,9.00961458683014e-06,9.00961458683014e-06,9.00961458683014e-06,9.00961458683014e-06,0.0,0
edf,2,1,8,1.546042039990425e-05,1.502595841884613e-05,2.0299758762121198e-05,2.2372230887413025e-05,0.0,0
edf,2,2,49,1.6019356494047204e-05,1.4727935194969177e-05,2.2187829017639153e-05,2.8347596526145935e-05,0.0,0
edf,3,0,1,9.911134839057922e-06,9.911134839057922e-06,9.911134839057922e-06,9.911134839057922e-06,0.0,0
edf,3,2,3,1.6294419765472412e-05,1.4591962099075317e-05,2.2385455667972565e-05,2.3251399397850037e-05,0.0,0
edf,3,3,25,1.7542168498039244e-05,1.7041340470314026e-05,2.3327767848968506e-05,2.4920329451560974e-05,0.0,0
edf,4,1,1,2.0878389477729797e-05,2.0878389477729797e-05,2.0878389477729797e-05,2.0878389477729797e-05,0.0,0
edf,4,3,9,2.0892462796635096e-05,2.1867454051971436e-05,2.8629228472709654e-05,3.1830742955207825e-05,0.0,0
edf,4,4,11,1.6863034530119464e-05,1.631118357181549e-05,2.3809261620044708e-05,2.4799257516860962e-05,0.0,0
edf,5,2,1,1.4452263712882996e-05,1.4452263712882996e-05,1.4452263712882996e-05,1.4452263712882996e-05,0.0,0
edf,5,3,2,1.7068348824977875e-05,1.7068348824977875e-05,1.737428829073906e-05,1.7408281564712524e-05,0.0,0
edf,5,4,8,2.0096078515052795e-05,1.973472535610199e-05,2.353005111217499e-05,2.361088991165161e-05,0.0,0
edf,5,5,11,1.9802288575605914e-05,2.060830593109131e-05,2.4230219423770905e-05,2.451986074447632e-05,0.0,0
fcfs,0,0,177,5.322324354096321e-06,4.9602240324020386e-06,9.104609489440916e-06,1.190975308418274e-05,0.0,0
fcfs,1,0,7,9.144789406231471e-06,8.73953104019165e-06,1.1473335325717924e-05,1.2127682566642761e-05,0.0,0
fcfs,1,1,30,1.4724396169185639e-05,1.3558194041252136e-05,2.1213386207818972e-05,3.284960985183716e-05,0.0,0
fcfs,2,0,2,1.2089498341083527e-05,1.2089498341083527e-05,1.385388895869255e-05,1.4049932360649109e-05,0.0,0
fcfs,2,1,9,1.5172486503918966e-05,1.3899058103561401e-05,2.0695850253105164e-05,2.182088792324066e-05,0.0,0
fcfs,2,2,42,1.4405032353741782e-05,1.3235025107860565e-05,1.8488429486751556e-05,2.1008774638175964e-05,0.0,0
fcfs,3,2,2,2.1209008991718292e-05,2.1209008991718292e-05,2.6555825024843215e-05,2.714991569519043e-05,0.0,0
fcfs,3,3,20,1.8322747200727464e-05,1.8605031073093414e-05,2.2910069674253477e-05,4.141032695770264e-05,0.0,0
fcfs,4,1,1,2.0770356059074402e-05,2.0770356059074402e-05,2.0770356059074402e-05,2.0770356059074402e-05,0.0,0
fcfs,4,2,1,1.8537044525146484e-05,1.8537044525146484e-05,1.8537044525146484e-05,1.8537044525146484e-05,0.0,0
fcfs,4,3,10,1.849960535764694e-05,1.5844590961933136e-05,2.643363550305366e-05,2.8947368264198303e-05,0.0,0
fcfs,4,4,7,1.4424057943480356e-05,1.3368204236030579e-05,1.843757927417755e-05,1.955963671207428e-05,0.0,0
fcfs,5,2,1,1.4308840036392212e-05,1.4308840036392212e-05,1.4308840036392212e-05,1.4308840036392212e-05,0.0,0
fcfs,5,3,2,1.9749626517295837e-05,1.9749626517295837e-05,2.2738613188266756e-05,2.3070722818374634e-05,0.0,0
fcfs,5,4,6,1.9182761510213215e-05,1.837499439716339e-05,2.547726035118103e-05,2.677924931049347e-05,0.0,0
fcfs,5,5,11,1.791644502769817e-05,1.601874828338623e-05,2.272985875606537e-05,2.2940337657928467e-05,0.0,0
greedy,0,0,697,5.562459699905757e-06,5.1800161600112915e-06,9.018555283546446e-06,2.6326626539230347e-05,0.0,0
greedy,1,0,112,9.229090729994433e-06,9.031035006046295e-06,1.3313814997673033e-05,2.635084092617035e-05,0.0,0
greedy,1,1,129,1.5305297434792036e-05,1.3971701264381409e-05,2.310946583747863e-05,5.58905303478241e-05,0.0,0
greedy,2,0,6,1.026658962170283e-05,9.500421583652496e-06,1.2989621609449387e-05,1.2999400496482849e-05,0.0,0
greedy,2,1,45,1.7317674226231046e-05,1.728162169456482e-05,2.217032015323639e-05,2.8770416975021362e-05,0.0,0
greedy,2,2,144,1.7607713946037824e-05,1.6425736248493195e-05,2.3768097162246703e-05,6.412900984287262e-05,0.0,0
greedy,3,1,12,1.7390431215365727e-05,1.5583820641040802e-05,2.2874027490615844e-05,2.3869797587394714e-05,0.0,0
greedy,3,2,18,1.6582094960742528e-05,1.5356577932834625e-05,2.200482413172722e-05,2.2139400243759155e-05,0.0,0
greedy,3,3,125,2.093300223350525e-05,1.714937388896942e-05,3.2067298889160156e-05,0.00013945810496807098,0.0,0
greedy,4,1,1,2.1029263734817505e-05,2.1029263734817505e-05,2.1029263734817505e-05,2.1029263734817505e-05,0.0,0
greedy,4,2,2,1.8864870071411133e-05,1.8864870071411133e-05,2.299044281244278e-05,2.3448839783668518e-05,0.0,0
greedy,4,3,9,2.1336393223868476e-05,1.778826117515564e-05,3.531724214553832e-05,4.382804036140442e-05,0.0,0
greedy,4,4,4,2.117455005645752e-05,2.0959414541721344e-05,2.4486053735017777e-05,2.4670735001564026e-05,0.0,0
greedy,5,2,1,1.5633180737495422e-05,1.5633180737495422e-05,1.5633180737495422e-05,1.5633180737495422e-05,0.0,0
greedy,5,3,1,1.905113458633423e-05,1.905113458633423e-05,1.905113458633423e-05,1.905113458633423e-05,0.0,0
greedy,5,4,6,1.9563982884089153e-05,1.8299557268619537e-05,2.6283785700798035e-05,2.8638169169425964e-05,0.0,0
greedy,5,5,11,1.919794489036907e-05,1.7018988728523254e-05,2.541579306125641e-05,2.5430694222450256e-05,0.0,0
