workload,agents,review_ticks,risk,policy,closure_penalty,agent_id,episodes,total_loss,mean_loss,p90_loss,max_loss,incorrect_jobs,mean_incorrect_jobs,max_incorrect_jobs
larger,3,2,frozen,greedy,0,1,4,0.0,0.0,0.0,0.0,0,0.0,0
larger,3,2,frozen,greedy,0,2,4,39.0,9.75,13.900000000000002,16.0,3,0.75,1
larger,6,1,frozen,delay,0,0,4,11.0,2.75,5.4,6.0,0,0.0,0
larger,6,1,frozen,delay,0,1,4,2.0,0.5,1.4000000000000004,2.0,0,0.0,0
larger,6,1,frozen,delay,0,2,4,22.0,5.5,10.900000000000002,13.0,2,0.5,1
larger,6,1,frozen,delay,0,3,4,11.0,2.75,4.0,4.0,0,0.0,0
larger,6,1,frozen,delay,0,4,4,13.0,3.25,5.800000000000001,7.0,1,0.25,1
larger,6,1,frozen,delay,0,5,4,4.0,1.0,2.8000000000000007,4.0,2,0.5,1
larger,6,1,frozen,edf,0,0,4,13.0,3.25,5.4,6.0,0,0.0,0
larger,6,1,frozen,edf,0,1,4,1.0,0.25,0.7000000000000002,1.0,0,0.0,0
larger,6,1,frozen,edf,0,2,4,35.0,8.75,20.200000000000003,25.0,1,0.25,1
larger,6,1,frozen,edf,0,3,4,9.0,2.25,3.7,4.0,0,0.0,0
larger,6,1,frozen,edf,0,4,4,37.0,9.25,17.1,18.0,1,0.25,1
larger,6,1,frozen,edf,0,5,4,0.0,0.0,0.0,0.0,1,0.25,1
larger,6,1,frozen,fcfs,0,0,4,12.0,3.0,7.300000000000002,10.0,1,0.25,1
larger,6,1,frozen,fcfs,0,1,4,2.0,0.5,1.4000000000000004,2.0,0,0.0,0
larger,6,1,frozen,fcfs,0,2,4,24.0,6.0,11.8,13.0,1,0.25,1
larger,6,1,frozen,fcfs,0,3,4,20.0,5.0,9.600000000000001,12.0,1,0.25,1
larger,6,1,frozen,fcfs,0,4,4,40.0,10.0,18.1,22.0,3,0.75,2
larger,6,1,frozen,fcfs,0,5,4,0.0,0.0,0.0,0.0,1,0.25,1
larger,6,1,frozen,greedy,0,0,4,17.0,4.25,8.5,10.0,1,0.25,1
larger,6,1,frozen,greedy,0,1,4,0.0,0.0,0.0,0.0,0,0.0,0
larger,6,1,frozen,greedy,0,2,4,28.0,7.0,11.8,13.0,2,0.5,1
larger,6,1,frozen,greedy,0,3,4,19.0,4.75,7.500000000000001,9.0,0,0.0,0
larger,6,1,frozen,greedy,0,4,4,17.0,4.25,6.7,7.0,2,0.5,1
larger,6,1,frozen,greedy,0,5,4,4.0,1.0,2.8000000000000007,4.0,2,0.5,1
larger,6,2,frozen,delay,0,0,4,16.0,4.0,8.200000000000001,10.0,1,0.25,1
larger,6,2,frozen,delay,0,1,4,8.0,2.0,5.600000000000001,8.0,1,0.25,1
larger,6,2,frozen,delay,0,2,4,42.0,10.5,14.8,16.0,4,1.0,1
larger,6,2,frozen,delay,0,3,4,34.0,8.5,10.8,12.0,3,0.75,1
larger,6,2,frozen,delay,0,4,4,42.0,10.5,17.800000000000004,22.0,3,0.75,2
larger,6,2,frozen,delay,0,5,4,8.0,2.0,4.0,4.0,3,0.75,2
larger,6,2,frozen,edf,0,0,4,20.0,5.0,8.8,10.0,2,0.5,1
larger,6,2,frozen,edf,0,1,4,22.0,5.5,12.200000000000001,14.0,2,0.5,1
larger,6,2,frozen,edf,0,2,4,42.0,10.5,23.200000000000003,28.0,2,0.5,1
larger,6,2,frozen,edf,0,3,4,29.0,7.25,10.8,12.0,2,0.5,1
larger,6,2,frozen,edf,0,4,4,58.0,14.5,20.8,22.0,5,1.25,2
larger,6,2,frozen,edf,0,5,4,8.0,2.0,4.0,4.0,3,0.75,2
larger,6,2,frozen,fcfs,0,0,4,14.0,3.5,7.600000000000001,10.0,1,0.25,1
larger,6,2,frozen,fcfs,0,1,4,8.0,2.0,5.600000000000001,8.0,1,0.25,1
larger,6,2,frozen,fcfs,0,2,4,34.0,8.5,14.8,16.0,3,0.75,1
larger,6,2,frozen,fcfs,0,3,4,32.0,8.0,10.8,12.0,3,0.75,1
larger,6,2,frozen,fcfs,0,4,4,52.0,13.0,19.0,22.0,4,1.0,2
larger,6,2,frozen,fcfs,0,5,4,16.0,4.0,9.600000000000001,12.0,4,1.0,2
larger,6,2,frozen,greedy,0,0,4,20.0,5.0,8.8,10.0,2,0.5,1
larger,6,2,frozen,greedy,0,1,4,0.0,0.0,0.0,0.0,0,0.0,0
larger,6,2,frozen,greedy,0,2,4,42.0,10.5,14.8,16.0,4,1.0,1
larger,6,2,frozen,greedy,0,3,4,34.0,8.5,10.8,12.0,3,0.75,1
larger,6,2,frozen,greedy,0,4,4,48.0,12.0,20.8,22.0,4,1.0,2
larger,6,2,frozen,greedy,0,5,4,16.0,4.0,9.600000000000001,12.0,4,1.0,2
original,3,1,analytical,delay,0,0,8,15.0,1.875,3.8999999999999995,6.0,3,0.375,1
original,3,1,analytical,delay,0,1,8,5.0,0.625,1.5999999999999996,3.0,0,0.0,0
original,3,1,analytical,delay,0,2,8,5.0,0.625,2.3,3.0,1,0.125,1
original,3,1,analytical,greedy,0,0,8,15.0,1.875,3.8999999999999995,6.0,3,0.375,1
original,3,1,analytical,greedy,0,1,8,16.0,2.0,6.8999999999999995,9.0,2,0.25,1
original,3,1,analytical,greedy,0,2,8,5.0,0.625,2.3,3.0,1,0.125,1
original,3,1,frozen,delay,0,0,8,12.0,1.5,3.0,3.0,3,0.375,1
original,3,1,frozen,delay,0,1,8,5.0,0.625,1.5999999999999996,3.0,0,0.0,0
original,3,1,frozen,delay,0,2,8,11.0,1.375,4.099999999999999,9.0,1,0.125,1
original,3,1,frozen,greedy,0,0,8,12.0,1.5,3.0,3.0,3,0.375,1
original,3,1,frozen,greedy,0,1,8,16.0,2.0,6.8999999999999995,9.0,2,0.25,1
original,3,1,frozen,greedy,0,2,8,11.0,1.375,4.099999999999999,9.0,1,0.125,1
original,3,1,pooled,delay,0,0,8,12.0,1.5,3.0,3.0,3,0.375,1
original,3,1,pooled,delay,0,1,8,5.0,0.625,1.5999999999999996,3.0,0,0.0,0
original,3,1,pooled,delay,0,2,8,11.0,1.375,4.099999999999999,9.0,1,0.125,1
original,3,1,pooled,greedy,0,0,8,12.0,1.5,3.0,3.0,3,0.375,1
original,3,1,pooled,greedy,0,1,8,16.0,2.0,6.8999999999999995,9.0,2,0.25,1
original,3,1,pooled,greedy,0,2,8,11.0,1.375,4.099999999999999,9.0,1,0.125,1
original,3,2,analytical,delay,0,0,8,32.0,4.0,11.3,12.0,4,0.5,1
original,3,2,analytical,delay,0,1,8,25.0,3.125,9.299999999999997,17.0,3,0.375,2
original,3,2,analytical,delay,0,2,8,8.0,1.0,3.1999999999999993,6.0,1,0.125,1
original,3,2,analytical,greedy,0,0,8,32.0,4.0,11.3,12.0,4,0.5,1
original,3,2,analytical,greedy,0,1,8,25.0,3.125,9.299999999999997,17.0,3,0.375,2
original,3,2,analytical,greedy,0,2,8,8.0,1.0,3.1999999999999993,6.0,1,0.125,1
original,3,2,frozen,delay,0,0,8,26.0,3.25,7.499999999999999,11.0,4,0.5,1
original,3,2,frozen,delay,0,1,8,25.0,3.125,9.299999999999997,17.0,3,0.375,2
original,3,2,frozen,delay,0,2,8,17.0,2.125,5.899999999999998,15.0,2,0.25,1
original,3,2,frozen,greedy,0,0,8,26.0,3.25,7.499999999999999,11.0,4,0.5,1
original,3,2,frozen,greedy,0,1,8,25.0,3.125,9.299999999999997,17.0,3,0.375,2
original,3,2,frozen,greedy,0,2,8,17.0,2.125,5.899999999999998,15.0,2,0.25,1
original,3,2,pooled,delay,0,0,8,26.0,3.25,7.499999999999999,11.0,4,0.5,1
original,3,2,pooled,delay,0,1,8,25.0,3.125,9.299999999999997,17.0,3,0.375,2
original,3,2,pooled,delay,0,2,8,17.0,2.125,5.899999999999998,15.0,2,0.25,1
original,3,2,pooled,greedy,0,0,8,26.0,3.25,7.499999999999999,11.0,4,0.5,1
original,3,2,pooled,greedy,0,1,8,25.0,3.125,9.299999999999997,17.0,3,0.375,2
original,3,2,pooled,greedy,0,2,8,17.0,2.125,5.899999999999998,15.0,2,0.25,1
