workload,seed,observed_policy,review_ticks,tick,eligible_count,frozen_greedy,frozen_delay,pooled_greedy,pooled_delay,analytical_greedy,analytical_delay
competition,300,delay,2,8,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,300,edf,2,0,3,a1j0,a1j0,a1j0,a1j0,a0j0,a1j0
competition,300,edf,2,2,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,300,edf,2,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,300,edf,2,8,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,300,fcfs,2,0,3,a1j0,a1j0,a1j0,a1j0,a0j0,a1j0
competition,300,fcfs,2,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,300,fcfs,2,8,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,300,greedy,2,0,3,a1j0,a1j0,a1j0,a1j0,a0j0,a1j0
competition,300,greedy,2,2,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,300,greedy,2,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,300,greedy,2,8,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,300,myopic,2,0,3,a1j0,a1j0,a1j0,a1j0,a0j0,a1j0
competition,300,myopic,2,2,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,300,myopic,2,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,300,myopic,2,8,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,300,uncertainty,2,0,3,a1j0,a1j0,a1j0,a1j0,a0j0,a1j0
competition,300,uncertainty,2,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,300,uncertainty,2,8,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,301,delay,1,0,3,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,301,delay,1,1,2,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
competition,301,delay,1,6,3,a2j1,a1j1,a2j1,a0j1,a2j1,a1j1
competition,301,delay,1,7,2,a2j1,a0j1,a2j1,a0j1,a2j1,a0j1
competition,301,edf,1,0,3,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,301,edf,1,1,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,301,edf,1,6,3,a2j1,a1j1,a2j1,a0j1,a2j1,a1j1
competition,301,edf,1,7,2,a2j1,a0j1,a2j1,a0j1,a2j1,a0j1
competition,301,fcfs,1,0,3,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,301,fcfs,1,1,2,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
competition,301,fcfs,1,6,3,a2j1,a1j1,a2j1,a0j1,a2j1,a1j1
competition,301,fcfs,1,7,2,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,301,greedy,1,0,3,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,301,greedy,1,1,2,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
competition,301,greedy,1,6,3,a2j1,a1j1,a2j1,a0j1,a2j1,a1j1
competition,301,greedy,1,7,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,301,myopic,1,0,3,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,301,myopic,1,1,2,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
competition,301,myopic,1,6,3,a2j1,a1j1,a2j1,a0j1,a2j1,a1j1
competition,301,myopic,1,7,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,301,uncertainty,1,0,3,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,301,uncertainty,1,1,2,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
competition,301,uncertainty,1,6,3,a2j1,a1j1,a2j1,a0j1,a2j1,a1j1
competition,301,uncertainty,1,7,2,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,301,delay,2,0,3,a0j0,a2j0,a0j0,a2j0,a0j0,a2j0
competition,301,delay,2,2,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,301,delay,2,6,3,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,301,delay,2,8,2,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
competition,301,edf,2,0,3,a0j0,a2j0,a0j0,a2j0,a0j0,a2j0
competition,301,edf,2,2,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,301,edf,2,6,3,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,301,edf,2,8,2,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
competition,301,fcfs,2,0,3,a0j0,a2j0,a0j0,a2j0,a0j0,a2j0
competition,301,fcfs,2,6,3,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,301,greedy,2,0,3,a0j0,a2j0,a0j0,a2j0,a0j0,a2j0
competition,301,greedy,2,6,3,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,301,myopic,2,0,3,a0j0,a2j0,a0j0,a2j0,a0j0,a2j0
competition,301,myopic,2,6,3,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,301,uncertainty,2,0,3,a0j0,a2j0,a0j0,a2j0,a0j0,a2j0
competition,301,uncertainty,2,6,3,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,302,delay,1,0,3,a1j0,a0j0,a1j0,a0j0,a1j0,a1j0
competition,302,delay,1,1,2,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
competition,302,delay,1,6,3,a1j1,a0j1,a1j1,a0j1,a1j1,a1j1
competition,302,delay,1,7,2,a1j1,a2j1,a1j1,a2j1,a1j1,a2j1
competition,302,edf,1,0,3,a1j0,a0j0,a1j0,a0j0,a1j0,a1j0
competition,302,edf,1,1,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,302,edf,1,6,3,a1j1,a0j1,a1j1,a0j1,a1j1,a1j1
competition,302,edf,1,7,2,a1j1,a0j1,a1j1,a0j1,a1j1,a0j1
competition,302,fcfs,1,0,3,a1j0,a0j0,a1j0,a0j0,a1j0,a1j0
competition,302,fcfs,1,1,2,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
competition,302,fcfs,1,6,3,a1j1,a0j1,a1j1,a0j1,a1j1,a1j1
competition,302,fcfs,1,7,2,a1j1,a2j1,a1j1,a2j1,a1j1,a2j1
competition,302,greedy,1,0,3,a1j0,a0j0,a1j0,a0j0,a1j0,a1j0
competition,302,greedy,1,1,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,302,greedy,1,6,3,a1j1,a0j1,a1j1,a0j1,a1j1,a1j1
competition,302,greedy,1,7,2,a0j1,a2j1,a0j1,a2j1,a0j1,a2j1
competition,302,myopic,1,0,3,a1j0,a0j0,a1j0,a0j0,a1j0,a1j0
competition,302,myopic,1,1,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,302,myopic,1,6,3,a1j1,a0j1,a1j1,a0j1,a1j1,a1j1
competition,302,myopic,1,7,2,a0j1,a2j1,a0j1,a2j1,a0j1,a2j1
competition,302,uncertainty,1,0,3,a1j0,a0j0,a1j0,a0j0,a1j0,a1j0
competition,302,uncertainty,1,1,2,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
competition,302,uncertainty,1,6,3,a1j1,a0j1,a1j1,a0j1,a1j1,a1j1
competition,302,uncertainty,1,7,2,a1j1,a2j1,a1j1,a2j1,a1j1,a2j1
competition,302,delay,2,0,3,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
competition,302,delay,2,2,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,302,delay,2,6,3,a1j1,a0j1,a1j1,a0j1,a1j1,a0j1
competition,302,edf,2,0,3,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
competition,302,edf,2,2,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,302,edf,2,6,3,a1j1,a0j1,a1j1,a0j1,a1j1,a0j1
competition,302,edf,2,8,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,302,fcfs,2,0,3,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
competition,302,fcfs,2,6,3,a1j1,a0j1,a1j1,a0j1,a1j1,a0j1
competition,302,greedy,2,0,3,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
competition,302,greedy,2,2,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,302,greedy,2,6,3,a1j1,a0j1,a1j1,a0j1,a1j1,a0j1
competition,302,myopic,2,0,3,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
competition,302,myopic,2,2,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,302,myopic,2,6,3,a1j1,a0j1,a1j1,a0j1,a1j1,a0j1
competition,302,uncertainty,2,0,3,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
competition,302,uncertainty,2,6,3,a1j1,a0j1,a1j1,a0j1,a1j1,a0j1
competition,303,delay,1,0,3,a2j0,a1j0,a2j0,a0j0,a1j0,a0j0
competition,303,delay,1,1,2,a2j0,a0j0,a2j0,a0j0,a2j0,a0j0
competition,303,delay,1,6,3,a2j1,a1j1,a2j1,a0j1,a2j1,a0j1
competition,303,delay,1,7,2,a2j1,a0j1,a2j1,a0j1,a2j1,a0j1
competition,303,edf,1,0,3,a2j0,a1j0,a2j0,a0j0,a1j0,a0j0
competition,303,edf,1,1,2,a2j0,a0j0,a2j0,a0j0,a2j0,a0j0
competition,303,edf,1,6,3,a2j1,a1j1,a2j1,a0j1,a2j1,a0j1
competition,303,edf,1,7,2,a2j1,a0j1,a2j1,a0j1,a2j1,a0j1
competition,303,fcfs,1,0,3,a2j0,a1j0,a2j0,a0j0,a1j0,a0j0
competition,303,fcfs,1,1,2,a2j0,a1j0,a2j0,a1j0,a1j0,a1j0
competition,303,fcfs,1,6,3,a2j1,a1j1,a2j1,a0j1,a2j1,a0j1
competition,303,fcfs,1,7,2,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,303,greedy,1,0,3,a2j0,a1j0,a2j0,a0j0,a1j0,a0j0
competition,303,greedy,1,1,2,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
competition,303,greedy,1,6,3,a2j1,a1j1,a2j1,a0j1,a2j1,a0j1
competition,303,greedy,1,7,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,303,myopic,1,0,3,a2j0,a1j0,a2j0,a0j0,a1j0,a0j0
competition,303,myopic,1,1,2,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
competition,303,myopic,1,6,3,a2j1,a1j1,a2j1,a0j1,a2j1,a0j1
competition,303,myopic,1,7,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,303,uncertainty,1,0,3,a2j0,a1j0,a2j0,a0j0,a1j0,a0j0
competition,303,uncertainty,1,1,2,a2j0,a1j0,a2j0,a1j0,a1j0,a1j0
competition,303,uncertainty,1,6,3,a2j1,a1j1,a2j1,a0j1,a2j1,a0j1
competition,303,uncertainty,1,7,2,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,303,delay,2,0,3,a2j0,a1j0,a2j0,a1j0,a1j0,a1j0
competition,303,delay,2,2,2,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
competition,303,delay,2,6,3,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,303,delay,2,8,2,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
competition,303,edf,2,0,3,a2j0,a1j0,a2j0,a1j0,a1j0,a1j0
competition,303,edf,2,2,2,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
competition,303,edf,2,6,3,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,303,edf,2,8,2,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
competition,303,fcfs,2,0,3,a2j0,a1j0,a2j0,a1j0,a1j0,a1j0
competition,303,fcfs,2,6,3,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,303,greedy,2,0,3,a2j0,a1j0,a2j0,a1j0,a1j0,a1j0
competition,303,greedy,2,6,3,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,303,myopic,2,0,3,a2j0,a1j0,a2j0,a1j0,a1j0,a1j0
competition,303,myopic,2,6,3,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,303,uncertainty,2,0,3,a2j0,a1j0,a2j0,a1j0,a1j0,a1j0
competition,303,uncertainty,2,6,3,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,304,delay,1,0,3,a2j0,a0j0,a2j0,a0j0,a2j0,a0j0
competition,304,delay,1,1,2,a2j0,a1j0,a2j0,a1j0,a2j0,a1j0
competition,304,delay,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,304,delay,1,7,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,304,edf,1,0,3,a2j0,a0j0,a2j0,a0j0,a2j0,a0j0
competition,304,edf,1,1,2,a2j0,a1j0,a2j0,a1j0,a2j0,a1j0
competition,304,edf,1,6,3,a0j1,a0j1,a0j1,a0j1,a1j1,a1j1
competition,304,edf,1,7,2,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,304,fcfs,1,0,3,a2j0,a0j0,a2j0,a0j0,a2j0,a0j0
competition,304,fcfs,1,1,2,a2j0,a1j0,a2j0,a1j0,a2j0,a1j0
competition,304,fcfs,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,304,fcfs,1,7,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,304,greedy,1,0,3,a2j0,a0j0,a2j0,a0j0,a2j0,a0j0
competition,304,greedy,1,1,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,304,greedy,1,6,3,a0j1,a0j1,a0j1,a0j1,a1j1,a1j1
competition,304,greedy,1,7,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,304,myopic,1,0,3,a2j0,a0j0,a2j0,a0j0,a2j0,a0j0
competition,304,myopic,1,1,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,304,myopic,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,304,myopic,1,7,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,304,uncertainty,1,0,3,a2j0,a0j0,a2j0,a0j0,a2j0,a0j0
competition,304,uncertainty,1,1,2,a2j0,a1j0,a2j0,a1j0,a2j0,a1j0
competition,304,uncertainty,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,304,uncertainty,1,7,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,304,delay,2,0,3,a2j0,a0j0,a2j0,a0j0,a2j0,a0j0
competition,304,delay,2,2,2,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
competition,304,delay,2,6,3,a0j1,a1j1,a0j1,a1j1,a0j1,a1j1
competition,304,delay,2,8,2,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,304,edf,2,0,3,a2j0,a0j0,a2j0,a0j0,a2j0,a0j0
competition,304,edf,2,2,2,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
competition,304,edf,2,6,3,a0j1,a1j1,a0j1,a1j1,a0j1,a1j1
competition,304,edf,2,8,2,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,304,fcfs,2,0,3,a2j0,a0j0,a2j0,a0j0,a2j0,a0j0
competition,304,fcfs,2,2,2,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
competition,304,fcfs,2,6,3,a0j1,a1j1,a0j1,a1j1,a1j1,a1j1
competition,304,greedy,2,0,3,a2j0,a0j0,a2j0,a0j0,a2j0,a0j0
competition,304,greedy,2,6,3,a0j1,a1j1,a0j1,a1j1,a1j1,a1j1
competition,304,myopic,2,0,3,a2j0,a0j0,a2j0,a0j0,a2j0,a0j0
competition,304,myopic,2,6,3,a0j1,a1j1,a0j1,a1j1,a1j1,a1j1
competition,304,uncertainty,2,0,3,a2j0,a0j0,a2j0,a0j0,a2j0,a0j0
competition,304,uncertainty,2,2,2,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
competition,304,uncertainty,2,6,3,a0j1,a1j1,a0j1,a1j1,a1j1,a1j1
competition,305,delay,1,0,3,a1j0,a0j0,a1j0,a0j0,a0j0,a0j0
competition,305,delay,1,1,2,a1j0,a2j0,a1j0,a2j0,a1j0,a2j0
competition,305,delay,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,305,delay,1,7,2,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,305,edf,1,0,3,a1j0,a0j0,a1j0,a0j0,a0j0,a0j0
competition,305,edf,1,1,2,a1j0,a0j0,a1j0,a0j0,a0j0,a0j0
competition,305,edf,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,305,edf,1,7,2,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,305,fcfs,1,0,3,a1j0,a0j0,a1j0,a0j0,a0j0,a0j0
competition,305,fcfs,1,1,2,a1j0,a2j0,a1j0,a2j0,a1j0,a2j0
competition,305,fcfs,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,305,fcfs,1,7,2,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,305,greedy,1,0,3,a1j0,a0j0,a1j0,a0j0,a0j0,a0j0
competition,305,greedy,1,1,2,a0j0,a2j0,a0j0,a2j0,a0j0,a2j0
competition,305,greedy,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,305,greedy,1,7,2,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,305,myopic,1,0,3,a1j0,a0j0,a1j0,a0j0,a0j0,a0j0
competition,305,myopic,1,1,2,a0j0,a2j0,a0j0,a2j0,a0j0,a2j0
competition,305,myopic,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,305,myopic,1,7,2,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,305,uncertainty,1,0,3,a1j0,a0j0,a1j0,a0j0,a0j0,a0j0
competition,305,uncertainty,1,1,2,a1j0,a2j0,a1j0,a2j0,a1j0,a2j0
competition,305,uncertainty,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,305,uncertainty,1,7,2,a2j1,a1j1,a2j1,a1j1,a2j1,a1j1
competition,305,delay,2,0,3,a1j0,a0j0,a1j0,a0j0,a0j0,a0j0
competition,305,delay,2,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,305,delay,2,8,2,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
competition,305,edf,2,0,3,a1j0,a0j0,a1j0,a0j0,a0j0,a0j0
competition,305,edf,2,2,2,a1j0,a1j0,a1j0,a1j0,a0j0,a0j0
competition,305,edf,2,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,305,edf,2,8,2,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
competition,305,fcfs,2,0,3,a1j0,a0j0,a1j0,a0j0,a0j0,a0j0
competition,305,fcfs,2,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,305,fcfs,2,8,2,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
competition,305,greedy,2,0,3,a1j0,a0j0,a1j0,a0j0,a0j0,a0j0
competition,305,greedy,2,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,305,greedy,2,8,2,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
competition,305,myopic,2,0,3,a1j0,a0j0,a1j0,a0j0,a0j0,a0j0
competition,305,myopic,2,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,305,myopic,2,8,2,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
competition,305,uncertainty,2,0,3,a1j0,a0j0,a1j0,a0j0,a0j0,a0j0
competition,305,uncertainty,2,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,305,uncertainty,2,8,2,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
competition,306,delay,1,0,3,a1j0,a0j0,a1j0,a0j0,a1j0,a0j0
competition,306,delay,1,1,2,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
competition,306,delay,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a1j1
competition,306,delay,1,7,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,306,edf,1,0,3,a1j0,a0j0,a1j0,a0j0,a1j0,a0j0
competition,306,edf,1,1,2,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
competition,306,edf,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a1j1
competition,306,edf,1,7,2,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,306,fcfs,1,0,3,a1j0,a0j0,a1j0,a0j0,a1j0,a0j0
competition,306,fcfs,1,1,2,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
competition,306,fcfs,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a1j1
competition,306,fcfs,1,7,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,306,greedy,1,0,3,a1j0,a0j0,a1j0,a0j0,a1j0,a0j0
competition,306,greedy,1,1,2,a0j0,a0j0,a0j0,a0j0,a2j0,a0j0
competition,306,greedy,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a1j1
competition,306,greedy,1,7,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,306,myopic,1,0,3,a1j0,a0j0,a1j0,a0j0,a1j0,a0j0
competition,306,myopic,1,1,2,a0j0,a0j0,a0j0,a0j0,a2j0,a0j0
competition,306,myopic,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a1j1
competition,306,myopic,1,7,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,306,uncertainty,1,0,3,a1j0,a0j0,a1j0,a0j0,a1j0,a0j0
competition,306,uncertainty,1,1,2,a1j0,a0j0,a1j0,a0j0,a1j0,a0j0
competition,306,uncertainty,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a1j1
competition,306,uncertainty,1,7,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,306,delay,2,0,3,a1j0,a0j0,a1j0,a0j0,a1j0,a1j0
competition,306,delay,2,2,2,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
competition,306,delay,2,6,3,a0j1,a1j1,a0j1,a1j1,a0j1,a1j1
competition,306,delay,2,8,2,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,306,edf,2,0,3,a1j0,a0j0,a1j0,a0j0,a1j0,a1j0
competition,306,edf,2,2,2,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
competition,306,edf,2,6,3,a0j1,a1j1,a0j1,a1j1,a0j1,a1j1
competition,306,edf,2,8,2,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,306,fcfs,2,0,3,a1j0,a0j0,a1j0,a0j0,a1j0,a1j0
competition,306,fcfs,2,2,2,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
competition,306,fcfs,2,6,3,a0j1,a1j1,a0j1,a1j1,a0j1,a1j1
