project_id,month,change,rep,method,epoch,stress,raw_correct,raw_project_correct,accepted_correct,accepted_wrong,unfinished,project_correct,requirement_violations,dependency_inconsistencies,V,unaffected_artifacts,unnecessary_modifications,appendix_correct,calls,attempts,tokens,inference_seconds,wall_seconds,rounds,repair_repeats,direct_recipients,forwarded_messages,messages,checks,public_probe_executions,real_query_opportunities,user_changes,user_questions,unaffected_rewrites,rewrite_interpretation
eval_03_0,2011-03,period,0,sparse,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2910,7.183286419021897,8.28661693201866,2,0,2,2,4,78,26,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_03_0,2011-03,period,0,targeted,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2920,7.430694208014756,8.795349488034844,2,0,4,0,4,78,26,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_03_0,2011-03,period,0,targeted_no_feedback,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2779,7.500745760044083,8.74524144094903,2,0,4,0,4,78,26,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_03_1,2011-03,known_customer,0,global_packet,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2238,5.64822814008221,6.99731886095833,1,0,3,0,3,66,22,1,1,0,0,Intact contract-unaffected artifacts rewritten.
eval_04_0,2011-04,signed,0,broadcast,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,5,5,3928,9.997512685949914,11.971487437025644,2,1,4,0,5,90,30,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_04_0,2011-04,signed,0,global_packet,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,4,4,3254,7.354795950232074,8.584825530997477,2,1,3,0,4,84,28,1,1,0,0,Intact contract-unaffected artifacts rewritten.
eval_04_0,2011-04,signed,0,shared_state,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,5,5,4336,9.5701756690396,11.848887179978192,2,1,4,0,5,96,32,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_04_0,2011-04,signed,0,sparse,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,5,5,3930,9.514467567903921,11.288663830957375,2,1,3,2,5,90,30,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_04_0,2011-04,signed,0,targeted,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,5,5,3928,9.721224813954905,12.033171653049067,2,1,4,0,5,90,30,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_04_0,2011-04,signed,0,targeted_no_feedback,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,5,5,3754,9.571480348124169,11.036497927037999,2,1,4,0,5,90,30,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_04_1,2011-04,display,0,global_packet,1,ordinary,4,1,4,0,0,1,0,0,0.0,2,0,1,2,2,1523,3.821652017068118,4.361325812060386,1,0,2,0,2,54,18,0,1,0,0,Intact contract-unaffected artifacts rewritten.
eval_05_0,2011-05,country,0,broadcast,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2912,7.750307230860926,8.988316500908695,1,0,4,0,4,72,24,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_05_0,2011-05,country,0,global_packet,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2252,5.341417585848831,6.171084871981293,1,0,3,0,3,66,22,1,1,0,0,Intact contract-unaffected artifacts rewritten.
eval_05_0,2011-05,country,0,shared_state,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,5,5,4027,8.32078706996981,9.984457786893472,2,1,4,0,5,96,32,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_05_0,2011-05,country,0,sparse,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2913,8.639019511872903,10.02264453296084,2,0,2,2,4,78,26,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_05_0,2011-05,country,0,targeted,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2915,7.780538020073436,9.807515896041878,2,0,4,0,4,78,26,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_05_0,2011-05,country,0,targeted_no_feedback,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2786,7.316588884103112,8.411923007923178,2,0,4,0,4,78,26,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_05_1,2011-05,metric,0,global_packet,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2365,5.660498381010257,6.467333034030162,1,0,3,0,3,66,22,1,1,0,0,Intact contract-unaffected artifacts rewritten.
eval_06_0,2011-06,period,0,broadcast,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2946,7.4031949791824445,8.851431496092118,1,0,4,0,4,72,24,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_06_0,2011-06,period,0,global_packet,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2282,5.56580805813428,6.416732256999239,1,0,3,0,3,66,22,1,1,0,0,Intact contract-unaffected artifacts rewritten.
eval_06_0,2011-06,period,0,shared_state,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,3254,7.306487070047297,8.55783052498009,1,0,4,0,4,78,26,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_06_0,2011-06,period,0,sparse,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2942,7.5695259920321405,8.766850074054673,2,0,2,2,4,78,26,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_06_0,2011-06,period,0,targeted,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2946,6.920203604968265,8.137604273040779,2,0,4,0,4,78,26,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_06_0,2011-06,period,0,targeted_no_feedback,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2809,7.382639036979526,8.91810324601829,2,0,4,0,4,78,26,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_06_1,2011-06,known_customer,0,global_packet,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2200,5.5912428620504215,6.50203649699688,1,0,3,0,3,66,22,1,1,0,0,Intact contract-unaffected artifacts rewritten.
eval_07_0,2011-07,signed,0,broadcast,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,5,5,3760,8.163063953979872,9.703676346922293,2,1,4,0,5,90,30,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_07_0,2011-07,signed,0,global_packet,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,4,4,3086,6.23996374302078,7.3542185929836705,2,1,3,0,4,84,28,1,1,0,0,Intact contract-unaffected artifacts rewritten.
eval_07_0,2011-07,signed,0,shared_state,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,5,5,4194,7.981687842053361,9.373183176969178,2,1,4,0,5,96,32,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_07_0,2011-07,signed,0,sparse,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,3066,7.898548964993097,9.692965190042742,2,0,2,2,4,78,26,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_07_0,2011-07,signed,0,targeted,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,5,5,3760,8.07527096499689,9.913292896002531,2,1,4,0,5,90,30,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_07_0,2011-07,signed,0,targeted_no_feedback,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2851,6.670582487829961,8.015741446986794,2,0,4,0,4,78,26,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_07_1,2011-07,display,0,global_packet,1,ordinary,4,1,4,0,0,1,0,0,0.0,2,0,1,2,2,1522,3.7079829031135887,4.240565401036292,1,0,2,0,2,54,18,0,1,0,0,Intact contract-unaffected artifacts rewritten.
eval_08_0,2011-08,country,0,broadcast,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2912,7.228617854882032,8.761462655034848,1,0,4,0,4,72,24,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_08_0,2011-08,country,0,global_packet,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2247,5.699761187075637,6.911609958973713,1,0,3,0,3,66,22,1,1,0,0,Intact contract-unaffected artifacts rewritten.
eval_08_0,2011-08,country,0,shared_state,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,5,5,4102,8.785449787974358,10.324374646996148,2,1,4,0,5,96,32,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_08_0,2011-08,country,0,sparse,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2914,7.6813327939016744,9.182371117989533,2,0,2,2,4,78,26,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_08_0,2011-08,country,0,targeted,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2912,7.884528347058222,9.871091505978256,2,0,4,0,4,78,26,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_08_0,2011-08,country,0,targeted_no_feedback,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2817,8.230348061886616,9.356341609032825,2,0,4,0,4,78,26,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_08_1,2011-08,metric,0,global_packet,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,4,4,3092,6.930488361977041,8.311617279076017,2,1,3,0,4,84,28,1,1,0,0,Intact contract-unaffected artifacts rewritten.
eval_09_0,2011-09,period,0,broadcast,1,exception_generalization,3,0,3,0,1,0,1,0,0.5,1,1,1,5,5,3817,9.906347864074633,11.29349429893773,2,1,4,0,5,90,30,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_09_0,2011-09,period,0,global_packet,1,ordinary,3,0,3,0,1,0,1,0,0.5,1,0,1,4,4,3153,8.16047066799365,9.66751319298055,2,1,3,0,4,84,28,1,1,0,0,Intact contract-unaffected artifacts rewritten.
eval_09_0,2011-09,period,0,shared_state,1,exception_generalization,3,0,3,0,1,0,1,0,0.5,1,1,1,5,5,4180,9.827893175999634,11.441055698087439,2,1,4,0,5,96,32,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_09_0,2011-09,period,0,sparse,1,exception_generalization,3,0,3,0,1,0,1,0,0.5,1,1,1,5,5,3802,10.030700486968271,12.074905378976837,2,1,3,2,5,90,30,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_09_0,2011-09,period,0,targeted,1,exception_generalization,3,0,3,0,1,0,1,0,0.5,1,1,1,5,5,3817,10.87551802676171,13.357094812090509,2,1,4,0,5,90,30,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_09_0,2011-09,period,0,targeted_no_feedback,1,exception_generalization,4,1,4,0,0,1,0,0,0.0,1,1,1,5,5,3549,8.39476117794402,10.412825742037967,2,1,4,0,5,90,30,2,1,0,1,Includes necessary restoration of the corrupted appendix; not all rewrites are unnecessary.
eval_09_1,2011-09,known_customer,0,global_packet,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2214,5.388967391103506,6.871784523013048,1,0,3,0,3,66,22,1,1,0,0,Intact contract-unaffected artifacts rewritten.
