id,comparison,metric,difference
MUL0016.json,global_barrier,answered_questions,0.0
MUL0032.json,global_barrier,answered_questions,0.0
MUL0039.json,global_barrier,answered_questions,0.0
MUL0046.json,global_barrier,answered_questions,0.0
MUL0047.json,global_barrier,answered_questions,0.0
MUL0107.json,global_barrier,answered_questions,0.0
MUL0012.json,global_barrier,revalidation_reads,0.0
MUL0013.json,global_barrier,revalidation_reads,0.0
MUL0016.json,global_barrier,revalidation_reads,-7.0
MUL0032.json,global_barrier,revalidation_reads,0.0
MUL0039.json,global_barrier,revalidation_reads,-12.0
MUL0046.json,global_barrier,revalidation_reads,-2.0
MUL0047.json,global_barrier,revalidation_reads,0.0
MUL0107.json,global_barrier,revalidation_reads,-9.0
MUL0012.json,records_read,project_correct,1.0
MUL0013.json,records_read,project_correct,0.0
MUL0016.json,records_read,project_correct,0.0
MUL0032.json,records_read,project_correct,1.0
MUL0039.json,records_read,project_correct,0.0
MUL0046.json,records_read,project_correct,1.0
MUL0047.json,records_read,project_correct,1.0
MUL0107.json,records_read,project_correct,0.0
MUL0012.json,records_read,artifact_accuracy,0.33333333333333337
MUL0013.json,records_read,artifact_accuracy,0.0
MUL0016.json,records_read,artifact_accuracy,0.0
MUL0032.json,records_read,artifact_accuracy,0.33333333333333337
MUL0039.json,records_read,artifact_accuracy,0.0
MUL0046.json,records_read,artifact_accuracy,0.6666666666666667
MUL0047.json,records_read,artifact_accuracy,0.33333333333333337
MUL0107.json,records_read,artifact_accuracy,0.0
MUL0012.json,records_read,questions,3.0
MUL0013.json,records_read,questions,2.0
MUL0016.json,records_read,questions,0.0
MUL0032.json,records_read,questions,2.0
MUL0039.json,records_read,questions,2.0
MUL0046.json,records_read,questions,5.0
MUL0047.json,records_read,questions,0.0
MUL0107.json,records_read,questions,3.0
MUL0012.json,records_read,answered_questions,3.0
MUL0013.json,records_read,answered_questions,2.0
MUL0016.json,records_read,answered_questions,0.0
MUL0032.json,records_read,answered_questions,2.0
MUL0039.json,records_read,answered_questions,2.0
MUL0046.json,records_read,answered_questions,5.0
MUL0047.json,records_read,answered_questions,0.0
MUL0107.json,records_read,answered_questions,3.0
MUL0012.json,records_read,revalidation_reads,11.0
MUL0013.json,records_read,revalidation_reads,3.0
MUL0016.json,records_read,revalidation_reads,5.0
MUL0032.json,records_read,revalidation_reads,8.0
MUL0039.json,records_read,revalidation_reads,3.0
MUL0046.json,records_read,revalidation_reads,13.0
MUL0047.json,records_read,revalidation_reads,2.0
MUL0107.json,records_read,revalidation_reads,6.0
