comparison,demand,budget,metric,mean,lo,hi,negative,ties,positive,projects
dependency_barrier minus semantic_memory,4,unlimited,answered_questions,1.625,0.75,2.5,0,3,5,8
dependency_barrier minus semantic_memory,4,unlimited,revalidation_reads,-2.0,-2.875,-0.75,4,4,0,8
dependency_barrier minus semantic_memory,6,0,project_correct,-0.25,-0.625,0.0,2,6,0,8
dependency_barrier minus semantic_memory,6,0,artifact_accuracy,-0.3125,-0.45833333333333337,-0.1875,7,1,0,8
dependency_barrier minus semantic_memory,6,0,questions,4.875,3.125,6.75,0,1,7,8
dependency_barrier minus semantic_memory,6,0,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus semantic_memory,6,0,revalidation_reads,-4.0,-5.75,-1.875,6,2,0,8
dependency_barrier minus semantic_memory,6,2,project_correct,-0.375,-0.75,-0.125,3,5,0,8
dependency_barrier minus semantic_memory,6,2,artifact_accuracy,-0.3125,-0.45833333333333337,-0.1875,7,1,0,8
dependency_barrier minus semantic_memory,6,2,questions,4.625,2.375,7.125,0,1,7,8
dependency_barrier minus semantic_memory,6,2,answered_questions,0.5,0.0,1.25,0,6,2,8
dependency_barrier minus semantic_memory,6,2,revalidation_reads,-3.75,-5.625,-1.375,4,4,0,8
dependency_barrier minus semantic_memory,6,6,project_correct,-0.25,-0.5,0.0,2,6,0,8
dependency_barrier minus semantic_memory,6,6,artifact_accuracy,-0.16666666666666669,-0.33333333333333337,0.0,2,6,0,8
dependency_barrier minus semantic_memory,6,6,questions,3.25,1.4968750000000002,5.0,0,3,5,8
dependency_barrier minus semantic_memory,6,6,answered_questions,2.0,0.875,3.125,0,3,5,8
dependency_barrier minus semantic_memory,6,6,revalidation_reads,-3.75,-5.625,-1.375,4,4,0,8
dependency_barrier minus semantic_memory,6,unlimited,project_correct,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus semantic_memory,6,unlimited,artifact_accuracy,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus semantic_memory,6,unlimited,questions,2.625,1.25,3.875,0,3,5,8
dependency_barrier minus semantic_memory,6,unlimited,answered_questions,2.625,1.25,3.875,0,3,5,8
dependency_barrier minus semantic_memory,6,unlimited,revalidation_reads,-3.75,-5.625,-1.375,4,4,0,8
dependency_barrier minus full_history,2,0,project_correct,-0.625,-0.875,-0.25,5,3,0,8
dependency_barrier minus full_history,2,0,artifact_accuracy,-0.5625,-0.6875,-0.375,7,1,0,8
dependency_barrier minus full_history,2,0,questions,3.375,2.625,4.125,0,0,8,8
dependency_barrier minus full_history,2,0,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus full_history,2,0,revalidation_reads,-1.25,-1.875,-0.5,4,4,0,8
dependency_barrier minus full_history,2,2,project_correct,-0.5,-0.75,-0.25,4,4,0,8
dependency_barrier minus full_history,2,2,artifact_accuracy,-0.375,-0.5625,-0.125,4,4,0,8
dependency_barrier minus full_history,2,2,questions,3.375,2.625,4.125,0,0,8,8
dependency_barrier minus full_history,2,2,answered_questions,1.875,1.625,2.0,0,0,8,8
dependency_barrier minus full_history,2,2,revalidation_reads,-1.25,-1.875,-0.5,4,4,0,8
dependency_barrier minus full_history,2,6,project_correct,0.0,-0.375,0.375,1,6,1,8
dependency_barrier minus full_history,2,6,artifact_accuracy,0.0,-0.1875,0.1875,1,6,1,8
dependency_barrier minus full_history,2,6,questions,3.375,2.625,4.125,0,0,8,8
dependency_barrier minus full_history,2,6,answered_questions,3.25,2.625,3.875,0,0,8,8
dependency_barrier minus full_history,2,6,revalidation_reads,-1.25,-1.875,-0.5,4,4,0,8
dependency_barrier minus full_history,2,unlimited,project_correct,0.125,0.0,0.375,0,7,1,8
dependency_barrier minus full_history,2,unlimited,artifact_accuracy,0.0625,0.0,0.1875,0,7,1,8
dependency_barrier minus full_history,2,unlimited,questions,3.375,2.625,4.125,0,0,8,8
dependency_barrier minus full_history,2,unlimited,answered_questions,3.375,2.625,4.125,0,0,8,8
dependency_barrier minus full_history,2,unlimited,revalidation_reads,-1.25,-1.875,-0.5,4,4,0,8
dependency_barrier minus full_history,4,0,project_correct,-0.625,-0.875,-0.25,5,3,0,8
dependency_barrier minus full_history,4,0,artifact_accuracy,-0.5,-0.59375,-0.40625,7,1,0,8
dependency_barrier minus full_history,4,0,questions,5.0,3.5,6.5,0,0,8,8
dependency_barrier minus full_history,4,0,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus full_history,4,0,revalidation_reads,-2.0,-2.875,-0.75,4,4,0,8
dependency_barrier minus full_history,4,2,project_correct,-0.5,-0.75,-0.25,4,4,0,8
dependency_barrier minus full_history,4,2,artifact_accuracy,-0.34375,-0.5,-0.1875,5,3,0,8
dependency_barrier minus full_history,4,2,questions,4.375,3.125,5.75,0,0,8,8
dependency_barrier minus full_history,4,2,answered_questions,1.875,1.625,2.0,0,0,8,8
dependency_barrier minus full_history,4,2,revalidation_reads,-2.0,-2.875,-0.75,4,4,0,8
dependency_barrier minus full_history,4,6,project_correct,0.0,-0.375,0.375,1,6,1,8
dependency_barrier minus full_history,4,6,artifact_accuracy,-0.03125,-0.1875,0.09375,1,6,1,8
dependency_barrier minus full_history,4,6,questions,3.5,2.625,4.375,0,0,8,8
dependency_barrier minus full_history,4,6,answered_questions,3.25,2.625,3.875,0,0,8,8
dependency_barrier minus full_history,4,6,revalidation_reads,-2.0,-2.875,-0.75,4,4,0,8
dependency_barrier minus full_history,4,unlimited,project_correct,0.125,0.0,0.375,0,7,1,8
dependency_barrier minus full_history,4,unlimited,artifact_accuracy,0.03125,0.0,0.09375,0,7,1,8
dependency_barrier minus full_history,4,unlimited,questions,3.375,2.625,4.125,0,0,8,8
dependency_barrier minus full_history,4,unlimited,answered_questions,3.375,2.625,4.125,0,0,8,8
dependency_barrier minus full_history,4,unlimited,revalidation_reads,-2.0,-2.875,-0.75,4,4,0,8
dependency_barrier minus full_history,6,0,project_correct,-0.5,-0.75,-0.25,4,4,0,8
dependency_barrier minus full_history,6,0,artifact_accuracy,-0.5208333333333333,-0.6458333333333334,-0.37500000000000006,7,1,0,8
dependency_barrier minus full_history,6,0,questions,8.875,6.75,11.125,0,0,8,8
dependency_barrier minus full_history,6,0,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus full_history,6,0,revalidation_reads,-4.0,-5.75,-1.875,6,2,0,8
dependency_barrier minus full_history,6,2,project_correct,-0.625,-0.875,-0.25,5,3,0,8
dependency_barrier minus full_history,6,2,artifact_accuracy,-0.4791666666666667,-0.625,-0.3125,7,1,0,8
dependency_barrier minus full_history,6,2,questions,7.375,5.125,9.753124999999983,0,0,8,8
dependency_barrier minus full_history,6,2,answered_questions,1.625,1.25,2.0,0,1,7,8
dependency_barrier minus full_history,6,2,revalidation_reads,-3.75,-5.625,-1.375,4,4,0,8
dependency_barrier minus full_history,6,6,project_correct,-0.125,-0.5,0.25,2,5,1,8
dependency_barrier minus full_history,6,6,artifact_accuracy,-0.14583333333333334,-0.33333333333333337,0.04166666666666666,2,5,1,8
dependency_barrier minus full_history,6,6,questions,5.125,3.75,6.378124999999983,0,0,8,8
dependency_barrier minus full_history,6,6,answered_questions,3.875,3.25,4.5,0,0,8,8
dependency_barrier minus full_history,6,6,revalidation_reads,-3.75,-5.625,-1.375,4,4,0,8
dependency_barrier minus full_history,6,unlimited,project_correct,0.125,0.0,0.375,0,7,1,8
dependency_barrier minus full_history,6,unlimited,artifact_accuracy,0.02083333333333333,0.0,0.062499999999999986,0,7,1,8
dependency_barrier minus full_history,6,unlimited,questions,4.5,3.625,5.25,0,0,8,8
dependency_barrier minus full_history,6,unlimited,answered_questions,4.5,3.625,5.25,0,0,8,8
dependency_barrier minus full_history,6,unlimited,revalidation_reads,-3.75,-5.625,-1.375,4,4,0,8
dependency_barrier minus global_barrier,2,0,project_correct,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,2,0,artifact_accuracy,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,2,0,questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,2,0,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,2,0,revalidation_reads,-1.25,-1.875,-0.5,4,4,0,8
dependency_barrier minus global_barrier,2,2,project_correct,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,2,2,artifact_accuracy,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,2,2,questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,2,2,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,2,2,revalidation_reads,-1.25,-1.875,-0.5,4,4,0,8
dependency_barrier minus global_barrier,2,6,project_correct,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,2,6,artifact_accuracy,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,2,6,questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,2,6,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,2,6,revalidation_reads,-1.25,-1.875,-0.5,4,4,0,8
dependency_barrier minus global_barrier,2,unlimited,project_correct,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,2,unlimited,artifact_accuracy,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,2,unlimited,questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,2,unlimited,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,2,unlimited,revalidation_reads,-1.25,-1.875,-0.5,4,4,0,8
dependency_barrier minus global_barrier,4,0,project_correct,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,4,0,artifact_accuracy,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,4,0,questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,4,0,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,4,0,revalidation_reads,-2.0,-2.875,-0.75,4,4,0,8
dependency_barrier minus global_barrier,4,2,project_correct,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,4,2,artifact_accuracy,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,4,2,questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,4,2,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,4,2,revalidation_reads,-2.0,-2.875,-0.75,4,4,0,8
dependency_barrier minus global_barrier,4,6,project_correct,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,4,6,artifact_accuracy,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,4,6,questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,4,6,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,4,6,revalidation_reads,-2.0,-2.875,-0.75,4,4,0,8
dependency_barrier minus global_barrier,4,unlimited,project_correct,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,4,unlimited,artifact_accuracy,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,4,unlimited,questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,4,unlimited,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,4,unlimited,revalidation_reads,-2.0,-2.875,-0.75,4,4,0,8
dependency_barrier minus global_barrier,6,0,project_correct,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,6,0,artifact_accuracy,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,6,0,questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,6,0,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,6,0,revalidation_reads,-4.0,-5.75,-1.875,6,2,0,8
dependency_barrier minus global_barrier,6,2,project_correct,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,6,2,artifact_accuracy,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,6,2,questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,6,2,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,6,2,revalidation_reads,-3.75,-5.625,-1.375,4,4,0,8
dependency_barrier minus global_barrier,6,6,project_correct,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,6,6,artifact_accuracy,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,6,6,questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,6,6,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,6,6,revalidation_reads,-3.75,-5.625,-1.375,4,4,0,8
dependency_barrier minus global_barrier,6,unlimited,project_correct,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,6,unlimited,artifact_accuracy,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,6,unlimited,questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,6,unlimited,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus global_barrier,6,unlimited,revalidation_reads,-3.75,-5.625,-1.375,4,4,0,8
dependency_barrier minus records_read,2,0,project_correct,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus records_read,2,0,artifact_accuracy,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus records_read,2,0,questions,0.5,0.125,1.0,0,5,3,8
dependency_barrier minus records_read,2,0,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus records_read,2,0,revalidation_reads,0.625,0.125,1.375,0,5,3,8
dependency_barrier minus records_read,2,2,project_correct,-0.25,-0.625,0.0,2,6,0,8
dependency_barrier minus records_read,2,2,artifact_accuracy,-0.1875,-0.4375,0.0,2,6,0,8
dependency_barrier minus records_read,2,2,questions,1.375,0.75,2.0,0,2,6,8
dependency_barrier minus records_read,2,2,answered_questions,0.5,0.25,0.75,0,4,4,8
dependency_barrier minus records_read,2,2,revalidation_reads,1.875,1.375,2.375,0,0,8,8
dependency_barrier minus records_read,2,6,project_correct,0.375,0.125,0.5,0,5,3,8
dependency_barrier minus records_read,2,6,artifact_accuracy,0.1875,0.0625,0.25,0,5,3,8
dependency_barrier minus records_read,2,6,questions,1.5,0.75,2.25,0,2,6,8
dependency_barrier minus records_read,2,6,answered_questions,1.375,0.75,2.0,0,2,6,8
dependency_barrier minus records_read,2,6,revalidation_reads,2.25,1.5,2.875,0,0,8,8
dependency_barrier minus records_read,2,unlimited,project_correct,0.5,0.5,0.5,0,4,4,8
dependency_barrier minus records_read,2,unlimited,artifact_accuracy,0.25,0.25,0.25,0,4,4,8
dependency_barrier minus records_read,2,unlimited,questions,1.5,0.75,2.25,0,2,6,8
dependency_barrier minus records_read,2,unlimited,answered_questions,1.5,0.75,2.25,0,2,6,8
dependency_barrier minus records_read,2,unlimited,revalidation_reads,2.25,1.5,2.875,0,0,8,8
dependency_barrier minus records_read,4,0,project_correct,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus records_read,4,0,artifact_accuracy,-0.09375,-0.21875,0.0,2,6,0,8
dependency_barrier minus records_read,4,0,questions,1.0,0.25,2.0,0,5,3,8
dependency_barrier minus records_read,4,0,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus records_read,4,0,revalidation_reads,1.125,0.25,2.375,0,5,3,8
dependency_barrier minus records_read,4,2,project_correct,-0.25,-0.625,0.0,2,6,0,8
dependency_barrier minus records_read,4,2,artifact_accuracy,-0.15625,-0.3125,-0.03125,3,5,0,8
dependency_barrier minus records_read,4,2,questions,1.875,0.875,2.75,0,2,6,8
dependency_barrier minus records_read,4,2,answered_questions,0.5,0.25,0.75,0,4,4,8
dependency_barrier minus records_read,4,2,revalidation_reads,2.75,1.75,3.75,0,0,8,8
dependency_barrier minus records_read,4,6,project_correct,0.375,0.125,0.5,0,5,3,8
dependency_barrier minus records_read,4,6,artifact_accuracy,0.09375,0.03125,0.125,0,5,3,8
dependency_barrier minus records_read,4,6,questions,1.625,0.75,2.625,0,2,6,8
dependency_barrier minus records_read,4,6,answered_questions,1.375,0.75,2.0,0,2,6,8
dependency_barrier minus records_read,4,6,revalidation_reads,3.375,2.0,4.5,0,0,8,8
dependency_barrier minus records_read,4,unlimited,project_correct,0.5,0.5,0.5,0,4,4,8
dependency_barrier minus records_read,4,unlimited,artifact_accuracy,0.15625,0.125,0.21875,0,4,4,8
dependency_barrier minus records_read,4,unlimited,questions,1.5,0.75,2.25,0,2,6,8
dependency_barrier minus records_read,4,unlimited,answered_questions,1.5,0.75,2.25,0,2,6,8
dependency_barrier minus records_read,4,unlimited,revalidation_reads,3.375,2.0,4.5,0,0,8,8
dependency_barrier minus records_read,6,0,project_correct,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus records_read,6,0,artifact_accuracy,-0.08333333333333334,-0.20833333333333331,0.0,2,6,0,8
dependency_barrier minus records_read,6,0,questions,1.875,0.5,3.625,0,5,3,8
dependency_barrier minus records_read,6,0,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus records_read,6,0,revalidation_reads,2.125,0.5,4.125,0,5,3,8
dependency_barrier minus records_read,6,2,project_correct,-0.375,-0.5,-0.125,3,5,0,8
dependency_barrier minus records_read,6,2,artifact_accuracy,-0.27083333333333337,-0.4375,-0.125,5,3,0,8
dependency_barrier minus records_read,6,2,questions,3.5,1.625,5.5,0,2,6,8
dependency_barrier minus records_read,6,2,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus records_read,6,2,revalidation_reads,5.125,3.625,6.625,0,0,8,8
dependency_barrier minus records_read,6,6,project_correct,0.25,0.0,0.5,0,6,2,8
dependency_barrier minus records_read,6,6,artifact_accuracy,0.041666666666666685,-0.08333333333333331,0.16666666666666669,2,4,2,8
dependency_barrier minus records_read,6,6,questions,2.75,1.2468750000000002,4.375,0,2,6,8
dependency_barrier minus records_read,6,6,answered_questions,1.5,0.8718750000000002,2.125,0,2,6,8
dependency_barrier minus records_read,6,6,revalidation_reads,6.375,4.125,8.25,0,0,8,8
dependency_barrier minus records_read,6,unlimited,project_correct,0.5,0.5,0.5,0,4,4,8
dependency_barrier minus records_read,6,unlimited,artifact_accuracy,0.20833333333333334,0.16666666666666669,0.2916666666666667,0,4,4,8
dependency_barrier minus records_read,6,unlimited,questions,2.125,1.125,3.125,0,2,6,8
dependency_barrier minus records_read,6,unlimited,answered_questions,2.125,1.125,3.125,0,2,6,8
dependency_barrier minus records_read,6,unlimited,revalidation_reads,6.375,4.125,8.25,0,0,8,8
