bundle_id,replicate,variant,review_duration,comparator,sequences_differ,search_sequence,other_sequence
stage6_04,1,complexity_time,2,greedy,False,train:450,train:450
stage6_04,1,complexity_time,2,edf,False,train:450,train:450
stage6_04,1,complexity_time,1,greedy,False,train:450,train:450
stage6_04,1,complexity_time,1,edf,False,train:450,train:450
stage6_04,2,reference,2,greedy,False,train:169;train:450,train:169;train:450
stage6_04,2,reference,2,edf,False,train:169;train:450,train:169;train:450
stage6_04,2,reference,1,greedy,False,train:169;train:450,train:169;train:450
stage6_04,2,reference,1,edf,False,train:169;train:450,train:169;train:450
stage6_04,2,approve_block,2,greedy,False,train:169;train:450,train:169;train:450
stage6_04,2,approve_block,2,edf,False,train:169;train:450,train:169;train:450
stage6_04,2,approve_block,1,greedy,False,train:169;train:450,train:169;train:450
stage6_04,2,approve_block,1,edf,False,train:169;train:450,train:169;train:450
stage6_04,2,complexity_time,2,greedy,False,train:169;train:450,train:169;train:450
stage6_04,2,complexity_time,2,edf,False,train:169;train:450,train:169;train:450
stage6_04,2,complexity_time,1,greedy,False,train:169;train:450,train:169;train:450
stage6_04,2,complexity_time,1,edf,False,train:169;train:450,train:169;train:450
stage6_05,0,reference,1,greedy,False,train:341;train:455,train:341;train:455
stage6_05,0,reference,1,edf,False,train:341;train:455,train:341;train:455
stage6_05,0,reference,2,greedy,False,train:341;train:455,train:341;train:455
stage6_05,0,reference,2,edf,False,train:341;train:455,train:341;train:455
stage6_05,0,approve_block,1,greedy,False,train:341;train:455,train:341;train:455
stage6_05,0,approve_block,1,edf,False,train:341;train:455,train:341;train:455
stage6_05,0,approve_block,2,greedy,False,train:341;train:455,train:341;train:455
stage6_05,0,approve_block,2,edf,False,train:341;train:455,train:341;train:455
stage6_05,0,complexity_time,1,greedy,False,train:341;train:455,train:341;train:455
stage6_05,0,complexity_time,1,edf,False,train:341;train:455,train:341;train:455
stage6_05,0,complexity_time,2,greedy,False,train:341;train:455,train:341;train:455
stage6_05,0,complexity_time,2,edf,False,train:341;train:455,train:341;train:455
stage6_05,1,reference,1,greedy,False,train:341,train:341
stage6_05,1,reference,1,edf,False,train:341,train:341
stage6_05,1,reference,2,greedy,False,train:341,train:341
stage6_05,1,reference,2,edf,False,train:341,train:341
stage6_05,1,approve_block,1,greedy,False,train:341,train:341
stage6_05,1,approve_block,1,edf,False,train:341,train:341
stage6_05,1,approve_block,2,greedy,False,train:341,train:341
stage6_05,1,approve_block,2,edf,False,train:341,train:341
stage6_05,1,complexity_time,1,greedy,False,train:341,train:341
stage6_05,1,complexity_time,1,edf,False,train:341,train:341
stage6_05,1,complexity_time,2,greedy,False,train:341,train:341
stage6_05,1,complexity_time,2,edf,False,train:341,train:341
stage6_05,2,reference,1,greedy,False,train:341,train:341
stage6_05,2,reference,1,edf,False,train:341,train:341
stage6_05,2,reference,2,greedy,False,train:341,train:341
stage6_05,2,reference,2,edf,False,train:341,train:341
stage6_05,2,approve_block,1,greedy,False,train:341,train:341
stage6_05,2,approve_block,1,edf,False,train:341,train:341
stage6_05,2,approve_block,2,greedy,False,train:341,train:341
stage6_05,2,approve_block,2,edf,False,train:341,train:341
stage6_05,2,complexity_time,1,greedy,False,train:341,train:341
stage6_05,2,complexity_time,1,edf,False,train:341,train:341
stage6_05,2,complexity_time,2,greedy,False,train:341,train:341
