policy,seed,scenario_hash,evidence,status,error,planned_calls,total_loss,accrued_loss,loss_upper_bound,correct_jobs,jobs_closed,reviews_started,reviews_completed,corrections,late_returns,expired_requests,review_busy_ticks,simulated_ticks_completed,incomplete_service,episode_wall_seconds,scheduled_calls,attempts,prompt_tokens,completion_tokens,unknown_token_attempts,request_wall_seconds,execution_index,folder,phase,estimator_hash
fcfs,214,8ca1b31bc47ee3f10ac948b7e983b4d0ad3a5c1918569e3b56a016192bb7be12,live_gpu,completed,,12,3,3,52,4,6,3,3,0,0,3,6,12,,2.243427,12,12,2564,84,0,1.668841365724802,14,calibration/214/fcfs,calibration,
fcfs,215,a663f93d0fca3a5bee92fbbf8befde588662730dc6551ff4e5c087757a8a4ee9,live_gpu,completed,,12,6,6,47,6,6,1,1,1,0,5,2,12,,3.315208,12,12,2456,84,0,1.6742382403463125,15,calibration/215/fcfs,calibration,
fcfs,216,dac70d859520a2753fb935368b8cc17d7c7b6518a31e7dd5344e49cabd609333,live_gpu,completed,,12,19,19,42,4,6,2,2,0,0,4,4,12,,2.230941,12,12,2510,84,0,1.6729046758264303,16,validation/216/fcfs,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,216,dac70d859520a2753fb935368b8cc17d7c7b6518a31e7dd5344e49cabd609333,live_gpu,completed,,12,19,19,42,4,6,2,2,0,0,4,4,12,,2.248104,12,12,2510,84,0,1.650572968646884,17,validation/216/uncertainty,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,216,dac70d859520a2753fb935368b8cc17d7c7b6518a31e7dd5344e49cabd609333,live_gpu,completed,,12,19,19,42,4,6,2,2,0,0,4,4,12,,2.188307,12,12,2510,84,0,1.6729160454124212,18,validation/216/myopic,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,216,dac70d859520a2753fb935368b8cc17d7c7b6518a31e7dd5344e49cabd609333,live_gpu,completed,,12,19,19,42,4,6,2,2,0,0,4,4,12,,2.210023,12,12,2510,84,0,1.6673240382224321,19,validation/216/greedy,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,216,dac70d859520a2753fb935368b8cc17d7c7b6518a31e7dd5344e49cabd609333,live_gpu,completed,,12,19,19,42,4,6,2,2,0,0,4,4,12,,2.221049,12,12,2510,84,0,1.6667962092906237,20,validation/216/delay,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,217,b674f2b64d436c6dcaaae951b6b960b2640874594579d7da2fbcff4f44439c3a,live_gpu,completed,,12,14,14,39,5,6,1,1,1,0,5,2,12,,2.22888,12,12,2456,84,0,1.6831843946129084,21,validation/217/uncertainty,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,217,b674f2b64d436c6dcaaae951b6b960b2640874594579d7da2fbcff4f44439c3a,live_gpu,completed,,12,14,14,39,5,6,1,1,1,0,5,2,12,,3.197416,12,12,2456,84,0,1.676581732928753,22,validation/217/myopic,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,217,b674f2b64d436c6dcaaae951b6b960b2640874594579d7da2fbcff4f44439c3a,live_gpu,completed,,12,14,14,39,5,6,1,1,1,0,5,2,12,,2.215408,12,12,2456,84,0,1.699450559914112,23,validation/217/greedy,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,217,b674f2b64d436c6dcaaae951b6b960b2640874594579d7da2fbcff4f44439c3a,live_gpu,completed,,12,14,14,39,5,6,1,1,1,0,5,2,12,,2.21866,12,12,2456,84,0,1.6795074474066496,24,validation/217/delay,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,217,b674f2b64d436c6dcaaae951b6b960b2640874594579d7da2fbcff4f44439c3a,live_gpu,completed,,12,14,14,39,5,6,1,1,1,0,5,2,12,,2.184085,12,12,2456,84,0,1.6523542497307062,25,validation/217/fcfs,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,218,4b7cc93f1fec65f6a0e9437ccb25792b11e34e11adc920d8d68a409e8c8a8646,live_gpu,completed,,12,0,0,26,6,6,1,1,0,0,5,2,12,,2.208302,12,12,2458,84,0,1.6831894218921661,26,validation/218/myopic,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,218,4b7cc93f1fec65f6a0e9437ccb25792b11e34e11adc920d8d68a409e8c8a8646,live_gpu,completed,,12,0,0,26,6,6,1,1,0,0,5,2,12,,2.181868,12,12,2458,84,0,1.6679834742099047,27,validation/218/greedy,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,218,4b7cc93f1fec65f6a0e9437ccb25792b11e34e11adc920d8d68a409e8c8a8646,live_gpu,completed,,12,0,0,26,6,6,1,1,0,0,5,2,12,,2.203984,12,12,2458,84,0,1.653924746438861,28,validation/218/delay,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,218,4b7cc93f1fec65f6a0e9437ccb25792b11e34e11adc920d8d68a409e8c8a8646,live_gpu,completed,,12,0,0,26,6,6,1,1,0,0,5,2,12,,2.199291,12,12,2458,84,0,1.6586911920458078,29,validation/218/fcfs,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,218,4b7cc93f1fec65f6a0e9437ccb25792b11e34e11adc920d8d68a409e8c8a8646,live_gpu,completed,,12,0,0,26,6,6,1,1,0,0,5,2,12,,2.164561,12,12,2458,84,0,1.6621824745088816,30,validation/218/uncertainty,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,219,ab2f3314558062e39d7d2ef8322888e12d97522d3e05989c0e3599dbe6cced10,live_gpu,completed,,12,0,0,45,6,6,2,2,0,0,4,4,12,,2.145335,12,12,2510,84,0,1.6689723432064056,31,validation/219/greedy,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,219,ab2f3314558062e39d7d2ef8322888e12d97522d3e05989c0e3599dbe6cced10,live_gpu,completed,,12,0,0,45,6,6,2,2,0,0,4,4,12,,2.157433,12,12,2510,84,0,1.663248471915722,32,validation/219/delay,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,219,ab2f3314558062e39d7d2ef8322888e12d97522d3e05989c0e3599dbe6cced10,live_gpu,completed,,12,0,0,45,6,6,2,2,0,0,4,4,12,,2.164606,12,12,2510,84,0,1.6716139111667871,33,validation/219/fcfs,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,219,ab2f3314558062e39d7d2ef8322888e12d97522d3e05989c0e3599dbe6cced10,live_gpu,completed,,12,0,0,45,6,6,2,2,0,0,4,4,12,,2.276583,12,12,2510,84,0,1.6817836705595255,34,validation/219/uncertainty,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,219,ab2f3314558062e39d7d2ef8322888e12d97522d3e05989c0e3599dbe6cced10,live_gpu,completed,,12,0,0,45,6,6,2,2,0,0,4,4,12,,2.161959,12,12,2510,84,0,1.6740297097712755,35,validation/219/myopic,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,220,c986429270cd0b18dcf4468dd430d53aedb624c6695a3fb92ea0ff725a9b5ebf,live_gpu,completed,,12,0,0,43,6,6,2,2,0,0,4,4,12,,2.187547,12,12,2562,84,0,1.6779402531683445,36,validation/220/delay,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,220,c986429270cd0b18dcf4468dd430d53aedb624c6695a3fb92ea0ff725a9b5ebf,live_gpu,completed,,12,0,0,43,6,6,2,2,0,0,4,4,12,,2.172447,12,12,2562,84,0,1.6646601129323244,37,validation/220/fcfs,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,220,c986429270cd0b18dcf4468dd430d53aedb624c6695a3fb92ea0ff725a9b5ebf,live_gpu,completed,,12,0,0,43,6,6,2,2,0,0,4,4,12,,2.20225,12,12,2562,84,0,1.6765293069183826,38,validation/220/uncertainty,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,220,c986429270cd0b18dcf4468dd430d53aedb624c6695a3fb92ea0ff725a9b5ebf,live_gpu,completed,,12,0,0,43,6,6,2,2,0,0,4,4,12,,2.157445,12,12,2562,84,0,1.6681247483938932,39,validation/220/myopic,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,220,c986429270cd0b18dcf4468dd430d53aedb624c6695a3fb92ea0ff725a9b5ebf,live_gpu,completed,,12,0,0,43,6,6,2,2,0,0,4,4,12,,2.211487,12,12,2562,84,0,1.6776878852397203,40,validation/220/greedy,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,221,4e37da73fd2728aa92698fd396b037abbe5d2658e9ddc674fedb3a6d6ff55a43,live_gpu,completed,,12,6,6,37,5,6,3,3,0,0,3,6,12,,2.23288,12,12,2512,84,0,1.7015976905822754,41,validation/221/fcfs,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,221,4e37da73fd2728aa92698fd396b037abbe5d2658e9ddc674fedb3a6d6ff55a43,live_gpu,completed,,12,6,6,37,5,6,3,3,0,0,3,6,12,,2.175611,12,12,2512,84,0,1.6674023810774088,42,validation/221/uncertainty,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,221,4e37da73fd2728aa92698fd396b037abbe5d2658e9ddc674fedb3a6d6ff55a43,live_gpu,completed,,12,6,6,37,5,6,3,3,0,0,3,6,12,,2.181399,12,12,2512,84,0,1.6778752356767654,43,validation/221/myopic,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,221,4e37da73fd2728aa92698fd396b037abbe5d2658e9ddc674fedb3a6d6ff55a43,live_gpu,completed,,12,6,6,37,5,6,3,3,0,0,3,6,12,,2.198969,12,12,2512,84,0,1.6938385535031557,44,validation/221/greedy,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,221,4e37da73fd2728aa92698fd396b037abbe5d2658e9ddc674fedb3a6d6ff55a43,live_gpu,completed,,12,6,6,37,5,6,3,3,0,0,3,6,12,,2.219332,12,12,2512,84,0,1.6898162346333265,45,validation/221/delay,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,222,7ed5a28f2968f2ffdd714c816e527463b82963bc1ec04409cf4bb8ad542beee6,live_gpu,completed,,12,11,11,37,5,6,3,3,0,0,3,6,12,,2.211738,12,12,2510,84,0,1.6730965096503496,46,validation/222/uncertainty,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,222,7ed5a28f2968f2ffdd714c816e527463b82963bc1ec04409cf4bb8ad542beee6,live_gpu,completed,,12,11,11,37,5,6,3,3,0,0,3,6,12,,2.209172,12,12,2510,84,0,1.6705939546227455,47,validation/222/myopic,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,222,7ed5a28f2968f2ffdd714c816e527463b82963bc1ec04409cf4bb8ad542beee6,live_gpu,completed,,12,11,11,37,5,6,3,3,0,0,3,6,12,,2.197519,12,12,2510,84,0,1.6631231717765331,48,validation/222/greedy,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,222,7ed5a28f2968f2ffdd714c816e527463b82963bc1ec04409cf4bb8ad542beee6,live_gpu,completed,,12,11,11,37,5,6,3,3,0,0,3,6,12,,2.171696,12,12,2510,84,0,1.6592108774930239,49,validation/222/delay,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,222,7ed5a28f2968f2ffdd714c816e527463b82963bc1ec04409cf4bb8ad542beee6,live_gpu,completed,,12,11,11,37,5,6,3,3,0,0,3,6,12,,2.190067,12,12,2510,84,0,1.6719250362366438,50,validation/222/fcfs,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,223,2b4c6fdbac8d2624ce85a81b6ea30ea032a93619cbfd95266c169ccf315a74c1,live_gpu,completed,,12,12,12,76,5,6,4,4,1,0,2,8,12,,2.220229,12,12,2566,84,0,1.6827875021845102,51,validation/223/myopic,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,223,2b4c6fdbac8d2624ce85a81b6ea30ea032a93619cbfd95266c169ccf315a74c1,live_gpu,completed,,12,12,12,76,5,6,4,4,1,0,2,8,12,,2.232223,12,12,2566,84,0,1.6853196062147617,52,validation/223/greedy,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,223,2b4c6fdbac8d2624ce85a81b6ea30ea032a93619cbfd95266c169ccf315a74c1,live_gpu,completed,,12,12,12,76,5,6,4,4,1,0,2,8,12,,2.224905,12,12,2566,84,0,1.662537096068263,53,validation/223/delay,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,223,2b4c6fdbac8d2624ce85a81b6ea30ea032a93619cbfd95266c169ccf315a74c1,live_gpu,completed,,12,10,10,76,5,6,4,4,1,0,2,8,12,,2.244029,12,12,2566,84,0,1.6686406768858433,54,validation/223/fcfs,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,223,2b4c6fdbac8d2624ce85a81b6ea30ea032a93619cbfd95266c169ccf315a74c1,live_gpu,completed,,12,10,10,76,5,6,4,4,1,0,2,8,12,,2.198107,12,12,2566,84,0,1.6770916860550642,55,validation/223/uncertainty,validation,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
