id,db,domain,kind,rep,condition,method,budget,questions,correct,wrong,unfinished,project_correct,loss,recovered,suppressed,incorrect_suppression,covered_references,references,intended_covered,reference_equal,reference_failure,verification_failures,executions,controller_seconds,reason,trace_hash,repeated_questions,incorrect_scope_transfers
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,reference_candidates,verification,2,1,1,0,0,1,0,0,0,0,2,2,1,0,0,0,5,0.0041785279754549265,user_answer,9eb9b96234498c33ceb65e2522e86ae105dc719e18613abcdfc894487850e35c,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,reference_candidates,full_context,0,0,1,0,0,1,0,0,0,0,2,2,1,0,0,0,4,0.003367525991052389,full_context_proposal,2334e5d766012b2d0c94b6313bcc71a56110ed25fb97580896738ac50f55d70f,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,reference_candidates,full_context,1,0,1,0,0,1,0,0,0,0,2,2,1,0,0,0,4,0.003180537954904139,full_context_proposal,5010acf47d0378eae03e94cf1db9f8ff5f1ff092e4c7db1350ac523e1306f2b7,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,reference_candidates,full_context,2,0,1,0,0,1,0,0,0,0,2,2,1,0,0,0,4,0.0021918320562690496,full_context_proposal,89e7e0d20f8f9dd7429321bb3435d2abe42b900dd1975619aa7ce75f4a121334,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,reference_candidates,matched_checking,0,0,1,0,0,1,0,0,0,0,2,2,1,0,0,0,4,0.002540980000048876,execution_vote,8301dfc9bd482d6859ec912f0ff8cdf5fc5bded4da0ce9a864d4f1f61263b7da,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,reference_candidates,matched_checking,1,0,1,0,0,1,0,0,0,0,2,2,1,0,0,0,4,0.0026586669264361262,execution_vote,a6d611684cfae654811dc47b44c8d6e3603e8b0dc55e141a77b63c858cd21630,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,reference_candidates,matched_checking,2,0,1,0,0,1,0,0,0,0,2,2,1,0,0,0,4,0.002415688009932637,execution_vote,78cb5e321fd546ef213b4d64a28335018a87ebeb0cd61b950c4ef6d91ec35446,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,reference_candidates,no_recovery,0,0,0,0,1,0,1,0,0,0,2,2,1,0,0,0,4,0.0022257319651544094,unresolved_interpretation,d13472c359e1c6f0c46604a3620d03b49417128a18cd89663b4dcd9e72bd5320,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,reference_candidates,no_recovery,1,1,1,0,0,1,0,0,0,0,2,2,1,0,0,0,5,0.0027075790567323565,user_answer,597c0fb3cdccc46382f7db1e71a8da950ba75e6ab79ee50278832c929c5ca650,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,reference_candidates,no_recovery,2,1,1,0,0,1,0,0,0,0,2,2,1,0,0,0,5,0.002578278072178364,user_answer,9eb9b96234498c33ceb65e2522e86ae105dc719e18613abcdfc894487850e35c,0,0
