bundle,replica,condition,load,active,admitted,deferred,in_flight,offered,queued,received,released,remaining,resolved,started,unresolved,unstarted,withdrawn,correct_released,wrong_released,peak_queued,mean_wait_seconds,events,stable_checks,stability_failures
7,1,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05218066970029703,86,291,0
7,1,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5712440214657153,101,289,0
7,1,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,2,0.10776728976410456,101,292,0
7,1,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5712537471509467,86,281,0
7,1,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05096971323319639,86,297,0
8,0,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5703829481857471,86,273,0
8,0,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.053762859682767436,86,287,0
8,0,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5857245667586819,101,268,0
8,0,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,2,0.10838358152586107,101,286,0
8,0,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5721511794881036,86,272,0
8,0,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.051613104234163,86,284,0
8,1,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5674334946178043,86,270,0
8,1,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05335786640464973,86,275,0
8,1,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5848256570125858,101,275,0
8,1,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,2,0.10923443978222516,101,277,0
8,1,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5629804474480736,86,270,0
8,1,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.054241824375752076,86,278,0
9,0,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5614236523128616,86,279,0
9,0,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05382529537802419,86,283,0
9,0,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.586207935308966,101,276,0
9,0,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,2,0.10892111738212407,101,292,0
9,0,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5694410021398932,86,279,0
9,0,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.053376506557329916,86,295,0
9,1,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.566574382998694,86,281,0
9,1,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05124431925539214,86,292,0
9,1,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5760048813938808,101,283,0
9,1,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,2,0.10626737240594454,101,294,0
9,1,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5642302825312632,86,287,0
9,1,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.051853667855119474,86,295,0
10,0,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5525193942460016,86,294,0
10,0,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.0506314771482721,86,299,0
10,0,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5706661044745348,101,294,0
10,0,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,2,0.1051493370726418,101,305,0
10,0,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5575232037808746,86,294,0
10,0,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05358356909038356,86,301,0
10,1,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5578604112289702,86,294,0
10,1,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.051629689011651166,86,305,0
10,1,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5655436859233305,101,291,0
10,1,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,2,0.10004072745617193,101,301,0
10,1,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5647614963907892,86,288,0
10,1,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05032462915942933,86,306,0
11,0,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5673523499863222,86,272,0
11,0,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.052122020690988466,86,289,0
11,0,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5707580577761221,101,281,0
11,0,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,2,0.1075959366101485,101,293,0
11,0,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.56200185247088,86,284,0
11,0,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05147799800257557,86,295,0
11,1,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5690805188362271,86,278,0
11,1,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05185634037479758,86,294,0
11,1,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.570601919101766,101,283,0
11,1,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,2,0.11036930839495304,101,292,0
11,1,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5618385140909455,86,282,0
11,1,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.051742173319395915,86,296,0
