bundle_id,replicate,review_duration,comparator,sequences_differ,search_sequence,other_sequence,loss_difference
evaluation_15,2,1,edf,False,train:075;train:181;train:230,train:075;train:181;train:230,0
evaluation_15,2,2,greedy,True,train:075;train:181;train:230,train:075;train:230,0
evaluation_15,2,2,edf,False,train:075;train:181;train:230,train:075;train:181;train:230,0
evaluation_16,0,2,greedy,True,train:256;train:079,train:079;train:256,0
evaluation_16,0,2,edf,False,train:256;train:079,train:256;train:079,0
evaluation_16,0,1,greedy,True,train:256;train:079;train:182,train:079;train:256;train:182,0
evaluation_16,0,1,edf,True,train:256;train:079;train:182,train:256;train:182;train:079,0
evaluation_16,1,2,greedy,False,train:256,train:256,0
evaluation_16,1,2,edf,False,train:256,train:256,0
evaluation_16,1,1,greedy,False,train:256;train:182,train:256;train:182,0
evaluation_16,1,1,edf,False,train:256;train:182,train:256;train:182,0
evaluation_16,2,2,greedy,False,train:182,train:182,0
evaluation_16,2,2,edf,False,train:182,train:182,0
evaluation_16,2,1,greedy,False,train:182,train:182,0
evaluation_16,2,1,edf,False,train:182,train:182,0
evaluation_17,0,1,greedy,False,train:085;train:207,train:085;train:207,0
evaluation_17,0,1,edf,False,train:085;train:207,train:085;train:207,0
evaluation_17,0,2,greedy,False,train:085;train:207,train:085;train:207,0
evaluation_17,0,2,edf,False,train:085;train:207,train:085;train:207,0
evaluation_17,1,1,greedy,False,train:085;train:207,train:085;train:207,0
evaluation_17,1,1,edf,False,train:085;train:207,train:085;train:207,0
evaluation_17,1,2,greedy,False,train:085;train:207,train:085;train:207,0
evaluation_17,1,2,edf,False,train:085;train:207,train:085;train:207,0
evaluation_17,2,1,greedy,False,train:085;train:207,train:085;train:207,0
evaluation_17,2,1,edf,False,train:085;train:207,train:085;train:207,0
evaluation_17,2,2,greedy,False,train:085;train:207,train:085;train:207,0
evaluation_17,2,2,edf,False,train:085;train:207,train:085;train:207,0
evaluation_18,0,2,greedy,False,train:263;train:210,train:263;train:210,0
evaluation_18,0,2,edf,False,train:263;train:210,train:263;train:210,0
evaluation_18,0,1,greedy,False,train:263;train:210,train:263;train:210,0
evaluation_18,0,1,edf,False,train:263;train:210,train:263;train:210,0
evaluation_18,1,2,greedy,True,train:263;train:091,train:091;train:210,0
evaluation_18,1,2,edf,False,train:263;train:091,train:263;train:091,0
evaluation_18,1,1,greedy,False,train:091;train:263;train:210,train:091;train:263;train:210,0
evaluation_18,1,1,edf,True,train:091;train:263;train:210,train:263;train:091;train:210,0
evaluation_18,2,2,greedy,False,train:263;train:210,train:263;train:210,0
evaluation_18,2,2,edf,False,train:263;train:210,train:263;train:210,0
evaluation_18,2,1,greedy,False,train:263;train:210,train:263;train:210,0
evaluation_18,2,1,edf,False,train:263;train:210,train:263;train:210,0
