bundle_id,replicate,case_id,status,error_classes,failure
evaluation_14,2,train:175,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_15,0,train:230,staged,wrong_variant_mapping,
evaluation_15,1,train:230,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_15,2,train:230,staged,wrong_variant_mapping,
evaluation_16,0,train:079,staged,wrong_variant_mapping,
evaluation_16,1,train:079,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_16,2,train:256,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_16,2,train:079,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_17,0,train:257,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_17,1,train:257,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_17,2,train:257,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_18,0,train:091,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_18,1,train:091,staged,wrong_variant_mapping,
evaluation_18,2,train:091,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_20,0,train:294,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_20,1,train:294,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_20,2,train:294,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_21,0,train:103,staged,wrong_or_incomplete_item_list,
evaluation_21,1,train:103,staged,wrong_or_incomplete_item_list,
evaluation_21,2,train:103,staged,wrong_or_incomplete_item_list,
evaluation_22,0,train:308,staged,wrong_variant_mapping,
evaluation_22,1,train:308,staged,wrong_variant_mapping,
evaluation_22,1,train:247,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_22,2,train:308,staged,wrong_variant_mapping,
evaluation_25,0,train:110,staged,wrong_variant_mapping,
evaluation_25,1,train:336,workflow_failed,unstaged_failure,
evaluation_25,1,train:110,staged,wrong_variant_mapping,
evaluation_25,2,train:336,staged,wrong_variant_mapping,
evaluation_25,2,train:110,staged,wrong_variant_mapping,
evaluation_27,1,train:358,workflow_failed,unstaged_failure,RuntimeError: ValueError: Truncated generation: length
evaluation_27,2,train:358,workflow_failed,unstaged_failure,
evaluation_28,0,train:122,staged,wrong_variant_mapping,
evaluation_28,0,train:375,staged,wrong_variant_mapping,
evaluation_28,1,train:122,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_28,1,train:375,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_28,2,train:122,staged,wrong_variant_mapping,
evaluation_28,2,train:375,staged,wrong_or_incomplete_item_list;wrong_variant_mapping,
evaluation_29,0,train:385,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_29,0,train:285,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_29,1,train:385,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_29,2,train:385,workflow_failed,unstaged_failure,
evaluation_29,2,train:285,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_30,0,train:404,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_30,1,train:404,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_30,2,train:404,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_31,1,train:304,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
