bundle,condition_id,policy,input_hash,study,load,setup,budget,reviewer,contexts,loss,correct,unresolved,reviews,corrections,harms,abstentions,proposal_failures,review_failures,missed_useful,active_time,setup_time,switch_time,decision_time,coordination_time,session_offers,context_changes,repeated_context_inspections,expired_unreviewed,waiting_time,planning_and_controller_seconds
0,core_low_0_6_model_risk,guarded,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,6,model_risk,related,60,1,8,6,1,0,2,0,0,0,6.0,0.0,0.0,6.0,0.0,6,4,2,3,6.0,0.0007036949973553419
0,core_low_0_12_ideal,no_review,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,12,ideal,related,72,0,9,0,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.0002120619174093008
0,core_low_0_12_ideal,fifo,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,12,ideal,related,0,9,0,9,9,0,0,0,0,0,9.0,0.0,0.0,9.0,0.0,9,8,6,0,9.0,0.000544263981282711
0,core_low_0_12_ideal,edf,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,12,ideal,related,0,9,0,9,9,0,0,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.00048155104741454124
0,core_low_0_12_ideal,greedy,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,12,ideal,related,0,9,0,9,9,0,0,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.0015006319154053926
0,core_low_0_12_ideal,density,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,12,ideal,related,0,9,0,9,9,0,0,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.0004770329687744379
0,core_low_0_12_ideal,fixed_window,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,12,ideal,related,8,8,1,8,8,0,0,0,0,1,8.0,0.0,0.0,8.0,0.0,8,7,5,1,14.0,0.0006151830311864614
0,core_low_0_12_ideal,unguarded,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,12,ideal,related,0,9,0,9,9,0,0,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.0008578510023653507
0,core_low_0_12_ideal,sticky_edf,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,12,ideal,related,0,9,0,9,9,0,0,0,0,0,9.0,0.0,0.0,9.0,0.0,9,6,4,0,9.0,0.0005579219432547688
0,core_low_0_12_ideal,allocation,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,12,ideal,related,0,9,0,9,9,0,0,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.0005970459897071123
0,core_low_0_12_ideal,guarded,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,12,ideal,related,0,9,0,9,9,0,0,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.0008848720462992787
0,core_low_0_12_model,no_review,9d132aa4a4a65274fd4b697b2dbbf301ca0a61ccf12172692d81c70fa9ff7c2a,core,low,0,12,model,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.00023421202786266804
