comparison,demand,budget,metric,mean,lo,hi,negative,ties,positive,projects
dependency_barrier minus semantic_memory,4,6,project_correct,-0.041666666666666664,-0.125,0.0,1,23,0,24
dependency_barrier minus semantic_memory,4,6,artifact_accuracy,-0.008680555555555558,-0.041666666666666664,0.015625,1,22,1,24
dependency_barrier minus semantic_memory,4,6,questions,1.4583333333333333,0.875,2.1666666666666665,0,6,18,24
dependency_barrier minus semantic_memory,4,6,answered_questions,1.4166666666666667,0.875,2.042187499999997,0,6,18,24
dependency_barrier minus semantic_memory,4,6,revalidation_reads,-2.4583333333333335,-3.1875,-1.7916666666666667,19,5,0,24
dependency_barrier minus semantic_memory,4,unlimited,project_correct,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus semantic_memory,4,unlimited,artifact_accuracy,0.005208333333333333,0.0,0.015625,0,23,1,24
dependency_barrier minus semantic_memory,4,unlimited,questions,1.4583333333333333,0.875,2.1666666666666665,0,6,18,24
dependency_barrier minus semantic_memory,4,unlimited,answered_questions,1.4583333333333333,0.875,2.1666666666666665,0,6,18,24
dependency_barrier minus semantic_memory,4,unlimited,revalidation_reads,-2.4583333333333335,-3.1875,-1.7916666666666667,19,5,0,24
dependency_barrier minus semantic_memory,6,0,project_correct,-0.3541666666666667,-0.5208333333333334,-0.20833333333333334,12,12,0,24
dependency_barrier minus semantic_memory,6,0,artifact_accuracy,-0.27708333333333335,-0.38473958333333336,-0.17222222222222225,15,9,0,24
dependency_barrier minus semantic_memory,6,0,questions,4.416666666666667,2.6458333333333335,6.62552083333333,2,4,18,24
dependency_barrier minus semantic_memory,6,0,answered_questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus semantic_memory,6,0,revalidation_reads,-4.229166666666667,-5.5,-3.1041666666666665,19,5,0,24
dependency_barrier minus semantic_memory,6,2,project_correct,-0.2916666666666667,-0.4791666666666667,-0.10416666666666667,9,14,1,24
dependency_barrier minus semantic_memory,6,2,artifact_accuracy,-0.20208333333333336,-0.3340277777777778,-0.08055555555555556,10,12,2,24
dependency_barrier minus semantic_memory,6,2,questions,3.1458333333333335,1.6041666666666667,4.958333333333333,2,4,18,24
dependency_barrier minus semantic_memory,6,2,answered_questions,0.7083333333333334,0.4166666666666667,1.0,1,9,14,24
dependency_barrier minus semantic_memory,6,2,revalidation_reads,-4.1875,-5.4375,-3.0625,19,5,0,24
dependency_barrier minus semantic_memory,6,6,project_correct,-0.08333333333333333,-0.1875,0.0,3,21,0,24
dependency_barrier minus semantic_memory,6,6,artifact_accuracy,-0.03194444444444444,-0.08888888888888889,0.0034722222222222285,3,20,1,24
dependency_barrier minus semantic_memory,6,6,questions,2.0208333333333335,1.0625,3.1880208333333306,2,4,18,24
dependency_barrier minus semantic_memory,6,6,answered_questions,1.6875,0.9791666666666666,2.4375,2,4,18,24
dependency_barrier minus semantic_memory,6,6,revalidation_reads,-4.1875,-5.4375,-3.0625,19,5,0,24
dependency_barrier minus semantic_memory,6,unlimited,project_correct,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus semantic_memory,6,unlimited,artifact_accuracy,0.0034722222222222238,0.0,0.010416666666666671,0,23,1,24
dependency_barrier minus semantic_memory,6,unlimited,questions,1.875,1.0411458333333334,2.8541666666666665,2,4,18,24
dependency_barrier minus semantic_memory,6,unlimited,answered_questions,1.875,1.0411458333333334,2.8541666666666665,2,4,18,24
dependency_barrier minus semantic_memory,6,unlimited,revalidation_reads,-4.1875,-5.4375,-3.0625,19,5,0,24
dependency_barrier minus full_history,2,0,project_correct,-0.375,-0.5625,-0.20833333333333334,10,14,0,24
dependency_barrier minus full_history,2,0,artifact_accuracy,-0.3125,-0.4479166666666667,-0.17708333333333334,16,7,1,24
dependency_barrier minus full_history,2,0,questions,2.125,1.5208333333333333,2.8333333333333335,0,3,21,24
dependency_barrier minus full_history,2,0,answered_questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus full_history,2,0,revalidation_reads,-1.4166666666666667,-1.8333333333333333,-1.0416666666666667,19,5,0,24
dependency_barrier minus full_history,2,2,project_correct,-0.2708333333333333,-0.4375,-0.10416666666666667,8,15,1,24
dependency_barrier minus full_history,2,2,artifact_accuracy,-0.1875,-0.3229166666666667,-0.052083333333333336,10,12,2,24
dependency_barrier minus full_history,2,2,questions,2.125,1.5208333333333333,2.8333333333333335,0,3,21,24
dependency_barrier minus full_history,2,2,answered_questions,1.1458333333333333,0.8541666666666666,1.4166666666666667,0,5,19,24
dependency_barrier minus full_history,2,2,revalidation_reads,-1.4166666666666667,-1.8333333333333333,-1.0416666666666667,19,5,0,24
dependency_barrier minus full_history,2,6,project_correct,0.08333333333333333,-0.0630208333333333,0.25,3,17,4,24
dependency_barrier minus full_history,2,6,artifact_accuracy,0.0625,-0.020833333333333332,0.14583333333333334,3,16,5,24
dependency_barrier minus full_history,2,6,questions,2.125,1.5208333333333333,2.8333333333333335,0,3,21,24
dependency_barrier minus full_history,2,6,answered_questions,2.0833333333333335,1.5203125,2.729687499999997,0,3,21,24
dependency_barrier minus full_history,2,6,revalidation_reads,-1.4166666666666667,-1.8333333333333333,-1.0416666666666667,19,5,0,24
dependency_barrier minus full_history,2,unlimited,project_correct,0.125,-0.020833333333333332,0.2708333333333333,2,18,4,24
dependency_barrier minus full_history,2,unlimited,artifact_accuracy,0.08333333333333333,0.010416666666666666,0.15625,2,17,5,24
dependency_barrier minus full_history,2,unlimited,questions,2.125,1.5208333333333333,2.8333333333333335,0,3,21,24
dependency_barrier minus full_history,2,unlimited,answered_questions,2.125,1.5208333333333333,2.8333333333333335,0,3,21,24
dependency_barrier minus full_history,2,unlimited,revalidation_reads,-1.4166666666666667,-1.8333333333333333,-1.0416666666666667,19,5,0,24
dependency_barrier minus full_history,4,0,project_correct,-0.3333333333333333,-0.5416666666666666,-0.125,10,13,1,24
dependency_barrier minus full_history,4,0,artifact_accuracy,-0.296875,-0.4305555555555556,-0.16662326388888912,18,3,3,24
dependency_barrier minus full_history,4,0,questions,3.3125,2.2291666666666665,4.4375,2,2,20,24
dependency_barrier minus full_history,4,0,answered_questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus full_history,4,0,revalidation_reads,-2.4583333333333335,-3.1875,-1.7916666666666667,19,5,0,24
dependency_barrier minus full_history,4,2,project_correct,-0.2708333333333333,-0.4375,-0.10416666666666667,8,15,1,24
dependency_barrier minus full_history,4,2,artifact_accuracy,-0.1545138888888889,-0.2604166666666667,-0.052083333333333336,10,12,2,24
dependency_barrier minus full_history,4,2,questions,2.3333333333333335,1.4583333333333333,3.271354166666664,2,3,19,24
dependency_barrier minus full_history,4,2,answered_questions,0.9791666666666666,0.5625,1.3546874999999972,3,3,18,24
dependency_barrier minus full_history,4,2,revalidation_reads,-2.4583333333333335,-3.1875,-1.7916666666666667,19,5,0,24
dependency_barrier minus full_history,4,6,project_correct,0.08333333333333333,-0.0630208333333333,0.25,3,17,4,24
dependency_barrier minus full_history,4,6,artifact_accuracy,0.03819444444444444,-0.024305555555555556,0.10416666666666667,3,16,5,24
dependency_barrier minus full_history,4,6,questions,1.9583333333333333,1.2291666666666667,2.7291666666666665,2,3,19,24
dependency_barrier minus full_history,4,6,answered_questions,1.9166666666666667,1.2291666666666667,2.6458333333333335,2,3,19,24
dependency_barrier minus full_history,4,6,revalidation_reads,-2.4583333333333335,-3.1875,-1.7916666666666667,19,5,0,24
dependency_barrier minus full_history,4,unlimited,project_correct,0.125,-0.020833333333333332,0.2708333333333333,2,18,4,24
dependency_barrier minus full_history,4,unlimited,artifact_accuracy,0.052083333333333336,0.0,0.11458333333333333,2,17,5,24
dependency_barrier minus full_history,4,unlimited,questions,1.9583333333333333,1.2291666666666667,2.7291666666666665,2,3,19,24
dependency_barrier minus full_history,4,unlimited,answered_questions,1.9583333333333333,1.2291666666666667,2.7291666666666665,2,3,19,24
dependency_barrier minus full_history,4,unlimited,revalidation_reads,-2.4583333333333335,-3.1875,-1.7916666666666667,19,5,0,24
dependency_barrier minus full_history,6,0,project_correct,-0.3333333333333333,-0.5416666666666666,-0.125,10,13,1,24
dependency_barrier minus full_history,6,0,artifact_accuracy,-0.34236111111111117,-0.47222222222222215,-0.21526041666666676,18,4,2,24
dependency_barrier minus full_history,6,0,questions,6.3125,4.145833333333333,8.6875,3,1,20,24
dependency_barrier minus full_history,6,0,answered_questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus full_history,6,0,revalidation_reads,-4.229166666666667,-5.5,-3.1041666666666665,19,5,0,24
dependency_barrier minus full_history,6,2,project_correct,-0.1875,-0.3541666666666667,-0.020833333333333332,7,15,2,24
dependency_barrier minus full_history,6,2,artifact_accuracy,-0.18472222222222223,-0.30069444444444443,-0.06319444444444446,11,12,1,24
dependency_barrier minus full_history,6,2,questions,3.8541666666666665,2.1666666666666665,5.729166666666667,2,2,20,24
dependency_barrier minus full_history,6,2,answered_questions,0.8958333333333334,0.4791666666666667,1.2916666666666667,2,7,15,24
dependency_barrier minus full_history,6,2,revalidation_reads,-4.1875,-5.4375,-3.0625,19,5,0,24
dependency_barrier minus full_history,6,6,project_correct,0.041666666666666664,-0.125,0.20833333333333334,5,15,4,24
dependency_barrier minus full_history,6,6,artifact_accuracy,0.016666666666666673,-0.06736111111111112,0.10763888888888888,5,15,4,24
dependency_barrier minus full_history,6,6,questions,2.4166666666666665,1.4166666666666667,3.5833333333333335,2,2,20,24
dependency_barrier minus full_history,6,6,answered_questions,2.0833333333333335,1.3125,2.875,2,2,20,24
dependency_barrier minus full_history,6,6,revalidation_reads,-4.1875,-5.4375,-3.0625,19,5,0,24
dependency_barrier minus full_history,6,unlimited,project_correct,0.125,-0.020833333333333332,0.2708333333333333,2,18,4,24
dependency_barrier minus full_history,6,unlimited,artifact_accuracy,0.052083333333333336,-0.013888888888888886,0.12847222222222224,2,18,4,24
dependency_barrier minus full_history,6,unlimited,questions,2.2708333333333335,1.3953125,3.229687499999997,2,2,20,24
dependency_barrier minus full_history,6,unlimited,answered_questions,2.2708333333333335,1.3953125,3.229687499999997,2,2,20,24
dependency_barrier minus full_history,6,unlimited,revalidation_reads,-4.1875,-5.4375,-3.0625,19,5,0,24
dependency_barrier minus global_barrier,2,0,project_correct,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,2,0,artifact_accuracy,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,2,0,questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,2,0,answered_questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,2,0,revalidation_reads,-1.4166666666666667,-1.8333333333333333,-1.0416666666666667,19,5,0,24
dependency_barrier minus global_barrier,2,2,project_correct,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,2,2,artifact_accuracy,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,2,2,questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,2,2,answered_questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,2,2,revalidation_reads,-1.4166666666666667,-1.8333333333333333,-1.0416666666666667,19,5,0,24
dependency_barrier minus global_barrier,2,6,project_correct,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,2,6,artifact_accuracy,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,2,6,questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,2,6,answered_questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,2,6,revalidation_reads,-1.4166666666666667,-1.8333333333333333,-1.0416666666666667,19,5,0,24
dependency_barrier minus global_barrier,2,unlimited,project_correct,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,2,unlimited,artifact_accuracy,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,2,unlimited,questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,2,unlimited,answered_questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,2,unlimited,revalidation_reads,-1.4166666666666667,-1.8333333333333333,-1.0416666666666667,19,5,0,24
dependency_barrier minus global_barrier,4,0,project_correct,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,4,0,artifact_accuracy,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,4,0,questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,4,0,answered_questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,4,0,revalidation_reads,-2.4583333333333335,-3.1875,-1.7916666666666667,19,5,0,24
dependency_barrier minus global_barrier,4,2,project_correct,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,4,2,artifact_accuracy,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,4,2,questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,4,2,answered_questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,4,2,revalidation_reads,-2.4583333333333335,-3.1875,-1.7916666666666667,19,5,0,24
dependency_barrier minus global_barrier,4,6,project_correct,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,4,6,artifact_accuracy,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,4,6,questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,4,6,answered_questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,4,6,revalidation_reads,-2.4583333333333335,-3.1875,-1.7916666666666667,19,5,0,24
dependency_barrier minus global_barrier,4,unlimited,project_correct,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,4,unlimited,artifact_accuracy,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,4,unlimited,questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,4,unlimited,answered_questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,4,unlimited,revalidation_reads,-2.4583333333333335,-3.1875,-1.7916666666666667,19,5,0,24
dependency_barrier minus global_barrier,6,0,project_correct,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,6,0,artifact_accuracy,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,6,0,questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,6,0,answered_questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,6,0,revalidation_reads,-4.229166666666667,-5.5,-3.1041666666666665,19,5,0,24
dependency_barrier minus global_barrier,6,2,project_correct,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,6,2,artifact_accuracy,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,6,2,questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,6,2,answered_questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,6,2,revalidation_reads,-4.1875,-5.4375,-3.0625,19,5,0,24
dependency_barrier minus global_barrier,6,6,project_correct,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,6,6,artifact_accuracy,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,6,6,questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,6,6,answered_questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,6,6,revalidation_reads,-4.1875,-5.4375,-3.0625,19,5,0,24
dependency_barrier minus global_barrier,6,unlimited,project_correct,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,6,unlimited,artifact_accuracy,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,6,unlimited,questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,6,unlimited,answered_questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus global_barrier,6,unlimited,revalidation_reads,-4.1875,-5.4375,-3.0625,19,5,0,24
dependency_barrier minus records_read,2,0,project_correct,-0.125,-0.25,-0.020833333333333332,4,20,0,24
dependency_barrier minus records_read,2,0,artifact_accuracy,-0.08333333333333333,-0.1981770833333333,0.03125,7,13,4,24
dependency_barrier minus records_read,2,0,questions,0.5208333333333334,0.2916666666666667,0.7708333333333334,0,12,12,24
dependency_barrier minus records_read,2,0,answered_questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus records_read,2,0,revalidation_reads,0.8333333333333334,0.5625,1.1041666666666667,0,8,16,24
dependency_barrier minus records_read,2,2,project_correct,0.125,-0.041666666666666664,0.2916666666666667,4,14,6,24
dependency_barrier minus records_read,2,2,artifact_accuracy,0.020833333333333332,-0.08333333333333333,0.125,6,12,6,24
dependency_barrier minus records_read,2,2,questions,1.0208333333333333,0.7083333333333334,1.3333333333333333,0,6,18,24
dependency_barrier minus records_read,2,2,answered_questions,0.4583333333333333,0.22916666666666666,0.6671874999999972,0,13,11,24
dependency_barrier minus records_read,2,2,revalidation_reads,1.6666666666666667,1.375,1.9375,0,3,21,24
dependency_barrier minus records_read,2,6,project_correct,0.3958333333333333,0.2708333333333333,0.5,2,11,11,24
dependency_barrier minus records_read,2,6,artifact_accuracy,0.21875,0.16666666666666666,0.25,2,10,12,24
dependency_barrier minus records_read,2,6,questions,1.0833333333333333,0.75,1.4166666666666667,0,6,18,24
dependency_barrier minus records_read,2,6,answered_questions,1.0416666666666667,0.7291666666666666,1.3541666666666667,0,6,18,24
dependency_barrier minus records_read,2,6,revalidation_reads,1.875,1.4791666666666667,2.3333333333333335,0,3,21,24
dependency_barrier minus records_read,2,unlimited,project_correct,0.4375,0.3333333333333333,0.5,1,12,11,24
dependency_barrier minus records_read,2,unlimited,artifact_accuracy,0.23958333333333334,0.21875,0.25,1,11,12,24
dependency_barrier minus records_read,2,unlimited,questions,1.0833333333333333,0.75,1.4166666666666667,0,6,18,24
dependency_barrier minus records_read,2,unlimited,answered_questions,1.0833333333333333,0.75,1.4166666666666667,0,6,18,24
dependency_barrier minus records_read,2,unlimited,revalidation_reads,1.875,1.4791666666666667,2.3333333333333335,0,3,21,24
dependency_barrier minus records_read,4,0,project_correct,-0.125,-0.25,-0.020833333333333332,4,20,0,24
dependency_barrier minus records_read,4,0,artifact_accuracy,-0.11631944444444446,-0.20837673611111113,-0.03294270833333357,9,12,3,24
dependency_barrier minus records_read,4,0,questions,0.9375,0.5203125000000001,1.3546874999999972,0,12,12,24
dependency_barrier minus records_read,4,0,answered_questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus records_read,4,0,revalidation_reads,1.2916666666666667,0.8541666666666666,1.75,0,8,16,24
dependency_barrier minus records_read,4,2,project_correct,0.125,-0.041666666666666664,0.2916666666666667,4,14,6,24
dependency_barrier minus records_read,4,2,artifact_accuracy,-0.027777777777777776,-0.13020833333333334,0.06944444444444445,8,11,5,24
dependency_barrier minus records_read,4,2,questions,1.2916666666666667,0.875,1.7291666666666667,0,6,18,24
dependency_barrier minus records_read,4,2,answered_questions,0.4583333333333333,0.22916666666666666,0.6671874999999972,0,13,11,24
dependency_barrier minus records_read,4,2,revalidation_reads,2.6458333333333335,2.1458333333333335,3.1041666666666665,0,3,21,24
dependency_barrier minus records_read,4,6,project_correct,0.3958333333333333,0.2708333333333333,0.5,2,11,11,24
dependency_barrier minus records_read,4,6,artifact_accuracy,0.125,0.08324652777777777,0.16666666666666666,2,10,12,24
dependency_barrier minus records_read,4,6,questions,1.0833333333333333,0.75,1.4166666666666667,0,6,18,24
dependency_barrier minus records_read,4,6,answered_questions,1.0416666666666667,0.7291666666666666,1.3541666666666667,0,6,18,24
dependency_barrier minus records_read,4,6,revalidation_reads,2.9166666666666665,2.2916666666666665,3.5625,0,3,21,24
dependency_barrier minus records_read,4,unlimited,project_correct,0.4375,0.3333333333333333,0.5,1,12,11,24
dependency_barrier minus records_read,4,unlimited,artifact_accuracy,0.1388888888888889,0.1076388888888889,0.17013888888888892,1,11,12,24
dependency_barrier minus records_read,4,unlimited,questions,1.0833333333333333,0.75,1.4166666666666667,0,6,18,24
dependency_barrier minus records_read,4,unlimited,answered_questions,1.0833333333333333,0.75,1.4166666666666667,0,6,18,24
dependency_barrier minus records_read,4,unlimited,revalidation_reads,2.9166666666666665,2.2916666666666665,3.5625,0,3,21,24
dependency_barrier minus records_read,6,0,project_correct,-0.125,-0.25,-0.020833333333333332,4,20,0,24
dependency_barrier minus records_read,6,0,artifact_accuracy,-0.11458333333333333,-0.20486111111111113,-0.02916666666666667,10,11,3,24
dependency_barrier minus records_read,6,0,questions,1.6458333333333333,0.9166666666666666,2.4166666666666665,0,12,12,24
dependency_barrier minus records_read,6,0,answered_questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus records_read,6,0,revalidation_reads,2.375,1.5625,3.1875,0,8,16,24
dependency_barrier minus records_read,6,2,project_correct,0.125,-0.041666666666666664,0.2916666666666667,4,14,6,24
dependency_barrier minus records_read,6,2,artifact_accuracy,-0.016666666666666653,-0.14583333333333331,0.10833333333333335,9,9,6,24
dependency_barrier minus records_read,6,2,questions,2.2083333333333335,1.3958333333333333,3.0833333333333335,0,6,18,24
dependency_barrier minus records_read,6,2,answered_questions,0.375,0.16666666666666666,0.6041666666666666,0,16,8,24
dependency_barrier minus records_read,6,2,revalidation_reads,4.833333333333333,3.9375,5.708333333333333,0,3,21,24
dependency_barrier minus records_read,6,6,project_correct,0.3541666666666667,0.22916666666666666,0.4583333333333333,3,10,11,24
dependency_barrier minus records_read,6,6,artifact_accuracy,0.1527777777777778,0.08194444444444444,0.21946180555555547,3,9,12,24
dependency_barrier minus records_read,6,6,questions,1.4375,0.9166666666666666,2.0416666666666665,0,6,18,24
dependency_barrier minus records_read,6,6,answered_questions,1.1041666666666667,0.75,1.4380208333333304,0,7,17,24
dependency_barrier minus records_read,6,6,revalidation_reads,5.4375,4.229166666666667,6.792708333333328,0,3,21,24
dependency_barrier minus records_read,6,unlimited,project_correct,0.4375,0.3333333333333333,0.5,1,12,11,24
dependency_barrier minus records_read,6,unlimited,artifact_accuracy,0.18819444444444447,0.14305555555555557,0.23750000000000002,1,11,12,24
dependency_barrier minus records_read,6,unlimited,questions,1.2916666666666667,0.875,1.7083333333333333,0,6,18,24
dependency_barrier minus records_read,6,unlimited,answered_questions,1.2916666666666667,0.875,1.7083333333333333,0,6,18,24
dependency_barrier minus records_read,6,unlimited,revalidation_reads,5.4375,4.229166666666667,6.792708333333328,0,3,21,24
