id,replicate,tasks,fields,multi_field_tasks,tasks_missing_two_values,shared_registered_decisions,depth1_question,depth2_question,first_question_differs,predicted_two_step_advantage,zero_one_step_positive_two_step
MUL1060.json,1,2,3,1,0,0,hotel.area,attraction.area,1,0.40205479452054793,0
MUL1071.json,0,2,3,1,1,0,hotel.pricerange,attraction.area,1,0.1318181818181816,0
MUL1071.json,1,2,3,1,1,0,hotel.pricerange,attraction.area,1,0.1318181818181816,0
MUL1076.json,0,2,4,2,2,0,,attraction.area,1,0.8999999999999999,1
MUL1076.json,1,2,4,2,2,0,,attraction.area,1,0.8999999999999999,1
MUL1088.json,0,2,5,2,0,0,attraction.area,attraction.area,0,0.497945205479452,0
MUL1088.json,1,2,5,2,0,0,attraction.area,attraction.area,0,0.497945205479452,0
MUL1117.json,0,2,3,1,1,0,attraction.type,attraction.type,0,0.0,0
MUL1117.json,1,2,3,1,1,0,attraction.type,attraction.type,0,0.0,0
MUL1137.json,0,2,4,2,1,0,hotel.pricerange,attraction.area,1,0.7681818181818183,0
MUL1137.json,1,2,4,2,2,0,,attraction.area,1,0.8999999999999999,1
MUL1139.json,0,2,3,1,1,0,hotel.pricerange,attraction.area,1,0.1318181818181816,0
MUL1139.json,1,2,3,1,0,0,hotel.pricerange,attraction.type,1,0.40205479452054793,0
MUL1159.json,0,2,4,2,1,0,hotel.area,attraction.area,1,0.7681818181818183,0
MUL1159.json,1,2,4,2,1,0,hotel.area,attraction.area,1,0.7681818181818183,0
MUL1392.json,0,2,5,2,1,0,restaurant.area,restaurant.area,0,0.20806451612903243,0
MUL1392.json,1,2,5,2,1,0,restaurant.area,restaurant.area,0,0.20806451612903243,0
MUL2316.json,0,2,4,1,1,0,attraction.type,attraction.type,0,0.0,0
MUL2316.json,1,2,4,1,1,0,attraction.type,attraction.type,0,0.0,0
MUL2317.json,0,2,3,1,1,0,attraction.type,attraction.type,0,0.0,0
MUL2317.json,1,2,3,1,1,0,attraction.type,attraction.type,0,0.0,0
MUL2320.json,0,2,3,1,0,0,attraction.type,attraction.type,0,0.1914151925078048,0
MUL2320.json,1,2,3,1,0,0,attraction.type,attraction.type,0,0.1914151925078048,0
MUL2347.json,0,2,5,2,1,0,restaurant.area,attraction.area,1,0.7241599812023762,0
MUL2347.json,1,2,5,2,0,0,attraction.type,attraction.area,1,0.497945205479452,0
MUL2358.json,0,2,3,1,0,0,attraction.type,attraction.type,0,0.1914151925078048,0
MUL2358.json,1,2,3,1,0,0,attraction.type,attraction.type,0,0.1914151925078048,0
MUL2359.json,0,2,4,1,1,0,attraction.type,attraction.type,0,0.0,0
MUL2359.json,1,2,4,1,1,0,attraction.type,attraction.type,0,0.0,0
MUL2365.json,0,2,4,1,1,0,attraction.area,attraction.area,0,0.0,0
MUL2365.json,1,2,4,1,1,0,attraction.area,attraction.area,0,0.0,0
MUL2378.json,0,2,3,1,0,0,attraction.area,attraction.area,0,0.6919354838709676,0
MUL2378.json,1,2,3,1,0,0,attraction.area,attraction.area,0,0.6919354838709676,0
MUL2423.json,0,2,5,2,2,0,,attraction.area,1,0.8999999999999999,1
MUL2423.json,1,2,5,2,2,0,,attraction.area,1,0.8999999999999999,1
MUL2427.json,0,2,5,2,1,0,restaurant.pricerange,attraction.area,1,0.44947970863683717,0
MUL2427.json,1,2,5,2,2,0,,attraction.area,1,0.8999999999999999,1
MUL2432.json,0,2,5,2,2,0,,attraction.area,1,0.8999999999999999,1
MUL2432.json,1,2,5,2,2,0,,attraction.area,1,0.8999999999999999,1
MUL2439.json,0,2,4,2,0,0,attraction.type,attraction.area,1,0.497945205479452,0
MUL2439.json,1,2,4,2,1,0,restaurant.food,attraction.area,1,0.7085848074921952,0
MUL2442.json,0,2,4,2,1,0,attraction.area,attraction.area,0,0.497945205479452,0
MUL2442.json,1,2,4,2,1,0,attraction.area,attraction.area,0,0.497945205479452,0
MUL2457.json,0,2,4,2,2,0,,attraction.area,1,0.8999999999999999,1
MUL2457.json,1,2,4,2,2,0,,attraction.area,1,0.8999999999999999,1
MUL2466.json,0,2,3,1,0,0,attraction.area,attraction.area,0,0.1914151925078048,0
MUL2466.json,1,2,3,1,0,0,attraction.area,attraction.area,0,0.1914151925078048,0
