baseline,budget,error_weight,metric,difference,lo,hi,negative,ties,positive,dialogues
semantic_memory,2.0,2.0,project_correct,-0.020833333333333332,-0.0625,0.0,1,47,0,48
semantic_memory,2.0,2.0,correct,0.03125,-0.041666666666666664,0.10416666666666667,1,44,3,48
semantic_memory,2.0,2.0,incorrect,-0.03125,-0.08333333333333333,0.0,2,46,0,48
semantic_memory,2.0,2.0,unfinished,0.0,-0.08333333333333333,0.08333333333333333,2,44,2,48
semantic_memory,2.0,2.0,questions,0.19791666666666666,0.0,0.3854166666666667,6,26,16,48
completion,2.0,2.0,loss,-0.21875,-0.34375,-0.10416666666666667,12,35,1,48
completion,2.0,2.0,project_correct,0.23958333333333334,0.125,0.3645833333333333,0,35,13,48
completion,2.0,2.0,correct,0.23958333333333334,0.125,0.3645833333333333,0,35,13,48
completion,2.0,2.0,incorrect,0.020833333333333332,0.0,0.052083333333333336,0,46,2,48
completion,2.0,2.0,unfinished,-0.2604166666666667,-0.3854166666666667,-0.14583333333333334,14,34,0,48
completion,2.0,2.0,questions,-0.13541666666666666,-0.23958333333333334,-0.041666666666666664,7,41,0,48
full_history,2.0,2.0,loss,0.2604166666666667,0.041666666666666664,0.46875,7,21,20,48
full_history,2.0,2.0,project_correct,-0.3541666666666667,-0.5,-0.20833333333333334,21,25,2,48
full_history,2.0,2.0,correct,-0.3541666666666667,-0.5,-0.20833333333333334,21,25,2,48
full_history,2.0,2.0,incorrect,-0.09375,-0.20833333333333334,0.020833333333333332,8,36,4,48
full_history,2.0,2.0,unfinished,0.4479166666666667,0.3125,0.5833333333333334,0,25,23,48
full_history,2.0,2.0,questions,1.8333333333333333,1.7291666666666667,1.9270833333333333,0,0,48,48
depth3,2.0,2.0,loss,0.0,0.0,0.0,0,48,0,48
depth3,2.0,2.0,project_correct,0.0,0.0,0.0,0,48,0,48
depth3,2.0,2.0,correct,0.0,0.0,0.0,0,48,0,48
depth3,2.0,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
depth3,2.0,2.0,unfinished,0.0,0.0,0.0,0,48,0,48
depth3,2.0,2.0,questions,0.0,0.0,0.0,0,48,0,48
generic2,2.0,2.0,loss,0.0,0.0,0.0,0,48,0,48
generic2,2.0,2.0,project_correct,0.0,0.0,0.0,0,48,0,48
