seed,review_ticks,left,right,loss_difference,lower_bound,upper_bound
311,1,delay,uncertainty,-12,-12,-12
312,1,delay,uncertainty,0,0,0
313,1,delay,uncertainty,0,0,0
314,1,delay,uncertainty,0,0,0
315,1,delay,uncertainty,0,0,0
300,1,greedy,myopic,0,0,0
301,1,greedy,myopic,0,0,0
302,1,greedy,myopic,0,0,0
303,1,greedy,myopic,0,0,0
304,1,greedy,myopic,0,0,0
305,1,greedy,myopic,0,0,0
306,1,greedy,myopic,0,0,0
307,1,greedy,myopic,0,0,0
308,1,greedy,myopic,0,0,0
309,1,greedy,myopic,0,0,0
310,1,greedy,myopic,0,0,0
311,1,greedy,myopic,0,0,0
312,1,greedy,myopic,0,0,0
313,1,greedy,myopic,0,0,0
314,1,greedy,myopic,0,0,0
315,1,greedy,myopic,0,0,0
300,1,edf,myopic,0,0,0
301,1,edf,myopic,0,0,0
302,1,edf,myopic,-4,-4,-4
303,1,edf,myopic,0,0,0
304,1,edf,myopic,0,0,0
305,1,edf,myopic,-4,-4,-4
306,1,edf,myopic,0,0,0
307,1,edf,myopic,0,0,0
308,1,edf,myopic,0,0,0
309,1,edf,myopic,0,0,0
310,1,edf,myopic,0,0,0
311,1,edf,myopic,0,0,0
312,1,edf,myopic,0,0,0
313,1,edf,myopic,0,0,0
314,1,edf,myopic,-4,-4,-4
315,1,edf,myopic,0,0,0
300,1,delay,myopic,0,0,0
301,1,delay,myopic,0,0,0
302,1,delay,myopic,-4,-4,-4
303,1,delay,myopic,0,0,0
304,1,delay,myopic,0,0,0
305,1,delay,myopic,-4,-4,-4
306,1,delay,myopic,0,0,0
307,1,delay,myopic,0,0,0
308,1,delay,myopic,0,0,0
309,1,delay,myopic,0,0,0
310,1,delay,myopic,0,0,0
311,1,delay,myopic,0,0,0
312,1,delay,myopic,0,0,0
313,1,delay,myopic,0,0,0
314,1,delay,myopic,-4,-4,-4
315,1,delay,myopic,0,0,0
300,1,edf,greedy,0,0,0
301,1,edf,greedy,0,0,0
302,1,edf,greedy,-4,-4,-4
303,1,edf,greedy,0,0,0
304,1,edf,greedy,0,0,0
305,1,edf,greedy,-4,-4,-4
306,1,edf,greedy,0,0,0
307,1,edf,greedy,0,0,0
308,1,edf,greedy,0,0,0
309,1,edf,greedy,0,0,0
310,1,edf,greedy,0,0,0
311,1,edf,greedy,0,0,0
312,1,edf,greedy,0,0,0
313,1,edf,greedy,0,0,0
314,1,edf,greedy,-4,-4,-4
315,1,edf,greedy,0,0,0
300,1,delay,greedy,0,0,0
301,1,delay,greedy,0,0,0
302,1,delay,greedy,-4,-4,-4
303,1,delay,greedy,0,0,0
304,1,delay,greedy,0,0,0
305,1,delay,greedy,-4,-4,-4
306,1,delay,greedy,0,0,0
307,1,delay,greedy,0,0,0
308,1,delay,greedy,0,0,0
309,1,delay,greedy,0,0,0
310,1,delay,greedy,0,0,0
311,1,delay,greedy,0,0,0
312,1,delay,greedy,0,0,0
313,1,delay,greedy,0,0,0
314,1,delay,greedy,-4,-4,-4
315,1,delay,greedy,0,0,0
300,1,delay,edf,0,0,0
301,1,delay,edf,0,0,0
302,1,delay,edf,0,0,0
303,1,delay,edf,0,0,0
304,1,delay,edf,0,0,0
305,1,delay,edf,0,0,0
306,1,delay,edf,0,0,0
307,1,delay,edf,0,0,0
308,1,delay,edf,0,0,0
309,1,delay,edf,0,0,0
310,1,delay,edf,0,0,0
311,1,delay,edf,0,0,0
312,1,delay,edf,0,0,0
313,1,delay,edf,0,0,0
314,1,delay,edf,0,0,0
315,1,delay,edf,0,0,0
300,2,uncertainty,fcfs,0,0,0
301,2,uncertainty,fcfs,0,0,0
302,2,uncertainty,fcfs,0,0,0
303,2,uncertainty,fcfs,0,0,0
304,2,uncertainty,fcfs,0,0,0
305,2,uncertainty,fcfs,0,0,0
306,2,uncertainty,fcfs,4,4,4
307,2,uncertainty,fcfs,0,0,0
308,2,uncertainty,fcfs,0,0,0
309,2,uncertainty,fcfs,0,0,0
310,2,uncertainty,fcfs,0,0,0
311,2,uncertainty,fcfs,0,0,0
312,2,uncertainty,fcfs,0,0,0
313,2,uncertainty,fcfs,0,0,0
314,2,uncertainty,fcfs,0,0,0
315,2,uncertainty,fcfs,0,0,0
300,2,myopic,fcfs,0,0,0
301,2,myopic,fcfs,0,0,0
302,2,myopic,fcfs,0,0,0
303,2,myopic,fcfs,0,0,0
304,2,myopic,fcfs,0,0,0
305,2,myopic,fcfs,0,0,0
306,2,myopic,fcfs,4,4,4
307,2,myopic,fcfs,4,4,4
308,2,myopic,fcfs,0,0,0
309,2,myopic,fcfs,0,0,0
310,2,myopic,fcfs,0,0,0
311,2,myopic,fcfs,-12,-12,-12
312,2,myopic,fcfs,0,0,0
313,2,myopic,fcfs,0,0,0
314,2,myopic,fcfs,4,4,4
315,2,myopic,fcfs,0,0,0
300,2,greedy,fcfs,0,0,0
301,2,greedy,fcfs,0,0,0
302,2,greedy,fcfs,0,0,0
303,2,greedy,fcfs,0,0,0
304,2,greedy,fcfs,0,0,0
305,2,greedy,fcfs,0,0,0
306,2,greedy,fcfs,4,4,4
307,2,greedy,fcfs,4,4,4
308,2,greedy,fcfs,0,0,0
309,2,greedy,fcfs,0,0,0
310,2,greedy,fcfs,0,0,0
311,2,greedy,fcfs,-12,-12,-12
312,2,greedy,fcfs,0,0,0
313,2,greedy,fcfs,0,0,0
314,2,greedy,fcfs,4,4,4
315,2,greedy,fcfs,0,0,0
300,2,edf,fcfs,0,0,0
301,2,edf,fcfs,0,0,0
302,2,edf,fcfs,-4,-4,-4
303,2,edf,fcfs,8,8,8
304,2,edf,fcfs,0,0,0
305,2,edf,fcfs,8,8,8
306,2,edf,fcfs,0,0,0
307,2,edf,fcfs,8,8,8
308,2,edf,fcfs,-4,-4,-4
309,2,edf,fcfs,0,0,0
310,2,edf,fcfs,4,4,4
311,2,edf,fcfs,0,0,0
312,2,edf,fcfs,12,12,12
313,2,edf,fcfs,0,0,0
314,2,edf,fcfs,0,0,0
315,2,edf,fcfs,0,0,0
300,2,delay,fcfs,0,0,0
301,2,delay,fcfs,0,0,0
302,2,delay,fcfs,0,0,0
303,2,delay,fcfs,-4,-4,-4
304,2,delay,fcfs,0,0,0
305,2,delay,fcfs,0,0,0
306,2,delay,fcfs,0,0,0
307,2,delay,fcfs,4,4,4
308,2,delay,fcfs,-4,-4,-4
309,2,delay,fcfs,0,0,0
310,2,delay,fcfs,4,4,4
311,2,delay,fcfs,-12,-12,-12
312,2,delay,fcfs,0,0,0
313,2,delay,fcfs,0,0,0
314,2,delay,fcfs,4,4,4
315,2,delay,fcfs,0,0,0
300,2,myopic,uncertainty,0,0,0
301,2,myopic,uncertainty,0,0,0
302,2,myopic,uncertainty,0,0,0
303,2,myopic,uncertainty,0,0,0
304,2,myopic,uncertainty,0,0,0
305,2,myopic,uncertainty,0,0,0
306,2,myopic,uncertainty,0,0,0
307,2,myopic,uncertainty,4,4,4
308,2,myopic,uncertainty,0,0,0
309,2,myopic,uncertainty,0,0,0
310,2,myopic,uncertainty,0,0,0
311,2,myopic,uncertainty,-12,-12,-12
312,2,myopic,uncertainty,0,0,0
313,2,myopic,uncertainty,0,0,0
314,2,myopic,uncertainty,4,4,4
315,2,myopic,uncertainty,0,0,0
300,2,greedy,uncertainty,0,0,0
301,2,greedy,uncertainty,0,0,0
302,2,greedy,uncertainty,0,0,0
303,2,greedy,uncertainty,0,0,0
304,2,greedy,uncertainty,0,0,0
305,2,greedy,uncertainty,0,0,0
306,2,greedy,uncertainty,0,0,0
307,2,greedy,uncertainty,4,4,4
308,2,greedy,uncertainty,0,0,0
309,2,greedy,uncertainty,0,0,0
310,2,greedy,uncertainty,0,0,0
311,2,greedy,uncertainty,-12,-12,-12
312,2,greedy,uncertainty,0,0,0
313,2,greedy,uncertainty,0,0,0
314,2,greedy,uncertainty,4,4,4
315,2,greedy,uncertainty,0,0,0
300,2,edf,uncertainty,0,0,0
301,2,edf,uncertainty,0,0,0
302,2,edf,uncertainty,-4,-4,-4
303,2,edf,uncertainty,8,8,8
304,2,edf,uncertainty,0,0,0
305,2,edf,uncertainty,8,8,8
306,2,edf,uncertainty,-4,-4,-4
307,2,edf,uncertainty,8,8,8
308,2,edf,uncertainty,-4,-4,-4
309,2,edf,uncertainty,0,0,0
310,2,edf,uncertainty,4,4,4
311,2,edf,uncertainty,0,0,0
312,2,edf,uncertainty,12,12,12
313,2,edf,uncertainty,0,0,0
314,2,edf,uncertainty,0,0,0
315,2,edf,uncertainty,0,0,0
300,2,delay,uncertainty,0,0,0
301,2,delay,uncertainty,0,0,0
302,2,delay,uncertainty,0,0,0
303,2,delay,uncertainty,-4,-4,-4
304,2,delay,uncertainty,0,0,0
305,2,delay,uncertainty,0,0,0
306,2,delay,uncertainty,-4,-4,-4
307,2,delay,uncertainty,4,4,4
308,2,delay,uncertainty,-4,-4,-4
309,2,delay,uncertainty,0,0,0
310,2,delay,uncertainty,4,4,4
311,2,delay,uncertainty,-12,-12,-12
312,2,delay,uncertainty,0,0,0
313,2,delay,uncertainty,0,0,0
314,2,delay,uncertainty,4,4,4
315,2,delay,uncertainty,0,0,0
300,2,greedy,myopic,0,0,0
301,2,greedy,myopic,0,0,0
302,2,greedy,myopic,0,0,0
303,2,greedy,myopic,0,0,0
304,2,greedy,myopic,0,0,0
305,2,greedy,myopic,0,0,0
306,2,greedy,myopic,0,0,0
307,2,greedy,myopic,0,0,0
308,2,greedy,myopic,0,0,0
309,2,greedy,myopic,0,0,0
310,2,greedy,myopic,0,0,0
311,2,greedy,myopic,0,0,0
312,2,greedy,myopic,0,0,0
313,2,greedy,myopic,0,0,0
314,2,greedy,myopic,0,0,0
315,2,greedy,myopic,0,0,0
300,2,edf,myopic,0,0,0
301,2,edf,myopic,0,0,0
302,2,edf,myopic,-4,-4,-4
303,2,edf,myopic,8,8,8
304,2,edf,myopic,0,0,0
305,2,edf,myopic,8,8,8
306,2,edf,myopic,-4,-4,-4
307,2,edf,myopic,4,4,4
308,2,edf,myopic,-4,-4,-4
309,2,edf,myopic,0,0,0
310,2,edf,myopic,4,4,4
311,2,edf,myopic,12,12,12
312,2,edf,myopic,12,12,12
313,2,edf,myopic,0,0,0
314,2,edf,myopic,-4,-4,-4
315,2,edf,myopic,0,0,0
300,2,delay,myopic,0,0,0
301,2,delay,myopic,0,0,0
302,2,delay,myopic,0,0,0
303,2,delay,myopic,-4,-4,-4
304,2,delay,myopic,0,0,0
305,2,delay,myopic,0,0,0
306,2,delay,myopic,-4,-4,-4
307,2,delay,myopic,0,0,0
308,2,delay,myopic,-4,-4,-4
309,2,delay,myopic,0,0,0
310,2,delay,myopic,4,4,4
311,2,delay,myopic,0,0,0
312,2,delay,myopic,0,0,0
313,2,delay,myopic,0,0,0
314,2,delay,myopic,0,0,0
315,2,delay,myopic,0,0,0
300,2,edf,greedy,0,0,0
301,2,edf,greedy,0,0,0
302,2,edf,greedy,-4,-4,-4
303,2,edf,greedy,8,8,8
304,2,edf,greedy,0,0,0
305,2,edf,greedy,8,8,8
306,2,edf,greedy,-4,-4,-4
307,2,edf,greedy,4,4,4
308,2,edf,greedy,-4,-4,-4
309,2,edf,greedy,0,0,0
310,2,edf,greedy,4,4,4
311,2,edf,greedy,12,12,12
312,2,edf,greedy,12,12,12
313,2,edf,greedy,0,0,0
314,2,edf,greedy,-4,-4,-4
315,2,edf,greedy,0,0,0
300,2,delay,greedy,0,0,0
301,2,delay,greedy,0,0,0
302,2,delay,greedy,0,0,0
303,2,delay,greedy,-4,-4,-4
304,2,delay,greedy,0,0,0
305,2,delay,greedy,0,0,0
306,2,delay,greedy,-4,-4,-4
307,2,delay,greedy,0,0,0
308,2,delay,greedy,-4,-4,-4
309,2,delay,greedy,0,0,0
310,2,delay,greedy,4,4,4
311,2,delay,greedy,0,0,0
312,2,delay,greedy,0,0,0
313,2,delay,greedy,0,0,0
314,2,delay,greedy,0,0,0
315,2,delay,greedy,0,0,0
300,2,delay,edf,0,0,0
301,2,delay,edf,0,0,0
302,2,delay,edf,4,4,4
303,2,delay,edf,-12,-12,-12
304,2,delay,edf,0,0,0
305,2,delay,edf,-8,-8,-8
306,2,delay,edf,0,0,0
307,2,delay,edf,-4,-4,-4
308,2,delay,edf,0,0,0
309,2,delay,edf,0,0,0
310,2,delay,edf,0,0,0
311,2,delay,edf,-12,-12,-12
312,2,delay,edf,-12,-12,-12
313,2,delay,edf,0,0,0
314,2,delay,edf,4,4,4
315,2,delay,edf,0,0,0
