policy,seed,scenario_hash,evidence,status,error,planned_calls,total_loss,accrued_loss,loss_upper_bound,correct_jobs,jobs_closed,reviews_started,reviews_completed,corrections,late_returns,expired_requests,review_busy_ticks,simulated_ticks_completed,incomplete_service,episode_wall_seconds,scheduled_calls,attempts,prompt_tokens,completion_tokens,unknown_token_attempts,request_wall_seconds,execution_index,folder,review_ticks,estimator_hash
fcfs,302,8ca9bd486018da55cabe3c0a9eff4beca930767197f6079e00fab451e5fd6d50,live_gpu,completed,,12,4,4,48,5,6,5,5,0,0,1,5,12,,2.264095,12,12,2624,84,0,1.6789792459458113,26,302/s1/fcfs,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,302,8ca9bd486018da55cabe3c0a9eff4beca930767197f6079e00fab451e5fd6d50,live_gpu,completed,,12,4,4,48,5,6,5,5,0,0,1,5,12,,2.198229,12,12,2624,84,0,1.6635070890188217,27,302/s1/uncertainty,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,302,8ca9bd486018da55cabe3c0a9eff4beca930767197f6079e00fab451e5fd6d50,live_gpu,completed,,12,4,4,48,5,6,5,5,0,0,1,5,12,,2.250355,12,12,2624,84,0,1.6759624537080526,28,302/s1/myopic,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,302,8ca9bd486018da55cabe3c0a9eff4beca930767197f6079e00fab451e5fd6d50,live_gpu,completed,,12,4,4,48,5,6,5,5,0,0,1,5,12,,2.217486,12,12,2624,84,0,1.6760101895779371,29,302/s1/greedy,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,302,8ca9bd486018da55cabe3c0a9eff4beca930767197f6079e00fab451e5fd6d50,live_gpu,completed,,12,4,4,48,5,6,4,4,0,0,2,8,12,,2.265366,12,12,2570,84,0,1.6803403589874506,30,302/s2/delay,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,302,8ca9bd486018da55cabe3c0a9eff4beca930767197f6079e00fab451e5fd6d50,live_gpu,completed,,12,4,4,48,5,6,4,4,0,0,2,8,12,,2.48872,12,12,2570,84,0,1.6684859246015549,31,302/s2/fcfs,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,302,8ca9bd486018da55cabe3c0a9eff4beca930767197f6079e00fab451e5fd6d50,live_gpu,completed,,12,4,4,48,5,6,4,4,0,0,2,8,12,,2.261098,12,12,2570,84,0,1.6864308416843414,32,302/s2/uncertainty,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,302,8ca9bd486018da55cabe3c0a9eff4beca930767197f6079e00fab451e5fd6d50,live_gpu,completed,,12,4,4,48,5,6,4,4,0,0,2,8,12,,2.198455,12,12,2570,84,0,1.6767155639827251,33,302/s2/myopic,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,302,8ca9bd486018da55cabe3c0a9eff4beca930767197f6079e00fab451e5fd6d50,live_gpu,completed,,12,4,4,48,5,6,4,4,0,0,2,8,12,,2.252758,12,12,2570,84,0,1.6758550200611353,34,302/s2/greedy,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,302,8ca9bd486018da55cabe3c0a9eff4beca930767197f6079e00fab451e5fd6d50,live_gpu,completed,,12,0,0,48,6,6,4,4,1,0,2,8,12,,3.292318,12,12,2570,84,0,1.6736935339868069,35,302/s2/edf,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,303,b83eacc3f07791bb2f4ea5979fb2b7423a3a62e6c3d6e1970f50f9d41459ecdf,live_gpu,completed,,12,8,8,48,5,6,4,4,2,0,2,8,12,,2.261493,12,12,2570,84,0,1.6896815206855536,36,303/s2/fcfs,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,303,b83eacc3f07791bb2f4ea5979fb2b7423a3a62e6c3d6e1970f50f9d41459ecdf,live_gpu,completed,,12,8,8,48,5,6,4,4,2,0,2,8,12,,3.807796,12,12,2570,84,0,1.6772955507040024,37,303/s2/uncertainty,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,303,b83eacc3f07791bb2f4ea5979fb2b7423a3a62e6c3d6e1970f50f9d41459ecdf,live_gpu,completed,,12,8,8,48,5,6,4,4,2,0,2,8,12,,2.627333,12,12,2570,84,0,1.6745463460683823,38,303/s2/myopic,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,303,b83eacc3f07791bb2f4ea5979fb2b7423a3a62e6c3d6e1970f50f9d41459ecdf,live_gpu,completed,,12,8,8,48,5,6,4,4,2,0,2,8,12,,3.174599,12,12,2570,84,0,1.6602708268910646,39,303/s2/greedy,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,303,b83eacc3f07791bb2f4ea5979fb2b7423a3a62e6c3d6e1970f50f9d41459ecdf,live_gpu,completed,,12,16,16,48,4,6,4,4,1,0,2,8,12,,2.196035,12,12,2570,84,0,1.6687014307826757,40,303/s2/edf,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,303,b83eacc3f07791bb2f4ea5979fb2b7423a3a62e6c3d6e1970f50f9d41459ecdf,live_gpu,completed,,12,4,4,48,5,6,4,4,2,0,2,8,12,,2.811921,12,12,2570,84,0,1.6598960049450397,41,303/s2/delay,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,303,b83eacc3f07791bb2f4ea5979fb2b7423a3a62e6c3d6e1970f50f9d41459ecdf,live_gpu,completed,,12,0,0,48,6,6,6,6,3,0,0,6,12,,2.269856,12,12,2624,84,0,1.6916392855346203,42,303/s1/uncertainty,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,303,b83eacc3f07791bb2f4ea5979fb2b7423a3a62e6c3d6e1970f50f9d41459ecdf,live_gpu,completed,,12,0,0,48,6,6,6,6,3,0,0,6,12,,2.897643,12,12,2624,84,0,1.6780037339776754,43,303/s1/myopic,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,303,b83eacc3f07791bb2f4ea5979fb2b7423a3a62e6c3d6e1970f50f9d41459ecdf,live_gpu,completed,,12,0,0,48,6,6,6,6,3,0,0,6,12,,2.259862,12,12,2624,84,0,1.657878516241908,44,303/s1/greedy,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,303,b83eacc3f07791bb2f4ea5979fb2b7423a3a62e6c3d6e1970f50f9d41459ecdf,live_gpu,completed,,12,0,0,48,6,6,6,6,3,0,0,6,12,,2.344602,12,12,2624,84,0,1.6821050476282835,45,303/s1/edf,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,303,b83eacc3f07791bb2f4ea5979fb2b7423a3a62e6c3d6e1970f50f9d41459ecdf,live_gpu,completed,,12,0,0,48,6,6,6,6,3,0,0,6,12,,2.318339,12,12,2624,84,0,1.6671412084251642,46,303/s1/delay,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,303,b83eacc3f07791bb2f4ea5979fb2b7423a3a62e6c3d6e1970f50f9d41459ecdf,live_gpu,completed,,12,0,0,48,6,6,6,6,3,0,0,6,12,,2.880477,12,12,2624,84,0,1.6758848186582327,47,303/s1/fcfs,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,304,a81cceb92dcb078054c398795cb98e97b94a5c678b0272b5036654960f08a38f,live_gpu,completed,,12,0,0,48,6,6,6,6,3,0,0,6,12,,2.267525,12,12,2624,84,0,1.6845356561243534,48,304/s1/myopic,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,304,a81cceb92dcb078054c398795cb98e97b94a5c678b0272b5036654960f08a38f,live_gpu,completed,,12,0,0,48,6,6,6,6,4,0,0,6,12,,2.233986,12,12,2624,84,0,1.6606152169406414,49,304/s1/greedy,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,304,a81cceb92dcb078054c398795cb98e97b94a5c678b0272b5036654960f08a38f,live_gpu,completed,,12,0,0,48,6,6,6,6,4,0,0,6,12,,2.310126,12,12,2624,84,0,1.682881236076355,50,304/s1/edf,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,304,a81cceb92dcb078054c398795cb98e97b94a5c678b0272b5036654960f08a38f,live_gpu,completed,,12,0,0,48,6,6,6,6,3,0,0,6,12,,2.717653,12,12,2624,84,0,1.664640549570322,51,304/s1/delay,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,304,a81cceb92dcb078054c398795cb98e97b94a5c678b0272b5036654960f08a38f,live_gpu,completed,,12,0,0,48,6,6,6,6,3,0,0,6,12,,2.272196,12,12,2624,84,0,1.655553750693798,52,304/s1/fcfs,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,304,a81cceb92dcb078054c398795cb98e97b94a5c678b0272b5036654960f08a38f,live_gpu,completed,,12,0,0,48,6,6,6,6,3,0,0,6,12,,2.353875,12,12,2624,84,0,1.6691436655819416,53,304/s1/uncertainty,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,304,a81cceb92dcb078054c398795cb98e97b94a5c678b0272b5036654960f08a38f,live_gpu,completed,,12,8,8,48,5,6,4,4,3,0,2,8,12,,2.275588,12,12,2570,84,0,1.6897115129977465,54,304/s2/greedy,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,304,a81cceb92dcb078054c398795cb98e97b94a5c678b0272b5036654960f08a38f,live_gpu,completed,,12,8,8,48,4,6,4,4,1,0,2,8,12,,2.22988,12,12,2570,84,0,1.6658280435949564,55,304/s2/edf,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,304,a81cceb92dcb078054c398795cb98e97b94a5c678b0272b5036654960f08a38f,live_gpu,completed,,12,8,8,48,4,6,4,4,1,0,2,8,12,,2.206943,12,12,2570,84,0,1.6575241852551699,56,304/s2/delay,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,304,a81cceb92dcb078054c398795cb98e97b94a5c678b0272b5036654960f08a38f,live_gpu,completed,,12,8,8,48,5,6,4,4,3,0,2,8,12,,2.203261,12,12,2570,84,0,1.6674914993345737,57,304/s2/fcfs,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,304,a81cceb92dcb078054c398795cb98e97b94a5c678b0272b5036654960f08a38f,live_gpu,completed,,12,8,8,48,5,6,4,4,3,0,2,8,12,,2.239841,12,12,2570,84,0,1.6671506818383932,58,304/s2/uncertainty,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,304,a81cceb92dcb078054c398795cb98e97b94a5c678b0272b5036654960f08a38f,live_gpu,completed,,12,8,8,48,5,6,4,4,3,0,2,8,12,,2.209017,12,12,2570,84,0,1.679294040426612,59,304/s2/myopic,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,305,5916f8ae6dad61ef61a447ababc7acbde5ce8fb4b46eaece1c349c3f1d8707b3,live_gpu,completed,,12,12,12,48,5,6,4,4,1,0,2,8,12,,2.26539,12,12,2570,84,0,1.6689473036676645,60,305/s2/edf,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,305,5916f8ae6dad61ef61a447ababc7acbde5ce8fb4b46eaece1c349c3f1d8707b3,live_gpu,completed,,12,4,4,48,5,6,4,4,1,0,2,8,12,,2.195452,12,12,2570,84,0,1.677734075114131,61,305/s2/delay,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,305,5916f8ae6dad61ef61a447ababc7acbde5ce8fb4b46eaece1c349c3f1d8707b3,live_gpu,completed,,12,4,4,48,5,6,4,4,1,0,2,8,12,,2.244224,12,12,2570,84,0,1.6731481701135635,62,305/s2/fcfs,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,305,5916f8ae6dad61ef61a447ababc7acbde5ce8fb4b46eaece1c349c3f1d8707b3,live_gpu,completed,,12,4,4,48,5,6,4,4,1,0,2,8,12,,2.210032,12,12,2570,84,0,1.6666907481849194,63,305/s2/uncertainty,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,305,5916f8ae6dad61ef61a447ababc7acbde5ce8fb4b46eaece1c349c3f1d8707b3,live_gpu,completed,,12,4,4,48,5,6,4,4,1,0,2,8,12,,2.177326,12,12,2570,84,0,1.6596362683922052,64,305/s2/myopic,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,305,5916f8ae6dad61ef61a447ababc7acbde5ce8fb4b46eaece1c349c3f1d8707b3,live_gpu,completed,,12,4,4,48,5,6,4,4,1,0,2,8,12,,2.162974,12,12,2570,84,0,1.6557686738669872,65,305/s2/greedy,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,305,5916f8ae6dad61ef61a447ababc7acbde5ce8fb4b46eaece1c349c3f1d8707b3,live_gpu,completed,,12,0,0,48,6,6,6,6,2,0,0,6,12,,2.229867,12,12,2624,84,0,1.6739580761641264,66,305/s1/delay,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,305,5916f8ae6dad61ef61a447ababc7acbde5ce8fb4b46eaece1c349c3f1d8707b3,live_gpu,completed,,12,4,4,48,5,6,5,5,1,0,1,5,12,,2.210589,12,12,2570,84,0,1.6616193447262049,67,305/s1/fcfs,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,305,5916f8ae6dad61ef61a447ababc7acbde5ce8fb4b46eaece1c349c3f1d8707b3,live_gpu,completed,,12,4,4,48,5,6,5,5,1,0,1,5,12,,2.262553,12,12,2570,84,0,1.6743253730237484,68,305/s1/uncertainty,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,305,5916f8ae6dad61ef61a447ababc7acbde5ce8fb4b46eaece1c349c3f1d8707b3,live_gpu,completed,,12,4,4,48,5,6,5,5,1,0,1,5,12,,2.218393,12,12,2570,84,0,1.6884976904839277,69,305/s1/myopic,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,305,5916f8ae6dad61ef61a447ababc7acbde5ce8fb4b46eaece1c349c3f1d8707b3,live_gpu,completed,,12,4,4,48,5,6,5,5,1,0,1,5,12,,2.232579,12,12,2570,84,0,1.6595564913004637,70,305/s1/greedy,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,305,5916f8ae6dad61ef61a447ababc7acbde5ce8fb4b46eaece1c349c3f1d8707b3,live_gpu,completed,,12,0,0,48,6,6,6,6,2,0,0,6,12,,2.260138,12,12,2624,84,0,1.6719458177685738,71,305/s1/edf,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,306,fe4c4cae465b39ade5a5f6d76d3404a8230d1eebf19c86deec30fd7b267d6176,live_gpu,completed,,12,0,0,48,6,6,6,6,2,0,0,6,12,,2.256055,12,12,2624,84,0,1.6881921291351318,72,306/s1/fcfs,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,306,fe4c4cae465b39ade5a5f6d76d3404a8230d1eebf19c86deec30fd7b267d6176,live_gpu,completed,,12,0,0,48,6,6,6,6,2,0,0,6,12,,2.254118,12,12,2624,84,0,1.680356228724122,73,306/s1/uncertainty,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,306,fe4c4cae465b39ade5a5f6d76d3404a8230d1eebf19c86deec30fd7b267d6176,live_gpu,completed,,12,0,0,48,6,6,6,6,2,0,0,6,12,,2.235942,12,12,2624,84,0,1.6652143206447363,74,306/s1/myopic,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,306,fe4c4cae465b39ade5a5f6d76d3404a8230d1eebf19c86deec30fd7b267d6176,live_gpu,completed,,12,0,0,48,6,6,6,6,2,0,0,6,12,,2.231604,12,12,2624,84,0,1.657636372372508,75,306/s1/greedy,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,306,fe4c4cae465b39ade5a5f6d76d3404a8230d1eebf19c86deec30fd7b267d6176,live_gpu,completed,,12,0,0,48,6,6,6,6,2,0,0,6,12,,2.262443,12,12,2624,84,0,1.6729921754449606,76,306/s1/edf,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,306,fe4c4cae465b39ade5a5f6d76d3404a8230d1eebf19c86deec30fd7b267d6176,live_gpu,completed,,12,0,0,48,6,6,6,6,2,0,0,6,12,,2.236526,12,12,2624,84,0,1.6645474471151829,77,306/s1/delay,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,306,fe4c4cae465b39ade5a5f6d76d3404a8230d1eebf19c86deec30fd7b267d6176,live_gpu,completed,,12,8,8,48,5,6,4,4,1,0,2,8,12,,2.247732,12,12,2570,84,0,1.6725139655172825,78,306/s2/uncertainty,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,306,fe4c4cae465b39ade5a5f6d76d3404a8230d1eebf19c86deec30fd7b267d6176,live_gpu,completed,,12,8,8,48,5,6,4,4,1,0,2,8,12,,2.250769,12,12,2570,84,0,1.6918962616473436,79,306/s2/myopic,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,306,fe4c4cae465b39ade5a5f6d76d3404a8230d1eebf19c86deec30fd7b267d6176,live_gpu,completed,,12,8,8,48,5,6,4,4,1,0,2,8,12,,2.225706,12,12,2570,84,0,1.6858557108789682,80,306/s2/greedy,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
