seed,review_ticks,left,right,different_order
308,2,uncertainty,fcfs,False
309,2,uncertainty,fcfs,True
310,2,uncertainty,fcfs,False
311,2,uncertainty,fcfs,False
312,2,uncertainty,fcfs,False
313,2,uncertainty,fcfs,False
314,2,uncertainty,fcfs,False
315,2,uncertainty,fcfs,True
300,2,myopic,fcfs,True
301,2,myopic,fcfs,True
302,2,myopic,fcfs,True
303,2,myopic,fcfs,True
304,2,myopic,fcfs,True
305,2,myopic,fcfs,True
306,2,myopic,fcfs,True
307,2,myopic,fcfs,True
308,2,myopic,fcfs,False
309,2,myopic,fcfs,True
310,2,myopic,fcfs,True
311,2,myopic,fcfs,True
312,2,myopic,fcfs,True
313,2,myopic,fcfs,True
314,2,myopic,fcfs,True
315,2,myopic,fcfs,True
300,2,greedy,fcfs,True
301,2,greedy,fcfs,True
302,2,greedy,fcfs,True
303,2,greedy,fcfs,True
304,2,greedy,fcfs,True
305,2,greedy,fcfs,True
306,2,greedy,fcfs,True
307,2,greedy,fcfs,True
308,2,greedy,fcfs,False
309,2,greedy,fcfs,True
310,2,greedy,fcfs,True
311,2,greedy,fcfs,True
312,2,greedy,fcfs,True
313,2,greedy,fcfs,True
314,2,greedy,fcfs,True
315,2,greedy,fcfs,True
300,2,edf,fcfs,True
301,2,edf,fcfs,True
302,2,edf,fcfs,True
303,2,edf,fcfs,True
304,2,edf,fcfs,True
305,2,edf,fcfs,True
306,2,edf,fcfs,True
307,2,edf,fcfs,True
308,2,edf,fcfs,True
309,2,edf,fcfs,True
310,2,edf,fcfs,True
311,2,edf,fcfs,True
312,2,edf,fcfs,True
313,2,edf,fcfs,True
314,2,edf,fcfs,True
315,2,edf,fcfs,True
300,2,delay,fcfs,True
301,2,delay,fcfs,True
302,2,delay,fcfs,True
303,2,delay,fcfs,True
304,2,delay,fcfs,True
305,2,delay,fcfs,True
306,2,delay,fcfs,True
307,2,delay,fcfs,True
308,2,delay,fcfs,True
309,2,delay,fcfs,True
310,2,delay,fcfs,True
311,2,delay,fcfs,True
312,2,delay,fcfs,False
313,2,delay,fcfs,True
314,2,delay,fcfs,True
315,2,delay,fcfs,True
300,2,myopic,uncertainty,True
301,2,myopic,uncertainty,True
302,2,myopic,uncertainty,True
303,2,myopic,uncertainty,True
304,2,myopic,uncertainty,True
305,2,myopic,uncertainty,True
306,2,myopic,uncertainty,True
307,2,myopic,uncertainty,True
308,2,myopic,uncertainty,False
309,2,myopic,uncertainty,True
310,2,myopic,uncertainty,True
311,2,myopic,uncertainty,True
312,2,myopic,uncertainty,True
313,2,myopic,uncertainty,True
314,2,myopic,uncertainty,True
315,2,myopic,uncertainty,True
300,2,greedy,uncertainty,True
301,2,greedy,uncertainty,True
302,2,greedy,uncertainty,True
303,2,greedy,uncertainty,True
304,2,greedy,uncertainty,True
305,2,greedy,uncertainty,True
306,2,greedy,uncertainty,True
307,2,greedy,uncertainty,True
308,2,greedy,uncertainty,False
309,2,greedy,uncertainty,True
310,2,greedy,uncertainty,True
311,2,greedy,uncertainty,True
312,2,greedy,uncertainty,True
313,2,greedy,uncertainty,True
314,2,greedy,uncertainty,True
315,2,greedy,uncertainty,True
300,2,edf,uncertainty,True
301,2,edf,uncertainty,True
302,2,edf,uncertainty,True
303,2,edf,uncertainty,True
304,2,edf,uncertainty,True
305,2,edf,uncertainty,True
306,2,edf,uncertainty,True
307,2,edf,uncertainty,True
308,2,edf,uncertainty,True
309,2,edf,uncertainty,True
310,2,edf,uncertainty,True
311,2,edf,uncertainty,True
312,2,edf,uncertainty,True
313,2,edf,uncertainty,True
314,2,edf,uncertainty,True
315,2,edf,uncertainty,True
300,2,delay,uncertainty,True
301,2,delay,uncertainty,True
302,2,delay,uncertainty,True
303,2,delay,uncertainty,True
304,2,delay,uncertainty,True
305,2,delay,uncertainty,True
306,2,delay,uncertainty,True
307,2,delay,uncertainty,True
308,2,delay,uncertainty,True
309,2,delay,uncertainty,True
310,2,delay,uncertainty,True
311,2,delay,uncertainty,True
312,2,delay,uncertainty,False
313,2,delay,uncertainty,True
314,2,delay,uncertainty,True
315,2,delay,uncertainty,True
300,2,greedy,myopic,False
301,2,greedy,myopic,False
302,2,greedy,myopic,False
303,2,greedy,myopic,False
304,2,greedy,myopic,False
305,2,greedy,myopic,False
306,2,greedy,myopic,False
307,2,greedy,myopic,False
308,2,greedy,myopic,False
309,2,greedy,myopic,False
310,2,greedy,myopic,False
311,2,greedy,myopic,False
312,2,greedy,myopic,False
313,2,greedy,myopic,False
314,2,greedy,myopic,False
315,2,greedy,myopic,False
300,2,edf,myopic,False
301,2,edf,myopic,True
302,2,edf,myopic,True
303,2,edf,myopic,True
304,2,edf,myopic,True
305,2,edf,myopic,True
306,2,edf,myopic,True
307,2,edf,myopic,True
308,2,edf,myopic,True
309,2,edf,myopic,True
310,2,edf,myopic,True
311,2,edf,myopic,True
312,2,edf,myopic,True
313,2,edf,myopic,True
314,2,edf,myopic,True
315,2,edf,myopic,True
300,2,delay,myopic,False
301,2,delay,myopic,True
302,2,delay,myopic,True
303,2,delay,myopic,True
304,2,delay,myopic,True
305,2,delay,myopic,True
306,2,delay,myopic,True
307,2,delay,myopic,True
308,2,delay,myopic,True
309,2,delay,myopic,False
310,2,delay,myopic,True
311,2,delay,myopic,True
312,2,delay,myopic,True
313,2,delay,myopic,True
314,2,delay,myopic,True
315,2,delay,myopic,True
300,2,edf,greedy,False
301,2,edf,greedy,True
302,2,edf,greedy,True
303,2,edf,greedy,True
304,2,edf,greedy,True
305,2,edf,greedy,True
306,2,edf,greedy,True
307,2,edf,greedy,True
308,2,edf,greedy,True
309,2,edf,greedy,True
310,2,edf,greedy,True
311,2,edf,greedy,True
312,2,edf,greedy,True
313,2,edf,greedy,True
314,2,edf,greedy,True
315,2,edf,greedy,True
300,2,delay,greedy,False
301,2,delay,greedy,True
302,2,delay,greedy,True
303,2,delay,greedy,True
304,2,delay,greedy,True
305,2,delay,greedy,True
306,2,delay,greedy,True
307,2,delay,greedy,True
308,2,delay,greedy,True
309,2,delay,greedy,False
310,2,delay,greedy,True
311,2,delay,greedy,True
312,2,delay,greedy,True
313,2,delay,greedy,True
314,2,delay,greedy,True
315,2,delay,greedy,True
300,2,delay,edf,False
301,2,delay,edf,True
302,2,delay,edf,True
303,2,delay,edf,True
304,2,delay,edf,False
305,2,delay,edf,True
306,2,delay,edf,True
307,2,delay,edf,True
308,2,delay,edf,False
309,2,delay,edf,True
310,2,delay,edf,False
311,2,delay,edf,True
312,2,delay,edf,True
313,2,delay,edf,False
314,2,delay,edf,True
315,2,delay,edf,True
