seed,review_ticks,policy,status,review_order,timed_order
300,2,fcfs,completed,"['a0j0', 'a2j0', 'a0j1', 'a1j1']","[(0, 'a0j0'), (2, 'a2j0'), (6, 'a0j1'), (8, 'a1j1')]"
301,2,myopic,completed,"['a0j0', 'a1j0', 'a2j1', 'a0j1']","[(0, 'a0j0'), (2, 'a1j0'), (6, 'a2j1'), (8, 'a0j1')]"
301,2,greedy,completed,"['a0j0', 'a1j0', 'a2j1', 'a0j1']","[(0, 'a0j0'), (2, 'a1j0'), (6, 'a2j1'), (8, 'a0j1')]"
301,2,edf,completed,"['a2j0', 'a1j0', 'a1j1', 'a2j1']","[(0, 'a2j0'), (2, 'a1j0'), (6, 'a1j1'), (8, 'a2j1')]"
301,2,delay,completed,"['a2j0', 'a0j0', 'a1j1', 'a2j1']","[(0, 'a2j0'), (2, 'a0j0'), (6, 'a1j1'), (8, 'a2j1')]"
301,2,fcfs,completed,"['a0j0', 'a1j0', 'a0j1', 'a2j1']","[(0, 'a0j0'), (2, 'a1j0'), (6, 'a0j1'), (8, 'a2j1')]"
301,2,uncertainty,completed,"['a0j0', 'a1j0', 'a0j1', 'a2j1']","[(0, 'a0j0'), (2, 'a1j0'), (6, 'a0j1'), (8, 'a2j1')]"
301,1,greedy,completed,"['a0j0', 'a2j0', 'a1j0', 'a2j1', 'a1j1', 'a0j1']","[(0, 'a0j0'), (1, 'a2j0'), (2, 'a1j0'), (6, 'a2j1'), (7, 'a1j1'), (8, 'a0j1')]"
301,1,edf,completed,"['a2j0', 'a1j0', 'a0j0', 'a1j1', 'a2j1', 'a0j1']","[(0, 'a2j0'), (1, 'a1j0'), (2, 'a0j0'), (6, 'a1j1'), (7, 'a2j1'), (8, 'a0j1')]"
301,1,delay,completed,"['a0j0', 'a2j0', 'a1j0', 'a1j1', 'a0j1', 'a2j1']","[(0, 'a0j0'), (1, 'a2j0'), (2, 'a1j0'), (6, 'a1j1'), (7, 'a0j1'), (8, 'a2j1')]"
301,1,fcfs,completed,"['a0j0', 'a1j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a1j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
301,1,uncertainty,completed,"['a0j0', 'a1j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a1j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
301,1,myopic,completed,"['a0j0', 'a2j0', 'a1j0', 'a2j1', 'a1j1', 'a0j1']","[(0, 'a0j0'), (1, 'a2j0'), (2, 'a1j0'), (6, 'a2j1'), (7, 'a1j1'), (8, 'a0j1')]"
302,1,edf,completed,"['a1j0', 'a2j0', 'a0j0', 'a2j1', 'a1j1', 'a0j1']","[(0, 'a1j0'), (1, 'a2j0'), (2, 'a0j0'), (6, 'a2j1'), (7, 'a1j1'), (8, 'a0j1')]"
302,1,delay,completed,"['a0j0', 'a1j0', 'a2j0', 'a0j1', 'a2j1', 'a1j1']","[(0, 'a0j0'), (1, 'a1j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a2j1'), (8, 'a1j1')]"
302,1,fcfs,completed,"['a0j0', 'a1j0', 'a2j0', 'a0j1', 'a1j1']","[(0, 'a0j0'), (1, 'a1j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1')]"
302,1,uncertainty,completed,"['a0j0', 'a1j0', 'a2j0', 'a0j1', 'a1j1']","[(0, 'a0j0'), (1, 'a1j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1')]"
302,1,myopic,completed,"['a1j0', 'a0j0', 'a2j0', 'a1j1', 'a0j1']","[(0, 'a1j0'), (1, 'a0j0'), (2, 'a2j0'), (6, 'a1j1'), (7, 'a0j1')]"
302,1,greedy,completed,"['a1j0', 'a0j0', 'a2j0', 'a1j1', 'a0j1']","[(0, 'a1j0'), (1, 'a0j0'), (2, 'a2j0'), (6, 'a1j1'), (7, 'a0j1')]"
302,2,delay,completed,"['a1j0', 'a0j0', 'a0j1', 'a1j1']","[(0, 'a1j0'), (2, 'a0j0'), (6, 'a0j1'), (8, 'a1j1')]"
302,2,fcfs,completed,"['a0j0', 'a2j0', 'a0j1', 'a1j1']","[(0, 'a0j0'), (2, 'a2j0'), (6, 'a0j1'), (8, 'a1j1')]"
302,2,uncertainty,completed,"['a0j0', 'a2j0', 'a0j1', 'a1j1']","[(0, 'a0j0'), (2, 'a2j0'), (6, 'a0j1'), (8, 'a1j1')]"
302,2,myopic,completed,"['a1j0', 'a0j0', 'a1j1', 'a0j1']","[(0, 'a1j0'), (2, 'a0j0'), (6, 'a1j1'), (8, 'a0j1')]"
302,2,greedy,completed,"['a1j0', 'a0j0', 'a1j1', 'a0j1']","[(0, 'a1j0'), (2, 'a0j0'), (6, 'a1j1'), (8, 'a0j1')]"
302,2,edf,completed,"['a1j0', 'a2j0', 'a2j1', 'a1j1']","[(0, 'a1j0'), (2, 'a2j0'), (6, 'a2j1'), (8, 'a1j1')]"
303,2,fcfs,completed,"['a0j0', 'a2j0', 'a0j1', 'a2j1']","[(0, 'a0j0'), (2, 'a2j0'), (6, 'a0j1'), (8, 'a2j1')]"
303,2,uncertainty,completed,"['a0j0', 'a2j0', 'a0j1', 'a2j1']","[(0, 'a0j0'), (2, 'a2j0'), (6, 'a0j1'), (8, 'a2j1')]"
303,2,myopic,completed,"['a2j0', 'a0j0', 'a2j1', 'a0j1']","[(0, 'a2j0'), (2, 'a0j0'), (6, 'a2j1'), (8, 'a0j1')]"
303,2,greedy,completed,"['a2j0', 'a0j0', 'a2j1', 'a0j1']","[(0, 'a2j0'), (2, 'a0j0'), (6, 'a2j1'), (8, 'a0j1')]"
303,2,edf,completed,"['a1j0', 'a2j0', 'a1j1', 'a0j1']","[(0, 'a1j0'), (2, 'a2j0'), (6, 'a1j1'), (8, 'a0j1')]"
303,2,delay,completed,"['a1j0', 'a2j0', 'a1j1', 'a2j1']","[(0, 'a1j0'), (2, 'a2j0'), (6, 'a1j1'), (8, 'a2j1')]"
303,1,uncertainty,completed,"['a0j0', 'a1j0', 'a2j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a1j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
303,1,myopic,completed,"['a2j0', 'a1j0', 'a0j0', 'a2j1', 'a1j1', 'a0j1']","[(0, 'a2j0'), (1, 'a1j0'), (2, 'a0j0'), (6, 'a2j1'), (7, 'a1j1'), (8, 'a0j1')]"
303,1,greedy,completed,"['a2j0', 'a1j0', 'a0j0', 'a2j1', 'a1j1', 'a0j1']","[(0, 'a2j0'), (1, 'a1j0'), (2, 'a0j0'), (6, 'a2j1'), (7, 'a1j1'), (8, 'a0j1')]"
303,1,edf,completed,"['a1j0', 'a2j0', 'a0j0', 'a1j1', 'a0j1', 'a2j1']","[(0, 'a1j0'), (1, 'a2j0'), (2, 'a0j0'), (6, 'a1j1'), (7, 'a0j1'), (8, 'a2j1')]"
303,1,delay,completed,"['a1j0', 'a0j0', 'a2j0', 'a1j1', 'a0j1', 'a2j1']","[(0, 'a1j0'), (1, 'a0j0'), (2, 'a2j0'), (6, 'a1j1'), (7, 'a0j1'), (8, 'a2j1')]"
303,1,fcfs,completed,"['a0j0', 'a1j0', 'a2j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a1j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
304,1,myopic,completed,"['a2j0', 'a0j0', 'a1j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a2j0'), (1, 'a0j0'), (2, 'a1j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
304,1,greedy,completed,"['a2j0', 'a0j0', 'a1j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a2j0'), (1, 'a0j0'), (2, 'a1j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
304,1,edf,completed,"['a0j0', 'a2j0', 'a1j0', 'a1j1', 'a0j1', 'a2j1']","[(0, 'a0j0'), (1, 'a2j0'), (2, 'a1j0'), (6, 'a1j1'), (7, 'a0j1'), (8, 'a2j1')]"
304,1,delay,completed,"['a0j0', 'a1j0', 'a2j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a1j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
304,1,fcfs,completed,"['a0j0', 'a1j0', 'a2j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a1j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
304,1,uncertainty,completed,"['a0j0', 'a1j0', 'a2j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a1j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
304,2,greedy,completed,"['a2j0', 'a1j0', 'a0j1', 'a2j1']","[(0, 'a2j0'), (2, 'a1j0'), (6, 'a0j1'), (8, 'a2j1')]"
304,2,edf,completed,"['a0j0', 'a2j0', 'a1j1', 'a0j1']","[(0, 'a0j0'), (2, 'a2j0'), (6, 'a1j1'), (8, 'a0j1')]"
304,2,delay,completed,"['a0j0', 'a2j0', 'a1j1', 'a0j1']","[(0, 'a0j0'), (2, 'a2j0'), (6, 'a1j1'), (8, 'a0j1')]"
304,2,fcfs,completed,"['a0j0', 'a1j0', 'a0j1', 'a2j1']","[(0, 'a0j0'), (2, 'a1j0'), (6, 'a0j1'), (8, 'a2j1')]"
304,2,uncertainty,completed,"['a0j0', 'a1j0', 'a0j1', 'a2j1']","[(0, 'a0j0'), (2, 'a1j0'), (6, 'a0j1'), (8, 'a2j1')]"
304,2,myopic,completed,"['a2j0', 'a1j0', 'a0j1', 'a2j1']","[(0, 'a2j0'), (2, 'a1j0'), (6, 'a0j1'), (8, 'a2j1')]"
305,2,edf,completed,"['a2j0', 'a0j0', 'a0j1', 'a2j1']","[(0, 'a2j0'), (2, 'a0j0'), (6, 'a0j1'), (8, 'a2j1')]"
305,2,delay,completed,"['a0j0', 'a1j0', 'a0j1', 'a2j1']","[(0, 'a0j0'), (2, 'a1j0'), (6, 'a0j1'), (8, 'a2j1')]"
305,2,fcfs,completed,"['a0j0', 'a1j0', 'a0j1', 'a1j1']","[(0, 'a0j0'), (2, 'a1j0'), (6, 'a0j1'), (8, 'a1j1')]"
305,2,uncertainty,completed,"['a0j0', 'a1j0', 'a0j1', 'a1j1']","[(0, 'a0j0'), (2, 'a1j0'), (6, 'a0j1'), (8, 'a1j1')]"
305,2,myopic,completed,"['a1j0', 'a0j0', 'a0j1', 'a2j1']","[(0, 'a1j0'), (2, 'a0j0'), (6, 'a0j1'), (8, 'a2j1')]"
305,2,greedy,completed,"['a1j0', 'a0j0', 'a0j1', 'a2j1']","[(0, 'a1j0'), (2, 'a0j0'), (6, 'a0j1'), (8, 'a2j1')]"
305,1,delay,completed,"['a0j0', 'a2j0', 'a1j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a2j0'), (2, 'a1j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
305,1,fcfs,completed,"['a0j0', 'a1j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a1j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
305,1,uncertainty,completed,"['a0j0', 'a1j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a1j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
305,1,myopic,completed,"['a1j0', 'a0j0', 'a0j1', 'a2j1', 'a1j1']","[(0, 'a1j0'), (1, 'a0j0'), (6, 'a0j1'), (7, 'a2j1'), (8, 'a1j1')]"
305,1,greedy,completed,"['a1j0', 'a0j0', 'a0j1', 'a2j1', 'a1j1']","[(0, 'a1j0'), (1, 'a0j0'), (6, 'a0j1'), (7, 'a2j1'), (8, 'a1j1')]"
305,1,edf,completed,"['a2j0', 'a0j0', 'a1j0', 'a0j1', 'a2j1', 'a1j1']","[(0, 'a2j0'), (1, 'a0j0'), (2, 'a1j0'), (6, 'a0j1'), (7, 'a2j1'), (8, 'a1j1')]"
306,1,fcfs,completed,"['a0j0', 'a1j0', 'a2j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a1j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
306,1,uncertainty,completed,"['a2j0', 'a0j0', 'a1j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a2j0'), (1, 'a0j0'), (2, 'a1j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
306,1,myopic,completed,"['a1j0', 'a0j0', 'a2j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a1j0'), (1, 'a0j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
306,1,greedy,completed,"['a1j0', 'a0j0', 'a2j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a1j0'), (1, 'a0j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
306,1,edf,completed,"['a0j0', 'a1j0', 'a2j0', 'a1j1', 'a2j1', 'a0j1']","[(0, 'a0j0'), (1, 'a1j0'), (2, 'a2j0'), (6, 'a1j1'), (7, 'a2j1'), (8, 'a0j1')]"
306,1,delay,completed,"['a0j0', 'a1j0', 'a2j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a1j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
306,2,uncertainty,completed,"['a2j0', 'a1j0', 'a0j1', 'a2j1']","[(0, 'a2j0'), (2, 'a1j0'), (6, 'a0j1'), (8, 'a2j1')]"
306,2,myopic,completed,"['a1j0', 'a2j0', 'a0j1', 'a2j1']","[(0, 'a1j0'), (2, 'a2j0'), (6, 'a0j1'), (8, 'a2j1')]"
306,2,greedy,completed,"['a1j0', 'a2j0', 'a0j1', 'a2j1']","[(0, 'a1j0'), (2, 'a2j0'), (6, 'a0j1'), (8, 'a2j1')]"
306,2,edf,completed,"['a0j0', 'a1j0', 'a1j1', 'a2j1']","[(0, 'a0j0'), (2, 'a1j0'), (6, 'a1j1'), (8, 'a2j1')]"
306,2,delay,completed,"['a0j0', 'a1j0', 'a1j1', 'a0j1']","[(0, 'a0j0'), (2, 'a1j0'), (6, 'a1j1'), (8, 'a0j1')]"
306,2,fcfs,completed,"['a0j0', 'a1j0', 'a0j1', 'a2j1']","[(0, 'a0j0'), (2, 'a1j0'), (6, 'a0j1'), (8, 'a2j1')]"
307,2,myopic,completed,"['a2j0', 'a0j0', 'a1j1', 'a2j1']","[(0, 'a2j0'), (2, 'a0j0'), (6, 'a1j1'), (8, 'a2j1')]"
307,2,greedy,completed,"['a2j0', 'a0j0', 'a1j1', 'a2j1']","[(0, 'a2j0'), (2, 'a0j0'), (6, 'a1j1'), (8, 'a2j1')]"
307,2,edf,completed,"['a1j0', 'a0j0', 'a0j1', 'a2j1']","[(0, 'a1j0'), (2, 'a0j0'), (6, 'a0j1'), (8, 'a2j1')]"
307,2,delay,completed,"['a1j0', 'a2j0', 'a0j1', 'a1j1']","[(0, 'a1j0'), (2, 'a2j0'), (6, 'a0j1'), (8, 'a1j1')]"
307,2,fcfs,completed,"['a0j0', 'a2j0', 'a0j1', 'a1j1']","[(0, 'a0j0'), (2, 'a2j0'), (6, 'a0j1'), (8, 'a1j1')]"
307,2,uncertainty,completed,"['a0j0', 'a2j0', 'a0j1', 'a1j1']","[(0, 'a0j0'), (2, 'a2j0'), (6, 'a0j1'), (8, 'a1j1')]"
307,1,greedy,completed,"['a2j0', 'a1j0', 'a0j0', 'a1j1', 'a0j1', 'a2j1']","[(0, 'a2j0'), (1, 'a1j0'), (2, 'a0j0'), (6, 'a1j1'), (7, 'a0j1'), (8, 'a2j1')]"
307,1,edf,completed,"['a1j0', 'a0j0', 'a2j0', 'a0j1', 'a2j1', 'a1j1']","[(0, 'a1j0'), (1, 'a0j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a2j1'), (8, 'a1j1')]"
307,1,delay,completed,"['a1j0', 'a0j0', 'a2j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a1j0'), (1, 'a0j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
307,1,fcfs,completed,"['a0j0', 'a1j0', 'a2j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a1j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
307,1,uncertainty,completed,"['a0j0', 'a1j0', 'a2j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a1j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
307,1,myopic,completed,"['a2j0', 'a1j0', 'a0j0', 'a1j1', 'a0j1', 'a2j1']","[(0, 'a2j0'), (1, 'a1j0'), (2, 'a0j0'), (6, 'a1j1'), (7, 'a0j1'), (8, 'a2j1')]"
308,1,edf,completed,"['a2j0', 'a0j0', 'a1j0', 'a2j1', 'a0j1', 'a1j1']","[(0, 'a2j0'), (1, 'a0j0'), (2, 'a1j0'), (6, 'a2j1'), (7, 'a0j1'), (8, 'a1j1')]"
308,1,delay,completed,"['a0j0', 'a2j0', 'a1j0', 'a0j1', 'a2j1', 'a1j1']","[(0, 'a0j0'), (1, 'a2j0'), (2, 'a1j0'), (6, 'a0j1'), (7, 'a2j1'), (8, 'a1j1')]"
308,1,fcfs,completed,"['a0j0', 'a1j0', 'a0j1', 'a1j1']","[(0, 'a0j0'), (1, 'a1j0'), (6, 'a0j1'), (7, 'a1j1')]"
308,1,uncertainty,completed,"['a0j0', 'a1j0', 'a0j1', 'a1j1']","[(0, 'a0j0'), (1, 'a1j0'), (6, 'a0j1'), (7, 'a1j1')]"
308,1,myopic,completed,"['a0j0', 'a2j0', 'a1j0', 'a0j1', 'a2j1', 'a1j1']","[(0, 'a0j0'), (1, 'a2j0'), (2, 'a1j0'), (6, 'a0j1'), (7, 'a2j1'), (8, 'a1j1')]"
308,1,greedy,completed,"['a0j0', 'a2j0', 'a1j0', 'a0j1', 'a2j1', 'a1j1']","[(0, 'a0j0'), (1, 'a2j0'), (2, 'a1j0'), (6, 'a0j1'), (7, 'a2j1'), (8, 'a1j1')]"
308,2,delay,completed,"['a2j0', 'a0j0', 'a2j1', 'a0j1']","[(0, 'a2j0'), (2, 'a0j0'), (6, 'a2j1'), (8, 'a0j1')]"
308,2,fcfs,completed,"['a0j0', 'a1j0', 'a0j1', 'a1j1']","[(0, 'a0j0'), (2, 'a1j0'), (6, 'a0j1'), (8, 'a1j1')]"
308,2,uncertainty,completed,"['a0j0', 'a1j0', 'a0j1', 'a1j1']","[(0, 'a0j0'), (2, 'a1j0'), (6, 'a0j1'), (8, 'a1j1')]"
308,2,myopic,completed,"['a0j0', 'a1j0', 'a0j1', 'a1j1']","[(0, 'a0j0'), (2, 'a1j0'), (6, 'a0j1'), (8, 'a1j1')]"
308,2,greedy,completed,"['a0j0', 'a1j0', 'a0j1', 'a1j1']","[(0, 'a0j0'), (2, 'a1j0'), (6, 'a0j1'), (8, 'a1j1')]"
308,2,edf,completed,"['a2j0', 'a0j0', 'a2j1', 'a0j1']","[(0, 'a2j0'), (2, 'a0j0'), (6, 'a2j1'), (8, 'a0j1')]"
309,2,fcfs,completed,"['a0j0', 'a1j0', 'a0j1', 'a1j1']","[(0, 'a0j0'), (2, 'a1j0'), (6, 'a0j1'), (8, 'a1j1')]"
309,2,uncertainty,completed,"['a0j0', 'a1j0', 'a2j1', 'a0j1']","[(0, 'a0j0'), (2, 'a1j0'), (6, 'a2j1'), (8, 'a0j1')]"
309,2,myopic,completed,"['a2j0', 'a1j0', 'a0j1', 'a1j1']","[(0, 'a2j0'), (2, 'a1j0'), (6, 'a0j1'), (8, 'a1j1')]"
309,2,greedy,completed,"['a2j0', 'a1j0', 'a0j1', 'a1j1']","[(0, 'a2j0'), (2, 'a1j0'), (6, 'a0j1'), (8, 'a1j1')]"
309,2,edf,completed,"['a2j0', 'a1j0', 'a2j1', 'a0j1']","[(0, 'a2j0'), (2, 'a1j0'), (6, 'a2j1'), (8, 'a0j1')]"
309,2,delay,completed,"['a2j0', 'a1j0', 'a0j1', 'a1j1']","[(0, 'a2j0'), (2, 'a1j0'), (6, 'a0j1'), (8, 'a1j1')]"
309,1,uncertainty,completed,"['a0j0', 'a1j0', 'a2j1', 'a0j1', 'a1j1']","[(0, 'a0j0'), (1, 'a1j0'), (6, 'a2j1'), (7, 'a0j1'), (8, 'a1j1')]"
309,1,myopic,completed,"['a2j0', 'a1j0', 'a0j0', 'a0j1', 'a1j1']","[(0, 'a2j0'), (1, 'a1j0'), (2, 'a0j0'), (6, 'a0j1'), (7, 'a1j1')]"
309,1,greedy,completed,"['a2j0', 'a1j0', 'a0j0', 'a0j1', 'a1j1']","[(0, 'a2j0'), (1, 'a1j0'), (2, 'a0j0'), (6, 'a0j1'), (7, 'a1j1')]"
309,1,edf,completed,"['a2j0', 'a1j0', 'a0j0', 'a2j1', 'a0j1', 'a1j1']","[(0, 'a2j0'), (1, 'a1j0'), (2, 'a0j0'), (6, 'a2j1'), (7, 'a0j1'), (8, 'a1j1')]"
309,1,delay,completed,"['a1j0', 'a2j0', 'a0j0', 'a0j1', 'a2j1', 'a1j1']","[(0, 'a1j0'), (1, 'a2j0'), (2, 'a0j0'), (6, 'a0j1'), (7, 'a2j1'), (8, 'a1j1')]"
309,1,fcfs,completed,"['a0j0', 'a1j0', 'a0j1', 'a1j1']","[(0, 'a0j0'), (1, 'a1j0'), (6, 'a0j1'), (7, 'a1j1')]"
310,1,myopic,completed,"['a1j0', 'a2j0', 'a0j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a1j0'), (1, 'a2j0'), (2, 'a0j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
310,1,greedy,completed,"['a1j0', 'a2j0', 'a0j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a1j0'), (1, 'a2j0'), (2, 'a0j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
310,1,edf,completed,"['a2j0', 'a1j0', 'a0j0', 'a1j1', 'a0j1', 'a2j1']","[(0, 'a2j0'), (1, 'a1j0'), (2, 'a0j0'), (6, 'a1j1'), (7, 'a0j1'), (8, 'a2j1')]"
310,1,delay,completed,"['a0j0', 'a2j0', 'a1j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a2j0'), (2, 'a1j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
310,1,fcfs,completed,"['a0j0', 'a1j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a1j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
310,1,uncertainty,completed,"['a0j0', 'a1j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a1j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
310,2,greedy,completed,"['a1j0', 'a0j0', 'a0j1', 'a2j1']","[(0, 'a1j0'), (2, 'a0j0'), (6, 'a0j1'), (8, 'a2j1')]"
310,2,edf,completed,"['a2j0', 'a1j0', 'a1j1', 'a0j1']","[(0, 'a2j0'), (2, 'a1j0'), (6, 'a1j1'), (8, 'a0j1')]"
310,2,delay,completed,"['a2j0', 'a1j0', 'a1j1', 'a0j1']","[(0, 'a2j0'), (2, 'a1j0'), (6, 'a1j1'), (8, 'a0j1')]"
310,2,fcfs,completed,"['a0j0', 'a1j0', 'a0j1', 'a2j1']","[(0, 'a0j0'), (2, 'a1j0'), (6, 'a0j1'), (8, 'a2j1')]"
310,2,uncertainty,completed,"['a0j0', 'a1j0', 'a0j1', 'a2j1']","[(0, 'a0j0'), (2, 'a1j0'), (6, 'a0j1'), (8, 'a2j1')]"
310,2,myopic,completed,"['a1j0', 'a0j0', 'a0j1', 'a2j1']","[(0, 'a1j0'), (2, 'a0j0'), (6, 'a0j1'), (8, 'a2j1')]"
311,2,edf,completed,"['a1j0', 'a0j0', 'a2j1', 'a0j1']","[(0, 'a1j0'), (2, 'a0j0'), (6, 'a2j1'), (8, 'a0j1')]"
311,2,delay,completed,"['a1j0', 'a2j0', 'a2j1', 'a1j1']","[(0, 'a1j0'), (2, 'a2j0'), (6, 'a2j1'), (8, 'a1j1')]"
311,2,fcfs,completed,"['a0j0', 'a2j0', 'a0j1', 'a1j1']","[(0, 'a0j0'), (2, 'a2j0'), (6, 'a0j1'), (8, 'a1j1')]"
311,2,uncertainty,completed,"['a0j0', 'a2j0', 'a0j1', 'a1j1']","[(0, 'a0j0'), (2, 'a2j0'), (6, 'a0j1'), (8, 'a1j1')]"
311,2,myopic,completed,"['a2j0', 'a0j0', 'a2j1', 'a1j1']","[(0, 'a2j0'), (2, 'a0j0'), (6, 'a2j1'), (8, 'a1j1')]"
