seed,review_ticks,policy,tick,eligible_count,selected,search_greedy_disagreement,search_edf_disagreement,choice_fcfs,choice_uncertainty,choice_myopic,choice_greedy,choice_edf,choice_delay
302,2,greedy,6,3,a1j1,True,True,a0j1,a0j1,a1j1,a1j1,a2j1,a0j1
302,2,greedy,8,1,a0j1,False,False,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
302,2,greedy,10,0,,False,False,,,,,,
302,2,greedy,11,0,,False,False,,,,,,
302,2,edf,0,3,a1j0,False,False,a0j0,a0j0,a1j0,a1j0,a1j0,a1j0
302,2,edf,2,2,a2j0,False,True,a0j0,a0j0,a0j0,a0j0,a2j0,a0j0
302,2,edf,4,0,,False,False,,,,,,
302,2,edf,5,0,,False,False,,,,,,
302,2,edf,6,3,a2j1,True,True,a0j1,a0j1,a1j1,a1j1,a2j1,a0j1
302,2,edf,8,2,a1j1,False,False,a0j1,a0j1,a1j1,a1j1,a1j1,a1j1
302,2,edf,10,0,,False,False,,,,,,
302,2,edf,11,0,,False,False,,,,,,
303,2,fcfs,0,3,a0j0,True,False,a0j0,a0j0,a2j0,a2j0,a1j0,a1j0
303,2,fcfs,2,1,a2j0,False,False,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
303,2,fcfs,4,0,,False,False,,,,,,
303,2,fcfs,5,0,,False,False,,,,,,
303,2,fcfs,6,3,a0j1,True,False,a0j1,a0j1,a2j1,a2j1,a1j1,a1j1
303,2,fcfs,8,1,a2j1,False,False,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
303,2,fcfs,10,0,,False,False,,,,,,
303,2,fcfs,11,0,,False,False,,,,,,
