reviewer,weights,capacity,duration,comparison,mean_difference,ci_low,ci_high,wins,ties,losses,different_sequences
ideal,heterogeneous,2,3,search-edf,0.0,0.0,0.0,0,18,0,11
ideal,heterogeneous,2,3,search-no_review,-10.0,-13.333333333333334,-6.444444444444445,12,6,0,18
ideal,uniform,1,1,search-greedy,-1.3333333333333333,-2.6666666666666665,0.0,3,15,0,6
ideal,uniform,1,1,search-edf,0.0,0.0,0.0,0,18,0,15
ideal,uniform,1,1,search-no_review,-15.555555555555555,-20.444444444444443,-10.222222222222221,12,6,0,18
ideal,uniform,1,2,search-greedy,-4.888888888888889,-6.666666666666667,-3.111111111111111,11,7,0,16
ideal,uniform,1,2,search-edf,0.0,0.0,0.0,0,18,0,0
ideal,uniform,1,2,search-no_review,-15.555555555555555,-20.444444444444443,-10.222222222222221,12,6,0,18
ideal,uniform,1,3,search-greedy,-2.6666666666666665,-4.444444444444445,-0.8888888888888888,6,12,0,11
ideal,uniform,1,3,search-edf,0.0,0.0,0.0,0,18,0,0
ideal,uniform,1,3,search-no_review,-10.666666666666666,-14.222222222222221,-7.111111111111111,12,6,0,18
ideal,uniform,2,1,search-greedy,0.0,0.0,0.0,0,18,0,2
ideal,uniform,2,1,search-edf,0.0,0.0,0.0,0,18,0,15
ideal,uniform,2,1,search-no_review,-15.555555555555555,-20.444444444444443,-10.222222222222221,12,6,0,18
ideal,uniform,2,2,search-greedy,-1.3333333333333333,-2.6666666666666665,0.0,3,15,0,6
ideal,uniform,2,2,search-edf,0.0,0.0,0.0,0,18,0,15
ideal,uniform,2,2,search-no_review,-15.555555555555555,-20.444444444444443,-10.222222222222221,12,6,0,18
ideal,uniform,2,3,search-greedy,0.0,0.0,0.0,0,18,0,0
ideal,uniform,2,3,search-edf,0.0,0.0,0.0,0,18,0,11
ideal,uniform,2,3,search-no_review,-10.666666666666666,-14.222222222222221,-7.111111111111111,12,6,0,18
