reviewer,weights,capacity,duration,policy,n_runs,mean_loss,ci_low,ci_high,correct_rate,correct_low,correct_high,correct,corrections,harmful_reviews,unresolved,completed_reviews,review_time,waiting_time,missed_useful
model_risk,uniform,1,1,fcfs,18,17.77777777777778,13.777777777777779,21.333333333333332,0.25925925925925924,0.1111111111111111,0.4259259259259259,14,1,6,40,49,49,44,0
model_risk,uniform,1,1,edf,18,17.77777777777778,13.777777777777779,21.333333333333332,0.25925925925925924,0.1111111111111111,0.4259259259259259,14,1,6,40,54,54,54,0
model_risk,uniform,1,1,uncertainty,18,17.77777777777778,13.777777777777779,21.333333333333332,0.25925925925925924,0.1111111111111111,0.4259259259259259,14,1,6,40,50,50,46,0
model_risk,uniform,1,1,greedy,18,17.77777777777778,13.777777777777779,21.333333333333332,0.25925925925925924,0.1111111111111111,0.4259259259259259,14,1,6,40,50,50,46,0
model_risk,uniform,1,1,search,18,17.77777777777778,13.777777777777779,21.333333333333332,0.25925925925925924,0.1111111111111111,0.4259259259259259,14,1,6,40,54,54,54,0
model_risk,uniform,1,2,no_review,18,15.555555555555555,10.222222222222221,20.444444444444443,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model_risk,uniform,1,2,fcfs,18,17.333333333333332,12.88888888888889,20.88888888888889,0.2777777777777778,0.12962962962962962,0.4629629629629629,15,1,5,39,39,78,48,0
model_risk,uniform,1,2,edf,18,17.77777777777778,13.777777777777779,21.333333333333332,0.25925925925925924,0.1111111111111111,0.4259259259259259,14,1,6,40,54,108,108,0
model_risk,uniform,1,2,uncertainty,18,17.333333333333332,12.88888888888889,20.88888888888889,0.2777777777777778,0.12962962962962962,0.4629629629629629,15,1,5,39,38,76,44,0
model_risk,uniform,1,2,greedy,18,17.333333333333332,12.88888888888889,20.88888888888889,0.2777777777777778,0.12962962962962962,0.4629629629629629,15,1,5,39,38,76,44,0
model_risk,uniform,1,2,search,18,17.77777777777778,13.777777777777779,21.333333333333332,0.25925925925925924,0.1111111111111111,0.4259259259259259,14,1,6,40,54,108,108,0
model_risk,uniform,1,3,no_review,18,15.555555555555555,10.222222222222221,20.444444444444443,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model_risk,uniform,1,3,fcfs,18,16.88888888888889,12.433333333333334,20.88888888888889,0.2962962962962963,0.12962962962962962,0.481944444444442,16,0,3,38,25,75,21,1
model_risk,uniform,1,3,edf,18,17.333333333333332,13.333333333333334,20.88888888888889,0.2777777777777778,0.12962962962962962,0.4444444444444444,15,1,5,39,36,108,54,0
model_risk,uniform,1,3,uncertainty,18,16.88888888888889,12.433333333333334,20.88888888888889,0.2962962962962963,0.12962962962962962,0.481944444444442,16,0,3,38,25,75,21,1
model_risk,uniform,1,3,greedy,18,16.88888888888889,12.433333333333334,20.88888888888889,0.2962962962962963,0.12962962962962962,0.481944444444442,16,0,3,38,25,75,21,1
