case_id,run_id,mode,truth,proposal,review,initial_correct,review_correct,correction,harm,preserved_correct,unresolved_wrong,proposal_failure,review_failure,abstention,risk,predicted_gain,brier,baseline,baseline_correct
run12_w2,run12,SZCAV,heating_valve,heating_valve,abstain,1,0,0,1,0,0,0,0,1,0.6956521739130435,-0.043478260869565216,0.48393194706994325,heating_valve,1
run13_w0,run13,SZCAV,cooling_valve,heating_valve,heating_valve,0,0,0,0,0,1,0,0,0,0.6956521739130435,-0.043478260869565216,0.09262759924385634,outdoor_damper,0
run13_w1,run13,SZCAV,cooling_valve,heating_valve,abstain,0,0,0,0,0,1,0,0,1,0.6956521739130435,-0.043478260869565216,0.09262759924385634,outdoor_damper,0
run13_w2,run13,SZCAV,cooling_valve,heating_valve,heating_valve,0,0,0,0,0,1,0,0,0,0.6956521739130435,-0.043478260869565216,0.09262759924385634,outdoor_damper,0
run17_w0,run17,SZVAV,heating_valve,heating_valve,normal,1,0,0,1,0,0,0,0,0,0.6956521739130435,-0.043478260869565216,0.48393194706994325,heating_valve,1
run17_w1,run17,SZVAV,heating_valve,heating_valve,heating_valve,1,1,0,0,1,0,0,0,0,0.6956521739130435,-0.043478260869565216,0.48393194706994325,heating_valve,1
run17_w2,run17,SZVAV,heating_valve,heating_valve,heating_valve,1,1,0,0,1,0,0,0,0,0.6956521739130435,-0.043478260869565216,0.48393194706994325,heating_valve,1
run18_w0,run18,SZVAV,heating_valve,heating_valve,heating_valve,1,1,0,0,1,0,0,0,0,0.6956521739130435,-0.043478260869565216,0.48393194706994325,heating_valve,1
run18_w1,run18,SZVAV,heating_valve,heating_valve,heating_valve,1,1,0,0,1,0,0,0,0,0.6956521739130435,-0.043478260869565216,0.48393194706994325,heating_valve,1
run18_w2,run18,SZVAV,heating_valve,heating_valve,heating_valve,1,1,0,0,1,0,0,0,0,0.6956521739130435,-0.043478260869565216,0.48393194706994325,heating_valve,1
run20_w0,run20,SZVAV,outdoor_damper,heating_valve,heating_valve,0,0,0,0,0,1,0,0,0,0.6956521739130435,-0.043478260869565216,0.09262759924385634,normal,0
run20_w1,run20,SZVAV,outdoor_damper,heating_valve,heating_valve,0,0,0,0,0,1,0,0,0,0.6956521739130435,-0.043478260869565216,0.09262759924385634,normal,0
run20_w2,run20,SZVAV,outdoor_damper,heating_valve,heating_valve,0,0,0,0,0,1,0,0,0,0.6956521739130435,-0.043478260869565216,0.09262759924385634,normal,0
run22_w0,run22,SZVAV,normal,heating_valve,heating_valve,0,0,0,0,0,1,0,0,0,0.6956521739130435,-0.043478260869565216,0.09262759924385634,normal,1
run22_w1,run22,SZVAV,normal,heating_valve,heating_valve,0,0,0,0,0,1,0,0,0,0.6956521739130435,-0.043478260869565216,0.09262759924385634,normal,1
run22_w2,run22,SZVAV,normal,normal,normal,1,1,0,0,1,0,0,0,0,0.7307692307692307,0.0,0.5340236686390532,normal,1
run23_w0,run23,SZVAV,cooling_valve,heating_valve,heating_valve,0,0,0,0,0,1,0,0,0,0.6956521739130435,-0.043478260869565216,0.09262759924385634,normal,0
run23_w1,run23,SZVAV,cooling_valve,heating_valve,heating_valve,0,0,0,0,0,1,0,0,0,0.6956521739130435,-0.043478260869565216,0.09262759924385634,normal,0
run23_w2,run23,SZVAV,cooling_valve,heating_valve,heating_valve,0,0,0,0,0,1,0,0,0,0.6956521739130435,-0.043478260869565216,0.09262759924385634,normal,0
run24_w0,run24,SZVAV,normal,heating_valve,heating_valve,0,0,0,0,0,1,0,0,0,0.6956521739130435,-0.043478260869565216,0.09262759924385634,normal,1
run24_w1,run24,SZVAV,normal,heating_valve,heating_valve,0,0,0,0,0,1,0,0,0,0.6956521739130435,-0.043478260869565216,0.09262759924385634,cooling_valve,0
run24_w2,run24,SZVAV,normal,heating_valve,heating_valve,0,0,0,0,0,1,0,0,0,0.6956521739130435,-0.043478260869565216,0.09262759924385634,normal,1
run25_w0,run25,SZVAV,normal,heating_valve,heating_valve,0,0,0,0,0,1,0,0,0,0.6956521739130435,-0.043478260869565216,0.09262759924385634,normal,1
run25_w1,run25,SZVAV,normal,heating_valve,heating_valve,0,0,0,0,0,1,0,0,0,0.6956521739130435,-0.043478260869565216,0.09262759924385634,cooling_valve,0
run25_w2,run25,SZVAV,normal,heating_valve,heating_valve,0,0,0,0,0,1,0,0,0,0.6956521739130435,-0.043478260869565216,0.09262759924385634,cooling_valve,0
