agents,closure_penalty,execution_index,horizon,jobs,loss_upper_bound,phase,planned_calls,policy,review_ticks,risk,run_id,scenario_hash,seed,workload,status,total_loss,accrued_loss,correct_jobs,incorrect_jobs,reviews_completed,corrections,review_utilization,expired_requests,missed_opportunities,wrong_missed_opportunities,max_outstanding,episode_wall_seconds,request_wall_seconds,scheduled_calls,attempts,retries,failed_attempts,unfinished_attempts,prompt_tokens,completion_tokens,unknown_token_attempts,augmented_loss,objective_missed_opportunities
6,4,32,24,18,174,objective_development,36,delay,1,frozen,objective_development/larger/414/a6/s1/frozen/delay/lambda4,d1f27bb0738dc479a13d85d7e195a757085a21dd9227e02324df54c5dd843c62,414,larger,completed,4,4,18,0,17,2,0.7083333333333334,1,1,0,5,7.10777,5.039918104186654,36,36,0,0,0,8636,252,0,4,1
6,8,33,24,18,174,objective_development,36,delay,2,frozen,objective_development/larger/414/a6/s2/frozen/delay/lambda8,d1f27bb0738dc479a13d85d7e195a757085a21dd9227e02324df54c5dd843c62,414,larger,completed,10,10,17,1,8,1,0.6666666666666666,10,7,1,6,6.953829,5.046841163188219,36,36,0,0,0,8146,252,0,18,10
6,0,34,24,18,174,objective_development,36,delay,2,frozen,objective_development/larger/414/a6/s2/frozen/delay/lambda0,d1f27bb0738dc479a13d85d7e195a757085a21dd9227e02324df54c5dd843c62,414,larger,completed,10,10,17,1,8,1,0.6666666666666666,10,7,1,6,7.485417,5.02699245326221,36,36,0,0,0,8146,252,0,10,7
6,4,35,24,18,174,objective_development,36,delay,2,frozen,objective_development/larger/414/a6/s2/frozen/delay/lambda4,d1f27bb0738dc479a13d85d7e195a757085a21dd9227e02324df54c5dd843c62,414,larger,completed,10,10,17,1,8,1,0.6666666666666666,10,7,1,6,7.057401,5.047149186953902,36,36,0,0,0,8146,252,0,14,10
6,0,36,24,18,190,objective_development,36,delay,2,frozen,objective_development/larger/415/a6/s2/frozen/delay/lambda0,e4a07cf697ff1b64ef09c77c6e1b782648685e69f925968e912feb4b11ef53a8,415,larger,completed,26,26,15,3,9,1,0.75,9,6,2,6,7.02964,5.091154415160418,36,36,0,0,0,8258,252,0,26,6
6,4,37,24,18,190,objective_development,36,delay,2,frozen,objective_development/larger/415/a6/s2/frozen/delay/lambda4,e4a07cf697ff1b64ef09c77c6e1b782648685e69f925968e912feb4b11ef53a8,415,larger,completed,26,26,15,3,9,1,0.75,9,6,2,6,6.871608,5.009243551641703,36,36,0,0,0,8258,252,0,38,9
6,8,38,24,18,190,objective_development,36,delay,2,frozen,objective_development/larger/415/a6/s2/frozen/delay/lambda8,e4a07cf697ff1b64ef09c77c6e1b782648685e69f925968e912feb4b11ef53a8,415,larger,completed,32,32,15,3,9,2,0.75,9,7,2,6,7.32624,5.029050637036562,36,36,0,0,0,8258,252,0,56,9
6,0,39,24,18,190,objective_development,36,delay,1,frozen,objective_development/larger/415/a6/s1/frozen/delay/lambda0,e4a07cf697ff1b64ef09c77c6e1b782648685e69f925968e912feb4b11ef53a8,415,larger,completed,12,12,17,1,14,5,0.5833333333333334,4,2,0,5,7.358566,5.06481908634305,36,36,0,0,0,8636,252,0,12,2
6,4,40,24,18,190,objective_development,36,delay,1,frozen,objective_development/larger/415/a6/s1/frozen/delay/lambda4,e4a07cf697ff1b64ef09c77c6e1b782648685e69f925968e912feb4b11ef53a8,415,larger,completed,16,16,16,2,15,5,0.625,3,2,1,5,7.080471,5.041424235329032,36,36,0,0,0,8692,252,0,24,3
6,8,41,24,18,190,objective_development,36,delay,1,frozen,objective_development/larger/415/a6/s1/frozen/delay/lambda8,e4a07cf697ff1b64ef09c77c6e1b782648685e69f925968e912feb4b11ef53a8,415,larger,completed,11,11,17,1,16,6,0.6666666666666666,2,1,0,5,7.752583,5.068871835246682,36,36,0,0,0,8692,252,0,19,2
3,0,42,12,6,48,objective_development,12,delay,2,frozen,objective_development/competition/415/a3/s2/frozen/delay/lambda0,6b42cbddfcbf36a65c184d99624f0017580e480c25dae807dbd39c49bb52b168,415,competition,completed,4,4,5,1,4,0,0.6666666666666666,2,2,1,3,2.332562,1.6798817832022905,12,12,0,0,0,2570,84,0,4,2
3,4,43,12,6,48,objective_development,12,delay,2,frozen,objective_development/competition/415/a3/s2/frozen/delay/lambda4,6b42cbddfcbf36a65c184d99624f0017580e480c25dae807dbd39c49bb52b168,415,competition,completed,4,4,5,1,4,0,0.6666666666666666,2,2,1,3,2.397711,1.6893347632139921,12,12,0,0,0,2570,84,0,8,2
3,8,44,12,6,48,objective_development,12,delay,2,frozen,objective_development/competition/415/a3/s2/frozen/delay/lambda8,6b42cbddfcbf36a65c184d99624f0017580e480c25dae807dbd39c49bb52b168,415,competition,completed,4,4,5,1,4,0,0.6666666666666666,2,2,1,3,2.362689,1.6793585382401943,12,12,0,0,0,2570,84,0,12,2
3,0,45,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/415/a3/s1/frozen/delay/lambda0,6b42cbddfcbf36a65c184d99624f0017580e480c25dae807dbd39c49bb52b168,415,competition,completed,0,0,6,0,6,1,0.5,0,0,0,3,2.373439,1.6815257649868727,12,12,0,0,0,2624,84,0,0,0
3,4,46,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/415/a3/s1/frozen/delay/lambda4,6b42cbddfcbf36a65c184d99624f0017580e480c25dae807dbd39c49bb52b168,415,competition,completed,0,0,6,0,6,1,0.5,0,0,0,3,2.407262,1.6798076275736094,12,12,0,0,0,2624,84,0,0,0
3,8,47,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/415/a3/s1/frozen/delay/lambda8,6b42cbddfcbf36a65c184d99624f0017580e480c25dae807dbd39c49bb52b168,415,competition,completed,0,0,6,0,6,1,0.5,0,0,0,3,2.366336,1.6777073740959167,12,12,0,0,0,2624,84,0,0,0
