blocked_unresolved,bundle_id,completed_reviews,corrections,expired_useful_opportunities,greedy_search_different_heads,multi_eligible_dispatches,operational_loss,policy,replicate,review_busy_ticks,review_duration,review_utilization,service_failure_loss,status,task_completed,total_waiting_ticks,unstaged_failures,variant,wrong_transaction_loss,wrong_transactions,planning_seconds,max_planning_seconds
1,evaluation_00,2,0,0,0,0,8,search,2,2,1,0.4,8,completed,1,0,1,approve_block,0,0,5.775783210992813e-05,2.6962021365761757e-05
0,evaluation_00,0,0,1,0,1,20,no_review,2,0,2,0.0,8,completed,1,0,1,complexity_time,12,1,0.0001283162273466587,3.7705060094594955e-05
0,evaluation_00,1,0,1,0,0,20,fcfs,2,2,2,0.4,8,completed,1,0,1,complexity_time,12,1,5.961896385997534e-05,3.543600905686617e-05
0,evaluation_00,1,0,1,0,0,20,edf,2,2,2,0.4,8,completed,1,0,1,complexity_time,12,1,5.63629437237978e-05,2.6292982511222363e-05
0,evaluation_00,1,0,1,0,0,20,uncertainty,2,2,2,0.4,8,completed,1,0,1,complexity_time,12,1,5.1593873649835587e-05,2.3631961084902287e-05
0,evaluation_00,1,0,1,0,0,20,greedy,2,2,2,0.4,8,completed,1,0,1,complexity_time,12,1,5.6595075875520706e-05,2.8222915716469288e-05
0,evaluation_00,1,0,1,0,0,20,search,2,2,2,0.4,8,completed,1,0,1,complexity_time,12,1,8.104206062853336e-05,3.625510726124048e-05
0,evaluation_00,0,0,1,1,2,20,no_review,2,0,1,0.0,8,completed,1,0,1,complexity_time,12,1,0.00011552299838513136,3.19179380312562e-05
0,evaluation_00,2,1,0,0,0,4,fcfs,2,2,1,0.4,4,completed,2,0,1,complexity_time,0,0,4.5069027692079544e-05,2.1526007913053036e-05
0,evaluation_00,2,1,0,0,0,4,edf,2,2,1,0.4,4,completed,2,0,1,complexity_time,0,0,4.578614607453346e-05,2.089305780827999e-05
0,evaluation_00,2,1,0,0,0,4,uncertainty,2,2,1,0.4,4,completed,2,0,1,complexity_time,0,0,5.351507570594549e-05,2.44419788941741e-05
0,evaluation_00,2,1,0,0,0,4,greedy,2,2,1,0.4,4,completed,2,0,1,complexity_time,0,0,4.976207856088877e-05,2.3182015866041183e-05
0,evaluation_00,2,1,0,0,0,4,search,2,2,1,0.4,4,completed,2,0,1,complexity_time,0,0,6.023992318660021e-05,2.7653994038701057e-05
0,evaluation_01,1,0,0,0,0,8,fcfs,0,1,1,0.2,8,completed,1,0,2,reference,0,0,2.805795520544052e-05,2.0609935745596886e-05
0,evaluation_01,1,0,0,0,0,8,edf,0,1,1,0.2,8,completed,1,0,2,reference,0,0,3.0504073947668076e-05,2.440204843878746e-05
0,evaluation_01,1,0,0,0,0,8,uncertainty,0,1,1,0.2,8,completed,1,0,2,reference,0,0,3.248581197112799e-05,2.253195270895958e-05
0,evaluation_01,1,0,0,0,0,8,greedy,0,1,1,0.2,8,completed,1,0,2,reference,0,0,2.9251910746097565e-05,2.3204018361866474e-05
0,evaluation_01,1,0,0,0,0,8,search,0,1,1,0.2,8,completed,1,0,2,reference,0,0,3.5219243727624416e-05,2.863910049200058e-05
0,evaluation_01,0,0,0,0,0,8,no_review,0,0,1,0.0,8,completed,1,0,2,reference,0,0,6.286997813731432e-05,2.03100498765707e-05
0,evaluation_01,1,0,0,0,0,8,fcfs,0,2,2,0.4,8,completed,1,0,2,reference,0,0,2.5701243430376053e-05,1.9542057998478413e-05
0,evaluation_01,1,0,0,0,0,8,edf,0,2,2,0.4,8,completed,1,0,2,reference,0,0,2.60260421782732e-05,2.175301779061556e-05
0,evaluation_01,1,0,0,0,0,8,uncertainty,0,2,2,0.4,8,completed,1,0,2,reference,0,0,2.7477974072098732e-05,2.2500986233353615e-05
0,evaluation_01,1,0,0,0,0,8,greedy,0,2,2,0.4,8,completed,1,0,2,reference,0,0,3.482704050838947e-05,2.4236971512436867e-05
0,evaluation_01,1,0,0,0,0,8,search,0,2,2,0.4,8,completed,1,0,2,reference,0,0,2.9742950573563576e-05,2.445897553116083e-05
0,evaluation_01,0,0,0,0,0,8,no_review,0,0,2,0.0,8,completed,1,0,2,reference,0,0,5.4363044910132885e-05,1.6227015294134617e-05
0,evaluation_01,1,0,0,0,0,8,fcfs,0,1,1,0.2,8,completed,1,0,2,approve_block,0,0,3.4686061553657055e-05,2.6346067897975445e-05
0,evaluation_01,1,0,0,0,0,8,edf,0,1,1,0.2,8,completed,1,0,2,approve_block,0,0,2.7148984372615814e-05,2.0824954845011234e-05
0,evaluation_01,1,0,0,0,0,8,uncertainty,0,1,1,0.2,8,completed,1,0,2,approve_block,0,0,2.9233982786536217e-05,2.290797419846058e-05
0,evaluation_01,1,0,0,0,0,8,greedy,0,1,1,0.2,8,completed,1,0,2,approve_block,0,0,2.7921749278903008e-05,2.2006919607520103e-05
0,evaluation_01,1,0,0,0,0,8,search,0,1,1,0.2,8,completed,1,0,2,approve_block,0,0,4.25918260589242e-05,3.639201167970896e-05
0,evaluation_01,0,0,0,0,0,8,no_review,0,0,1,0.0,8,completed,1,0,2,approve_block,0,0,5.978916306048632e-05,2.0213075913488865e-05
0,evaluation_01,1,0,0,0,0,8,fcfs,0,2,2,0.4,8,completed,1,0,2,approve_block,0,0,2.647389192134142e-05,2.0656967535614967e-05
0,evaluation_01,1,0,0,0,0,8,edf,0,2,2,0.4,8,completed,1,0,2,approve_block,0,0,2.5431043468415737e-05,2.119503915309906e-05
0,evaluation_01,1,0,0,0,0,8,uncertainty,0,2,2,0.4,8,completed,1,0,2,approve_block,0,0,2.7450150810182095e-05,2.1981075406074524e-05
0,evaluation_01,1,0,0,0,0,8,greedy,0,2,2,0.4,8,completed,1,0,2,approve_block,0,0,3.458419814705849e-05,2.8106034733355045e-05
0,evaluation_01,1,0,0,0,0,8,search,0,2,2,0.4,8,completed,1,0,2,approve_block,0,0,3.269698936492205e-05,2.5891000404953957e-05
0,evaluation_01,0,0,0,0,0,8,no_review,0,0,2,0.0,8,completed,1,0,2,approve_block,0,0,5.995610263198614e-05,2.0542065612971783e-05
0,evaluation_01,1,0,0,0,0,8,fcfs,0,1,1,0.2,8,completed,1,0,2,complexity_time,0,0,2.5934772565960884e-05,1.9964994862675667e-05
0,evaluation_01,1,0,0,0,0,8,edf,0,1,1,0.2,8,completed,1,0,2,complexity_time,0,0,3.367406316101551e-05,2.7551082894206047e-05
0,evaluation_01,1,0,0,0,0,8,uncertainty,0,1,1,0.2,8,completed,1,0,2,complexity_time,0,0,2.9080314561724663e-05,2.3030093871057034e-05
0,evaluation_01,1,0,0,0,0,8,greedy,0,1,1,0.2,8,completed,1,0,2,complexity_time,0,0,2.815225161612034e-05,2.1210056729614735e-05
0,evaluation_01,1,0,0,0,0,8,search,0,1,1,0.2,8,completed,1,0,2,complexity_time,0,0,3.052700776606798e-05,2.4895998649299145e-05
0,evaluation_01,0,0,0,0,0,8,no_review,0,0,1,0.0,8,completed,1,0,2,complexity_time,0,0,6.288290023803711e-05,2.1341023966670036e-05
0,evaluation_01,1,0,0,0,0,8,fcfs,0,2,2,0.4,8,completed,1,0,2,complexity_time,0,0,2.731208223849535e-05,2.0088045857846737e-05
0,evaluation_01,1,0,0,0,0,8,edf,0,2,2,0.4,8,completed,1,0,2,complexity_time,0,0,2.6194960810244083e-05,2.069899346679449e-05
0,evaluation_01,1,0,0,0,0,8,uncertainty,0,2,2,0.4,8,completed,1,0,2,complexity_time,0,0,2.8226058930158615e-05,2.2378982976078987e-05
0,evaluation_01,1,0,0,0,0,8,greedy,0,2,2,0.4,8,completed,1,0,2,complexity_time,0,0,3.2723997719585896e-05,2.2388063371181488e-05
0,evaluation_01,1,0,0,0,0,8,search,0,2,2,0.4,8,completed,1,0,2,complexity_time,0,0,3.2190000638365746e-05,2.718600444495678e-05
0,evaluation_01,0,0,0,0,0,8,no_review,0,0,2,0.0,8,completed,1,0,2,complexity_time,0,0,6.690097507089376e-05,2.0234030671417713e-05
0,evaluation_01,2,1,0,0,0,4,fcfs,1,2,1,0.4,4,completed,2,0,1,reference,0,0,4.640687257051468e-05,2.0268023945391178e-05
0,evaluation_01,2,1,0,0,0,4,edf,1,2,1,0.4,4,completed,2,0,1,reference,0,0,4.748394712805748e-05,2.1287938579916954e-05
0,evaluation_01,2,1,0,0,0,4,uncertainty,1,2,1,0.4,4,completed,2,0,1,reference,0,0,4.413898568600416e-05,2.149504143744707e-05
0,evaluation_01,2,1,0,0,0,4,greedy,1,2,1,0.4,4,completed,2,0,1,reference,0,0,6.0015940107405186e-05,3.599398769438267e-05
0,evaluation_01,2,1,0,0,0,4,search,1,2,1,0.4,4,completed,2,0,1,reference,0,0,5.605572368949652e-05,2.5489949621260166e-05
0,evaluation_01,0,0,1,1,2,12,no_review,1,0,1,0.0,8,completed,1,0,1,reference,4,1,0.0001049841521307826,2.4087028577923775e-05
0,evaluation_01,1,1,0,0,0,4,fcfs,1,2,2,0.4,4,completed,2,0,1,reference,0,0,8.920009713619947e-05,5.06530050188303e-05
0,evaluation_01,1,1,0,0,0,4,edf,1,2,2,0.4,4,completed,2,0,1,reference,0,0,6.06020912528038e-05,3.23060667142272e-05
0,evaluation_01,1,1,0,0,0,4,uncertainty,1,2,2,0.4,4,completed,2,0,1,reference,0,0,5.6163989938795567e-05,3.0156923457980156e-05
0,evaluation_01,1,1,0,0,0,4,greedy,1,2,2,0.4,4,completed,2,0,1,reference,0,0,7.968081627041101e-05,3.706791903823614e-05
0,evaluation_01,1,1,0,0,0,4,search,1,2,2,0.4,4,completed,2,0,1,reference,0,0,6.58158678561449e-05,2.998090349137783e-05
0,evaluation_01,0,0,1,0,1,12,no_review,1,0,2,0.0,8,completed,1,0,1,reference,4,1,0.00011320412158966064,3.198208287358284e-05
1,evaluation_01,2,0,0,0,0,8,fcfs,1,2,1,0.4,8,completed,1,0,1,approve_block,0,0,6.40718499198556e-05,3.763602580875158e-05
1,evaluation_01,2,0,0,0,0,8,edf,1,2,1,0.4,8,completed,1,0,1,approve_block,0,0,5.2296905778348446e-05,2.55129998549819e-05
1,evaluation_01,2,0,0,0,0,8,uncertainty,1,2,1,0.4,8,completed,1,0,1,approve_block,0,0,4.535773769021034e-05,2.130703069269657e-05
1,evaluation_01,2,0,0,0,0,8,greedy,1,2,1,0.4,8,completed,1,0,1,approve_block,0,0,6.12759031355381e-05,3.2810028642416e-05
1,evaluation_01,2,0,0,0,0,8,search,1,2,1,0.4,8,completed,1,0,1,approve_block,0,0,7.54649518057704e-05,4.476902540773153e-05
0,evaluation_01,0,0,1,1,2,12,no_review,1,0,1,0.0,8,completed,1,0,1,approve_block,4,1,9.971705731004477e-05,2.291204873472452e-05
1,evaluation_01,1,0,0,0,0,8,fcfs,1,2,2,0.4,8,completed,1,0,1,approve_block,0,0,5.281704943627119e-05,2.8804992325603962e-05
1,evaluation_01,1,0,0,0,0,8,edf,1,2,2,0.4,8,completed,1,0,1,approve_block,0,0,6.109301466494799e-05,3.394496161490679e-05
1,evaluation_01,1,0,0,0,0,8,uncertainty,1,2,2,0.4,8,completed,1,0,1,approve_block,0,0,5.43821370229125e-05,2.60830856859684e-05
