bundle_id,replicate,case_id,preparation_status
evaluation_22,2,train:247,retained
evaluation_23,0,train:312,retained
evaluation_23,0,train:106,retained
evaluation_23,0,train:251,retained
evaluation_23,1,train:312,retained
evaluation_23,1,train:106,retained
evaluation_23,1,train:251,retained
evaluation_23,2,train:312,retained
evaluation_23,2,train:106,retained
evaluation_23,2,train:251,retained
evaluation_24,0,train:108,retained
evaluation_24,0,train:258,retained
evaluation_24,0,train:316,retained
evaluation_24,1,train:108,retained
evaluation_24,1,train:258,retained
evaluation_24,1,train:316,retained
evaluation_24,2,train:108,retained
evaluation_24,2,train:258,retained
evaluation_24,2,train:316,retained
evaluation_25,0,train:262,retained
evaluation_25,0,train:336,retained
evaluation_25,0,train:110,retained
evaluation_25,1,train:262,retained
evaluation_25,1,train:336,retained
evaluation_25,1,train:110,retained
evaluation_25,2,train:262,retained
evaluation_25,2,train:336,retained
evaluation_25,2,train:110,retained
evaluation_26,0,train:352,retained
evaluation_26,0,train:266,retained
evaluation_26,0,train:114,retained
evaluation_26,1,train:352,retained
evaluation_26,1,train:266,retained
evaluation_26,1,train:114,retained
evaluation_26,2,train:352,retained
evaluation_26,2,train:266,retained
evaluation_26,2,train:114,retained
evaluation_27,0,train:116,retained
evaluation_27,0,train:358,retained
evaluation_27,0,train:273,retained
evaluation_27,1,train:116,retained
evaluation_27,1,train:358,retained
evaluation_27,1,train:273,retained
evaluation_27,2,train:116,retained
evaluation_27,2,train:358,retained
evaluation_27,2,train:273,retained
evaluation_28,0,train:281,retained
evaluation_28,0,train:122,retained
evaluation_28,0,train:375,retained
evaluation_28,1,train:281,retained
evaluation_28,1,train:122,retained
evaluation_28,1,train:375,retained
evaluation_28,2,train:281,retained
evaluation_28,2,train:122,retained
evaluation_28,2,train:375,retained
evaluation_29,0,train:135,retained
evaluation_29,0,train:385,retained
evaluation_29,0,train:285,retained
evaluation_29,1,train:135,retained
evaluation_29,1,train:385,retained
evaluation_29,1,train:285,retained
evaluation_29,2,train:135,retained
evaluation_29,2,train:385,retained
evaluation_29,2,train:285,retained
evaluation_30,0,train:291,retained
evaluation_30,0,train:404,retained
evaluation_30,0,train:138,retained
evaluation_30,1,train:291,retained
evaluation_30,1,train:404,retained
evaluation_30,1,train:138,retained
evaluation_30,2,train:291,retained
evaluation_30,2,train:404,retained
evaluation_30,2,train:138,retained
evaluation_31,0,train:405,retained
evaluation_31,0,train:151,retained
evaluation_31,0,train:304,retained
evaluation_31,1,train:405,retained
evaluation_31,1,train:151,retained
evaluation_31,1,train:304,retained
evaluation_31,2,train:405,retained
evaluation_31,2,train:151,retained
evaluation_31,2,train:304,retained
