workload,agents,review_ticks,risk,policy,closure_penalty,study,planned_episodes,completed_episodes,total_loss,mean_loss,mean_loss_ci_low,mean_loss_ci_high,mean_loss_per_job,correct_jobs,incorrect_jobs,jobs,mean_incorrect_jobs,corrections,reviews_completed,review_utilization,initially_infeasible_expiries,zero_value_expiries,missed_opportunities,wrong_missed_opportunities,objective_missed_opportunities,mean_augmented_loss,dispatch_opportunities,competitive_dispatches,same_state_search_greedy_differences,same_state_search_edf_differences,analytical_search_choice_changes,pooled_search_choice_changes,max_agent_loss,max_agent_incorrect,mean_common_objective_0,mean_common_objective_4,mean_common_objective_8
competition,3,1,frozen,uncertainty,0,core,64,64,108.0,1.6875,0.8125,2.6875,0.28125,372,12,384,0.1875,81,338,0.44010416666666674,0,0,46,12,46,1.6875,338,256,141,105,0,0,12.0,1,1.6875,2.4375,3.1875
competition,3,1,pooled,delay,0,core,32,32,0.0,0.0,0.0,0.0,0.0,192,0,192,0.0,48,192,0.5,0,0,0,0,0,0.0,192,128,70,54,0,0,0.0,0,0.0,0.0,0.0
competition,3,1,pooled,greedy,0,core,32,32,12.0,0.375,0.0,0.75,0.0625,189,3,192,0.09375,46,175,0.45572916666666663,0,0,17,3,17,0.375,175,128,67,52,0,0,4.0,1,0.375,0.75,1.125
competition,3,2,analytical,delay,0,core,32,32,48.0,1.5,0.75,2.25,0.25,181,11,192,0.34375,36,128,0.6666666666666667,0,0,64,11,64,1.5,128,110,37,41,4,0,8.0,1,1.5,2.875,4.25
competition,3,2,analytical,greedy,0,core,32,32,92.0,2.875,1.375,4.375,0.4791666666666667,178,14,192,0.4375,34,128,0.6666666666666667,0,0,64,14,64,2.875,128,83,36,29,4,0,12.0,1,2.875,4.625,6.375
competition,3,2,frozen,delay,0,core,64,64,108.0,1.6875,1.1875,2.1875,0.28125,357,27,384,0.421875,71,256,0.6666666666666664,0,0,128,27,128,1.6875,256,224,72,80,8,0,4.0,1,1.6875,3.375,5.0625
competition,3,2,frozen,delay,0,objective,16,16,28.0,1.75,0.75,2.75,0.2916666666666667,89,7,96,0.4375,19,64,0.6666666666666665,0,0,32,7,32,1.75,64,54,18,23,5,0,4.0,1,1.75,3.5,5.25
competition,3,2,frozen,delay,4,objective,16,16,28.0,1.75,0.75,2.75,0.2916666666666667,89,7,96,0.4375,19,64,0.6666666666666665,0,0,32,7,32,3.5,64,54,18,23,14,0,4.0,1,1.75,3.5,5.25
competition,3,2,frozen,delay,8,objective,16,16,28.0,1.75,0.75,2.75,0.2916666666666667,89,7,96,0.4375,19,64,0.6666666666666665,0,0,32,7,32,5.25,64,54,18,23,16,0,4.0,1,1.75,3.5,5.25
competition,3,2,frozen,edf,0,core,64,64,272.0,4.25,2.9375,5.75,0.7083333333333334,351,33,384,0.515625,62,256,0.6666666666666664,0,0,128,33,128,4.25,256,256,72,102,14,0,12.0,1,4.25,6.3125,8.375
competition,3,2,frozen,fcfs,0,core,64,64,284.0,4.4375,3.125,5.75,0.7395833333333334,350,34,384,0.53125,61,256,0.6666666666666664,0,0,128,34,128,4.4375,256,170,72,50,8,0,20.0,2,4.4375,6.5625,8.6875
competition,3,2,frozen,greedy,0,core,64,64,192.0,3.0,2.0,4.0,0.5,352,32,384,0.5,64,256,0.6666666666666664,0,0,128,32,128,3.0,256,170,72,53,7,0,8.0,1,3.0,5.0,7.0
competition,3,2,frozen,myopic,0,core,64,64,192.0,3.0,2.0,4.0,0.5,352,32,384,0.5,63,256,0.6666666666666664,0,0,128,32,128,3.0,256,170,72,53,7,0,8.0,1,3.0,5.0,7.0
competition,3,2,frozen,uncertainty,0,core,64,64,264.0,4.125,2.8734375,5.5625,0.6875,352,32,384,0.5,61,256,0.6666666666666664,0,0,128,32,128,4.125,256,169,72,49,9,0,20.0,2,4.125,6.125,8.125
competition,3,2,pooled,delay,0,core,32,32,52.0,1.625,1.0,2.25,0.2708333333333333,179,13,192,0.40625,34,128,0.6666666666666667,0,0,64,13,64,1.625,128,111,36,40,4,0,4.0,1,1.625,3.25,4.875
competition,3,2,pooled,greedy,0,core,32,32,104.0,3.25,1.875,4.625,0.5416666666666666,174,18,192,0.5625,29,128,0.6666666666666667,0,0,64,18,64,3.25,128,83,36,27,4,0,8.0,1,3.25,5.5,7.75
larger,3,1,frozen,delay,0,core,32,32,181.0,5.65625,4.34375,7.0625,0.6284722222222222,277,11,288,0.34375,81,265,0.34505208333333337,0,15,8,5,8,5.65625,265,135,50,69,16,6,9.0,1,5.65625,7.03125,8.40625
larger,3,1,frozen,edf,0,core,32,32,210.0,6.5625,4.81171875,8.500781249999996,0.7291666666666666,281,7,288,0.21875,83,270,0.3515625,0,15,3,1,3,6.5625,270,138,44,75,18,10,15.0,1,6.5625,7.4375,8.3125
larger,3,1,frozen,fcfs,0,core,32,32,218.0,6.8125,5.0625,8.750781249999996,0.7569444444444444,276,12,288,0.375,80,259,0.33723958333333337,0,15,14,6,14,6.8125,259,133,43,69,18,10,18.0,1,6.8125,8.3125,9.8125
larger,3,1,frozen,greedy,0,core,32,32,199.0,6.21875,4.59375,8.0,0.6909722222222222,273,15,288,0.46875,75,248,0.3229166666666668,0,15,25,9,25,6.21875,248,131,50,65,16,7,22.0,2,6.21875,8.09375,9.96875
larger,3,2,frozen,delay,0,core,32,32,477.0,14.90625,11.56171875,18.43906249999999,1.65625,256,32,288,1.0,59,196,0.5104166666666667,18,15,59,22,59,14.90625,196,91,37,34,14,4,22.0,2,14.90625,18.90625,22.90625
larger,3,2,frozen,edf,0,core,32,32,495.0,15.46875,11.62421875,19.625781249999996,1.71875,261,27,288,0.84375,61,208,0.5416666666666666,18,15,47,17,47,15.46875,208,93,37,33,16,4,30.0,2,15.46875,18.84375,22.21875
larger,3,2,frozen,fcfs,0,core,32,32,518.0,16.1875,12.24921875,20.4375,1.7986111111111112,252,36,288,1.125,56,186,0.4843750000000001,18,15,69,25,69,16.1875,186,87,34,34,16,4,29.0,2,16.1875,20.6875,25.1875
larger,3,2,frozen,greedy,0,core,32,32,468.0,14.625,11.12421875,18.59375,1.625,251,37,288,1.15625,56,173,0.4505208333333333,18,15,82,26,82,14.625,173,82,36,32,14,3,24.0,2,14.625,19.25,23.875
larger,6,1,frozen,delay,0,core,32,32,518.0,16.1875,14.03125,18.40625,0.8993055555555556,542,34,576,1.0625,139,456,0.59375,0,39,81,25,81,16.1875,456,353,173,173,73,25,15.0,2,16.1875,20.4375,24.6875
larger,6,1,frozen,delay,0,objective,16,16,213.0,13.3125,9.3109375,17.75,0.7395833333333334,271,17,288,1.0625,64,229,0.5963541666666666,0,24,35,8,35,13.3125,229,175,93,75,35,9,12.0,1,13.3125,17.5625,21.8125
larger,6,1,frozen,delay,4,objective,16,16,232.0,14.5,10.5625,18.6875,0.8055555555555556,281,7,288,0.4375,76,258,0.6718749999999999,0,7,23,5,30,16.25,258,205,117,84,33,6,15.0,1,14.5,16.25,18.0
larger,6,1,frozen,delay,8,objective,16,16,241.0,15.0625,10.6875,19.75156249999999,0.8368055555555556,283,5,288,0.3125,78,266,0.6927083333333335,0,6,16,3,22,17.5625,266,213,126,74,33,5,21.0,1,15.0625,16.3125,17.5625
larger,6,1,frozen,edf,0,core,32,32,758.0,23.6875,18.53046875,29.75,1.3159722222222223,554,22,576,0.6875,150,501,0.65234375,0,39,36,13,36,23.6875,501,398,189,227,116,46,28.0,2,23.6875,26.4375,29.1875
larger,6,1,frozen,fcfs,0,core,32,32,768.0,24.0,20.125,28.09375,1.3333333333333333,524,52,576,1.625,120,410,0.5338541666666666,0,39,127,43,127,24.0,410,328,157,171,87,26,35.0,2,24.0,30.5,37.0
larger,6,1,frozen,greedy,0,core,32,32,716.0,22.375,18.78046875,26.46875,1.2430555555555556,509,67,576,2.09375,108,374,0.4869791666666665,0,39,163,58,163,22.375,374,299,149,153,76,25,33.0,2,22.375,30.75,39.125
larger,6,2,frozen,delay,0,core,32,32,1170.0,36.5625,31.93671875,41.43906249999999,2.03125,484,92,576,2.875,78,261,0.6796875000000001,35,39,241,72,241,36.5625,261,185,56,109,43,8,42.0,2,36.5625,48.0625,59.5625
larger,6,2,frozen,delay,0,objective,16,16,502.0,31.375,21.746875,41.317187499999974,1.7430555555555556,239,49,288,3.0625,31,132,0.6875,13,24,119,37,119,31.375,132,94,26,51,27,4,27.0,2,31.375,43.625,55.875
larger,6,2,frozen,delay,4,objective,16,16,513.0,32.0625,21.9375,42.12656249999999,1.78125,241,47,288,2.9375,32,135,0.703125,11,23,119,37,153,43.8125,135,108,30,65,31,4,27.0,2,32.0625,43.8125,55.5625
larger,6,2,frozen,delay,8,objective,16,16,527.0,32.9375,22.4375,43.75,1.8298611111111112,241,47,288,2.9375,32,136,0.7083333333333334,10,22,120,38,152,56.4375,136,109,33,62,29,4,27.0,2,32.9375,44.6875,56.4375
larger,6,2,frozen,edf,0,core,32,32,1472.0,46.0,38.03125,54.469531249999996,2.5555555555555554,484,92,576,2.875,83,271,0.7057291666666667,35,39,231,74,231,46.0,271,210,59,123,65,9,44.0,2,46.0,57.5,69.0
larger,6,2,frozen,fcfs,0,core,32,32,1325.0,41.40625,34.53046875,49.03125,2.3003472222222223,481,95,576,2.96875,74,251,0.6536458333333335,35,39,251,77,251,41.40625,251,189,57,113,50,8,48.0,2,41.40625,53.28125,65.15625
larger,6,2,frozen,greedy,0,core,32,32,1177.0,36.78125,32.34296875,41.65625,2.0434027777777777,476,100,576,3.125,73,240,0.625,35,39,262,80,262,36.78125,240,178,50,103,41,6,42.0,2,36.78125,49.28125,61.78125
original,3,1,analytical,delay,0,core,32,32,102.0,3.1875,1.90625,4.563281249999996,0.53125,173,19,192,0.59375,36,132,0.34375000000000006,22,26,12,4,12,3.1875,132,47,18,11,7,0,11.0,2,3.1875,5.5625,7.9375
original,3,1,analytical,greedy,0,core,32,32,123.0,3.84375,2.1875,5.6875,0.640625,170,22,192,0.6875,33,120,0.3125,22,26,24,7,24,3.84375,120,42,16,10,5,0,13.0,2,3.84375,6.59375,9.34375
original,3,1,frozen,delay,0,core,64,64,186.0,2.90625,2.124609375,3.781640624999998,0.484375,351,33,384,0.515625,74,270,0.3515625,36,57,21,6,21,2.90625,270,104,50,19,11,0,11.0,2,2.90625,4.96875,7.03125
original,3,1,frozen,edf,0,core,64,64,190.0,2.96875,2.140625,3.906640624999998,0.4947916666666667,353,31,384,0.484375,76,276,0.359375,36,57,15,4,15,2.96875,276,107,52,19,11,0,11.0,2,2.96875,4.90625,6.84375
original,3,1,frozen,fcfs,0,core,64,64,212.0,3.3125,2.375,4.34375,0.5520833333333334,349,35,384,0.546875,70,251,0.32682291666666663,36,57,40,9,40,3.3125,251,99,48,18,11,0,11.0,2,3.3125,5.5,7.6875
original,3,1,frozen,greedy,0,core,64,64,235.0,3.671875,2.59375,4.921875,0.6119791666666666,343,41,384,0.640625,64,234,0.3046874999999999,36,57,57,16,57,3.671875,234,95,45,17,10,0,13.0,2,3.671875,6.234375,8.796875
original,3,1,frozen,myopic,0,core,64,64,216.0,3.375,2.390234375,4.546875,0.5625,345,39,384,0.609375,64,240,0.3124999999999999,36,57,51,14,51,3.375,240,97,46,17,10,0,13.0,2,3.375,5.8125,8.25
original,3,1,frozen,uncertainty,0,core,64,64,210.0,3.28125,2.34375,4.3125,0.546875,351,33,384,0.515625,71,253,0.32942708333333326,36,57,38,8,38,3.28125,253,100,48,19,11,0,11.0,2,3.28125,5.34375,7.40625
original,3,1,pooled,delay,0,core,32,32,110.0,3.4375,2.09296875,4.9375,0.5729166666666666,173,19,192,0.59375,36,134,0.34895833333333337,22,26,10,4,10,3.4375,134,46,23,8,7,0,11.0,2,3.4375,5.8125,8.1875
original,3,1,pooled,greedy,0,core,32,32,130.0,4.0625,2.3125,5.90625,0.6770833333333334,169,23,192,0.71875,32,118,0.30729166666666663,22,26,26,8,26,4.0625,118,41,20,6,5,0,11.0,2,4.0625,6.9375,9.8125
original,3,2,analytical,delay,0,core,32,32,240.0,7.5,4.78046875,10.344531249999996,1.25,160,32,192,1.0,24,79,0.41145833333333326,76,26,11,2,11,7.5,79,15,6,5,2,1,22.0,2,7.5,11.5,15.5
original,3,2,analytical,greedy,0,core,32,32,250.0,7.8125,5.09375,10.78125,1.3020833333333333,159,33,192,1.03125,23,77,0.40104166666666663,76,26,13,3,13,7.8125,77,14,5,5,2,1,22.0,2,7.8125,11.9375,16.0625
original,3,2,frozen,delay,0,core,64,64,469.0,7.328125,5.640234375,9.234375,1.2213541666666667,322,62,384,0.96875,43,156,0.4062499999999999,144,57,27,9,27,7.328125,156,32,11,5,4,1,22.0,2,7.328125,11.203125,15.078125
original,3,2,frozen,edf,0,core,64,64,490.0,7.65625,5.875,9.719140624999998,1.2760416666666667,320,64,384,1.0,41,156,0.4062499999999999,144,57,27,11,27,7.65625,156,32,11,5,4,1,23.0,2,7.65625,11.65625,15.65625
original,3,2,frozen,fcfs,0,core,64,64,504.0,7.875,6.062109375,9.875390624999998,1.3125,319,65,384,1.015625,40,152,0.39583333333333326,144,57,31,12,31,7.875,152,31,10,5,4,1,23.0,2,7.875,11.9375,16.0
original,3,2,frozen,greedy,0,core,64,64,475.0,7.421875,5.765234375,9.234765624999998,1.2369791666666667,320,64,384,1.0,39,150,0.39062499999999994,144,57,33,11,33,7.421875,150,31,9,5,4,1,22.0,2,7.421875,11.421875,15.421875
original,3,2,frozen,myopic,0,core,64,64,474.0,7.40625,5.75,9.203125,1.234375,320,64,384,1.0,40,151,0.39322916666666663,144,57,32,11,32,7.40625,151,32,11,6,4,1,22.0,2,7.40625,11.40625,15.40625
original,3,2,frozen,uncertainty,0,core,64,64,482.0,7.53125,5.75,9.594140624999998,1.2552083333333333,321,63,384,0.984375,42,154,0.4010416666666666,144,57,29,10,29,7.53125,154,31,10,5,4,1,23.0,2,7.53125,11.46875,15.40625
original,3,2,pooled,delay,0,core,32,32,252.0,7.875,4.96875,10.907031249999996,1.3125,159,33,192,1.03125,23,80,0.4166666666666666,76,26,10,3,10,7.875,80,15,7,2,2,1,22.0,2,7.875,12.0,16.125
original,3,2,pooled,greedy,0,core,32,32,250.0,7.8125,5.15546875,10.78125,1.3020833333333333,158,34,192,1.0625,21,76,0.3958333333333333,76,26,14,4,14,7.8125,76,14,6,2,2,1,22.0,2,7.8125,12.0625,16.3125
