policy,pending_count,eligible_count,decisions,mean_seconds,p50_seconds,p95_seconds,max_seconds,mean_orders,max_orders
edf,6,5,7,2.3036130837031772e-05,2.5041401386260986e-05,3.1264685094356534e-05,3.218837082386017e-05,0.0,0
edf,6,6,7,2.2892441068376813e-05,1.8689781427383423e-05,3.912709653377532e-05,4.51989471912384e-05,0.0,0
fcfs,0,0,2694,5.442124349635534e-06,5.068257451057434e-06,8.938834071159363e-06,3.538839519023895e-05,0.0,0
fcfs,1,0,425,9.058060891488019e-06,8.7786465883255e-06,1.3192370533943174e-05,2.775155007839203e-05,0.0,0
fcfs,1,1,572,1.3617388383075074e-05,1.3139098882675171e-05,1.9363686442375182e-05,3.360956907272339e-05,0.0,0
fcfs,2,0,60,1.1353784551223119e-05,1.164991408586502e-05,1.4162063598632802e-05,2.106092870235443e-05,0.0,0
fcfs,2,1,190,1.5429574015893436e-05,1.4209188520908356e-05,2.1183211356401443e-05,2.8019770979881287e-05,0.0,0
fcfs,2,2,521,1.5729645020444654e-05,1.4469027519226074e-05,2.1960586309432983e-05,8.943863213062286e-05,0.0,0
fcfs,3,0,9,1.0958769255214267e-05,1.0028481483459473e-05,1.3641640543937683e-05,1.4049932360649109e-05,0.0,0
fcfs,3,1,44,1.7215963453054428e-05,1.585017889738083e-05,2.7397554367780694e-05,3.303028643131256e-05,0.0,0
fcfs,3,2,101,1.7709532144046065e-05,1.7138198018074036e-05,2.3638829588890076e-05,3.547780215740204e-05,0.0,0
fcfs,3,3,384,1.712362184965362e-05,1.5565194189548492e-05,2.443734556436538e-05,5.254708230495453e-05,0.0,0
fcfs,4,0,4,1.0517891496419907e-05,1.0424293577671051e-05,1.1655688285827636e-05,1.1861324310302734e-05,0.0,0
fcfs,4,1,5,1.4610588550567627e-05,1.4552846550941467e-05,1.570656895637512e-05,1.592002809047699e-05,0.0,0
fcfs,4,2,24,1.8315622583031654e-05,1.670047640800476e-05,2.801883965730666e-05,2.93683260679245e-05,0.0,0
fcfs,4,3,51,1.8557862323873185e-05,1.671910285949707e-05,2.6259571313858032e-05,3.887154161930084e-05,0.0,0
fcfs,4,4,56,1.7433626843350275e-05,1.629069447517395e-05,2.46330164372921e-05,3.1890347599983215e-05,0.0,0
fcfs,5,1,3,1.6247232755025227e-05,1.520104706287384e-05,1.9529461860656737e-05,2.001039683818817e-05,0.0,0
fcfs,5,2,5,1.8712133169174194e-05,1.9399449229240417e-05,2.201050519943237e-05,2.2100284695625305e-05,0.0,0
fcfs,5,3,23,1.723141126010729e-05,1.6119331121444702e-05,2.265777438879013e-05,2.3052096366882324e-05,0.0,0
fcfs,5,4,50,1.8724054098129272e-05,1.7317943274974823e-05,2.5385152548551558e-05,3.1910836696624756e-05,0.0,0
fcfs,5,5,64,1.850980333983898e-05,1.592375338077545e-05,2.2929068654775617e-05,8.033961057662964e-05,0.0,0
fcfs,6,5,7,1.651128487927573e-05,1.5618279576301575e-05,2.078544348478317e-05,2.2429972887039185e-05,0.0,0
fcfs,6,6,7,1.7659472567694528e-05,1.5467405319213867e-05,2.3480132222175597e-05,2.4538487195968628e-05,0.0,0
greedy,0,0,4157,5.732349816612077e-06,5.379319190979004e-06,9.16197896003723e-06,5.209818482398987e-05,0.0,0
greedy,1,0,691,9.608618084842665e-06,9.08970832824707e-06,1.4175660908222198e-05,0.00013597868382930756,0.0,0
greedy,1,1,875,1.5114213739122663e-05,1.4489516615867615e-05,2.124980092048645e-05,5.6488439440727234e-05,0.0,0
greedy,2,0,95,1.167649109112589e-05,1.1479482054710388e-05,1.7572753131389617e-05,2.658925950527191e-05,0.0,0
greedy,2,1,293,1.6661112930994392e-05,1.5500932931900024e-05,2.2317096590995778e-05,3.255903720855713e-05,0.0,0
greedy,2,2,750,1.7146642009417215e-05,1.6395002603530884e-05,2.4005398154258727e-05,3.9540231227874756e-05,0.0,0
greedy,3,0,19,1.1736036915528147e-05,1.2049451470375061e-05,1.449901610612869e-05,1.548975706100464e-05,0.0,0
greedy,3,1,72,1.749375628100501e-05,1.5855766832828522e-05,2.2872723639011384e-05,4.524737596511841e-05,0.0,0
greedy,3,2,127,1.846362403997286e-05,1.7039477825164795e-05,2.483781427145004e-05,3.2238662242889404e-05,0.0,0
greedy,3,3,639,1.9319690705651595e-05,1.7428770661354065e-05,2.538356930017472e-05,0.00017058849334716797,0.0,0
greedy,4,0,3,1.1732801795005798e-05,1.2660399079322815e-05,1.2683868408203126e-05,1.2686476111412048e-05,0.0,0
greedy,4,1,5,1.864209771156311e-05,1.7000362277030945e-05,2.448633313179016e-05,2.514757215976715e-05,0.0,0
greedy,4,2,20,1.9019003957509995e-05,1.7039477825164795e-05,2.5590695440769198e-05,2.7710571885108948e-05,0.0,0
greedy,4,3,35,2.0854175090789795e-05,2.0539388060569763e-05,2.8257817029952998e-05,3.415904939174652e-05,0.0,0
greedy,4,4,50,1.9430220127105714e-05,1.821853220462799e-05,2.5713909417390822e-05,3.5239383578300476e-05,0.0,0
greedy,5,1,3,1.702706019083659e-05,1.5368685126304626e-05,2.0213425159454346e-05,2.0751729607582092e-05,0.0,0
greedy,5,2,4,1.9578728824853897e-05,1.8683262169361115e-05,2.4134758859872818e-05,2.473965287208557e-05,0.0,0
greedy,5,3,24,2.1481653675436974e-05,1.8805265426635742e-05,3.365259617567062e-05,3.423914313316345e-05,0.0,0
greedy,5,4,55,2.1099671721458434e-05,1.914985477924347e-05,2.8848275542259215e-05,3.427080810070038e-05,0.0,0
greedy,5,5,57,2.0075818164306775e-05,1.9200146198272705e-05,2.534538507461548e-05,2.8638169169425964e-05,0.0,0
greedy,6,5,7,2.290867269039154e-05,2.417154610157013e-05,2.7355551719665523e-05,2.8429552912712097e-05,0.0,0
