kind,study,workload,agents,review_ticks,risk,left,right,primary,planned_pairs,completed_pairs,mean_loss_difference,ci_low,ci_high,left_wins,ties,left_losses,actual_order_differences,mean_incorrect_difference,incorrect_ci_low,incorrect_ci_high,mean_loss_per_job_difference,per_job_ci_low,per_job_ci_high,lower_loss_more_incorrect,lower_incorrect_higher_loss,common_objective_0_difference,common_objective_0_ci_low,common_objective_0_ci_high,common_objective_4_difference,common_objective_4_ci_low,common_objective_4_ci_high,common_objective_8_difference,common_objective_8_ci_low,common_objective_8_ci_high
duration,objective,larger,6,2,frozen,larger|a6|s2|frozen|delay|lambda0|objective,larger|a6|s1|frozen|delay|lambda0|objective,False,16,16,18.0625,11.75,24.375,0,1,15,16,2.0,1.375,2.5625,1.0034722222222223,0.6527777777777779,1.3541666666666667,0,0,18.0625,11.75,24.375,26.0625,17.4375,34.43906249999999,34.0625,22.9984375,44.50156249999999
duration,objective,larger,6,2,frozen,larger|a6|s2|frozen|delay|lambda4|objective,larger|a6|s1|frozen|delay|lambda4|objective,False,16,16,17.5625,11.125,24.0,0,1,15,16,2.5,1.8125,3.125,0.9756944444444442,0.6180555555555556,1.3333333333333333,0,0,17.5625,11.125,24.0,27.5625,18.8125,36.06562499999998,37.5625,26.125,48.50156249999999
duration,objective,larger,6,2,frozen,larger|a6|s2|frozen|delay|lambda8|objective,larger|a6|s1|frozen|delay|lambda8|objective,False,16,16,17.875,11.3734375,24.375,0,1,15,16,2.625,1.875,3.3125,0.9930555555555556,0.6318576388888889,1.3541666666666665,0,0,17.875,11.3734375,24.375,28.375,19.375,37.5,38.875,27.25,50.75
duration,core,larger,6,2,frozen,larger|a6|s2|frozen|edf|lambda0,larger|a6|s1|frozen|edf|lambda0,False,32,32,22.3125,18.18671875,26.90625,1,0,31,32,2.1875,1.875,2.53125,1.2395833333333335,1.010373263888889,1.4947916666666667,1,0,22.3125,18.18671875,26.90625,31.0625,26.0609375,36.56406249999999,39.8125,33.84296875,46.40625
duration,core,larger,6,2,frozen,larger|a6|s2|frozen|fcfs|lambda0,larger|a6|s1|frozen|fcfs|lambda0,False,32,32,17.40625,13.1875,21.813281249999996,1,2,29,32,1.34375,0.96875,1.75,0.9670138888888888,0.7326388888888888,1.2118489583333332,1,0,17.40625,13.1875,21.813281249999996,22.78125,17.37421875,28.532031249999996,28.15625,21.34375,35.4375
duration,core,larger,6,2,frozen,larger|a6|s2|frozen|greedy|lambda0,larger|a6|s1|frozen|greedy|lambda0,False,32,32,14.40625,10.62421875,18.125781249999996,1,3,28,32,1.03125,0.71875,1.3125,0.8003472222222221,0.5902343749999999,1.006987847222222,0,0,14.40625,10.62421875,18.125781249999996,18.53125,13.71796875,23.25,22.65625,16.81171875,28.28125
duration,core,original,3,2,analytical,original|a3|s2|analytical|delay|lambda0,original|a3|s1|analytical|delay|lambda0,False,32,32,4.3125,2.625,6.15625,0,13,19,29,0.40625,0.21875,0.625,0.7187500000000001,0.4375,1.0260416666666667,0,0,4.3125,2.625,6.15625,5.9375,3.625,8.469531249999996,7.5625,4.53125,10.938281249999996
duration,core,original,3,2,analytical,original|a3|s2|analytical|greedy|lambda0,original|a3|s1|analytical|greedy|lambda0,False,32,32,3.96875,2.34375,5.657031249999996,0,12,20,28,0.34375,0.18671875000000004,0.53125,0.6614583333333334,0.390625,0.942838541666666,0,0,3.96875,2.34375,5.657031249999996,5.34375,3.18671875,7.71875,6.71875,4.03046875,9.875781249999996
duration,core,original,3,2,frozen,original|a3|s2|frozen|delay|lambda0,original|a3|s1|frozen|delay|lambda0,False,64,64,4.421875,3.203125,5.766015624999998,1,26,37,61,0.453125,0.3125,0.625,0.7369791666666671,0.5338541666666667,0.9610026041666663,0,0,4.421875,3.203125,5.766015624999998,6.234375,4.483984375,8.156640624999998,8.046875,5.734375,10.609765624999998
duration,core,original,3,2,frozen,original|a3|s2|frozen|edf|lambda0,original|a3|s1|frozen|edf|lambda0,False,64,64,4.6875,3.405859375,6.09375,1,24,39,61,0.515625,0.359375,0.6875,0.7812500000000004,0.5676432291666667,1.015625,0,0,4.6875,3.405859375,6.09375,6.75,4.874609375,8.8125,8.8125,6.3125,11.484765624999998
